osmid,lanes,ref,highway,oneway,reversed,length,geometry,junction,bridge
99938125,2,RN 6,primary,False,False,99.331,"LINESTRING (17.9863706 3.8752453, 17.9860154 3.8752654, 17.9859669 3.8752681, 17.9856826 3.8752801, 17.9855512 3.8752781, 17.9854764 3.8752722)",,
99938125,2,RN 6,primary,False,True,163.458,"LINESTRING (17.9863706 3.8752453, 17.9872678 3.8751992, 17.9875816 3.8751684, 17.9878393 3.8751365)",,
603098106,,,residential,False,False,294.37100000000004,"LINESTRING (17.9863706 3.8752453, 17.9863371 3.8750854, 17.9863076 3.8749904, 17.9862526 3.8748914, 17.9861634 3.8748198, 17.9860642 3.8747616, 17.9859877 3.8747061, 17.9859475 3.874666, 17.9859214 3.8745897, 17.985911 3.8745405, 17.9859146 3.8744907, 17.9859173 3.8743897, 17.9859106 3.874309, 17.9859086 3.8741341, 17.9859254 3.8740177, 17.9859602 3.8738176, 17.9859924 3.8736678, 17.986026 3.8734885, 17.9861319 3.8730523, 17.9861923 3.8728114)",,
99938125,2,RN 6,primary,False,True,99.33099999999999,"LINESTRING (17.9854764 3.8752722, 17.9855512 3.8752781, 17.9856826 3.8752801, 17.9859669 3.8752681, 17.9860154 3.8752654, 17.9863706 3.8752453)",,
441903495,2,RN 6,primary,True,False,23.498,"LINESTRING (17.9854764 3.8752722, 17.9854712 3.8753019, 17.9854564 3.8753283, 17.9854337 3.8753483, 17.9854057 3.8753597, 17.9853755 3.8753612, 17.9853465 3.8753527, 17.9853219 3.8753351)",roundabout,
441903495,2,RN 6,primary,True,False,24.128,"LINESTRING (17.9853219 3.8753351, 17.9853042 3.8753096, 17.9852961 3.8752797, 17.9852987 3.8752488, 17.9853117 3.8752206, 17.9853334 3.8751985, 17.9853614 3.875185, 17.9853923 3.8751818)",roundabout,
"[441903496, 441903497, 441903499]",,,unclassified,False,True,220.293,"LINESTRING (17.9904472 3.8692472, 17.9903436 3.8694232, 17.9902146 3.8696222, 17.9900261 3.8699099, 17.9899527 3.8700186, 17.9898651 3.8701216, 17.9897798 3.8702204, 17.9897326 3.870279, 17.9896538 3.8703731, 17.9894545 3.8705856, 17.9892287 3.8707999)",,yes
620568434,2,RN 6,primary,False,False,52.86,"LINESTRING (17.9849269 3.8713991, 17.9846929 3.870985)",,
603098107,,,residential,False,False,76.114,"LINESTRING (17.9849269 3.8713991, 17.9851006 3.8714252, 17.9853621 3.8714747, 17.985599 3.871534)",,
620568434,2,RN 6,primary,False,True,126.961,"LINESTRING (17.9849269 3.8713991, 17.9849987 3.8715456, 17.9850617 3.8717303, 17.9851314 3.872115, 17.9851945 3.8725026)",,
99938125,2,RN 6,primary,False,False,17.103,"LINESTRING (17.9879905 3.8751065, 17.9878393 3.8751365)",,
264460055,,,unclassified,False,True,13.266,"LINESTRING (17.9879905 3.8751065, 17.9879975 3.8752256)",,
99938125,2,RN 6,primary,False,True,17.103,"LINESTRING (17.9878393 3.8751365, 17.9879905 3.8751065)",,
99938125,2,RN 6,primary,False,False,163.45800000000003,"LINESTRING (17.9878393 3.8751365, 17.9875816 3.8751684, 17.9872678 3.8751992, 17.9863706 3.8752453)",,
