osmid,oneway,name,highway,reversed,length,geometry,bridge,tunnel
167349122,False,Mijata Tomića,secondary,False,60.063,"LINESTRING (17.2292928 43.7146397, 17.2292553 43.7146975, 17.2290821 43.7150536, 17.2290373 43.715147)",,
167913374,False,Kralja Zvonimira,tertiary,True,43.699,"LINESTRING (17.2256605 43.7193158, 17.2257737 43.7193751, 17.2259196 43.7194446, 17.2260638 43.7195037, 17.226119 43.7195263)",,
170734830,False,Mijata Tomića,secondary,False,147.8,"LINESTRING (17.2256605 43.7193158, 17.2255021 43.7195402, 17.2254358 43.7196214, 17.2252084 43.7198714, 17.2251026 43.7199877, 17.2249981 43.7201026, 17.2248129 43.7203022, 17.2246843 43.7204407)",,
170734830,False,Mijata Tomića,secondary,True,58.637,"LINESTRING (17.2256605 43.7193158, 17.2257435 43.7191688, 17.2258776 43.7188132)",,
475072989,False,Virgilija Nevjestića,residential,True,58.025,"LINESTRING (17.2237271 43.71251, 17.2238707 43.7130214)",,
167913257,False,Zrinsko-Frankopanska,residential,False,70.939,"LINESTRING (17.2237271 43.71251, 17.224123 43.7125424, 17.2246045 43.7125792)",,
475072989,False,Virgilija Nevjestića,residential,False,30.869,"LINESTRING (17.2237271 43.71251, 17.2235459 43.7125526, 17.2233663 43.7126047)",,
475072989,False,Virgilija Nevjestića,residential,False,58.025,"LINESTRING (17.2238707 43.7130214, 17.2237271 43.71251)",,
167913316,False,,residential,False,64.411,"LINESTRING (17.2238707 43.7130214, 17.2236667 43.7129628, 17.2235684 43.7128759, 17.2234756 43.7127654, 17.2233663 43.7126047)",,
475072989,False,Virgilija Nevjestića,residential,True,92.485,"LINESTRING (17.2238707 43.7130214, 17.2238859 43.7134924, 17.2238902 43.7136276, 17.2238999 43.713703, 17.2239191 43.713852)",,
167455364,True,Mijata Tomića,secondary,False,6.562,"LINESTRING (17.2272408 43.7174918, 17.2271669 43.7175169)",,
167455390,False,Bara,residential,False,38.485,"LINESTRING (17.2272408 43.7174918, 17.2273124 43.7175482, 17.2274476 43.7176401, 17.2275414 43.7176769, 17.2276208 43.7176871)",,
167455367,False,,living_street,False,85.221,"LINESTRING (17.2258776 43.7188132, 17.2260586 43.7188907, 17.2261759 43.7189266, 17.2262887 43.7189628, 17.2263798 43.7190035, 17.2264439 43.7190229, 17.2263988 43.7190746, 17.2263478 43.7191405, 17.2262513 43.7192394, 17.2262271 43.7192839)",,
170734830,False,Mijata Tomića,secondary,False,58.637,"LINESTRING (17.2258776 43.7188132, 17.2257435 43.7191688, 17.2256605 43.7193158)",,
475072959,True,Bana Kulina,residential,False,44.884,"LINESTRING (17.2258776 43.7188132, 17.2255153 43.7186846, 17.2253798 43.7186304)",,
665836863,False,Mijata Tomića,secondary,True,42.311,"LINESTRING (17.2258776 43.7188132, 17.225999 43.7186754, 17.2261685 43.7184961)",,
475072994,False,Stjepana Radića,residential,False,210.49199999999996,"LINESTRING (17.226889 43.7148413, 17.2267684 43.7148246, 17.2259818 43.7147156, 17.2255808 43.7146585, 17.2253984 43.7146255, 17.2253421 43.714608, 17.2252643 43.7145712, 17.225208 43.714514, 17.2251637 43.7144307, 17.2251365 43.7142782, 17.2251317 43.7142235, 17.2251259 43.7141576, 17.2250987 43.7139935, 17.2250934 43.7139104)",,
475072998,False,Bana Jelačića,residential,True,121.045,"LINESTRING (17.226889 43.7148413, 17.2269002 43.7148021, 17.2269506 43.7146179, 17.2269803 43.7145109, 17.226983 43.7145014, 17.2269947 43.7144592, 17.227042 43.7142822, 17.2270471 43.7142631, 17.2270571 43.7142256, 17.2270627 43.7142049, 17.2270782 43.7141468, 17.2271436 43.7139021, 17.2271811 43.7137734)",,
606822532,False,Stjepana Radića,residential,True,52.885,"LINESTRING (17.226889 43.7148413, 17.2270276 43.7148611, 17.2273991 43.7149143, 17.2275345 43.7149336)",,
230239995,False,Kralja Zvonimira,tertiary,False,32.144,"LINESTRING (17.2339976 43.7166213, 17.233669 43.7167861)",,
"[230240000, 760801641, 760801642]",False,Brigade kralja Tomislava,residential,False,281.074,"LINESTRING (17.2339976 43.7166213, 17.2338568 43.7165837, 17.2337422 43.716547, 17.233533 43.71648, 17.2332422 43.7163973, 17.2331594 43.7163668, 17.2326531 43.7161818, 17.2325802 43.7161519, 17.2322823 43.7160518, 17.2322033 43.7160268, 17.2321202 43.7159972, 17.2320412 43.7159704, 17.2319549 43.7159464, 17.2319228 43.715935, 17.2318698 43.7159162, 17.231728 43.7158662, 17.2316429 43.7158337, 17.2314546 43.7157612, 17.2314327 43.7157527, 17.2314124 43.7157472, 17.2311742 43.7156672, 17.2308396 43.7155402)",yes,
168975250,False,,residential,True,45.593,"LINESTRING (17.2315744 43.7177491, 17.2317882 43.7181289)",,
168654229,False,Frane Bokanovića - Bebe,residential,False,43.521,"LINESTRING (17.2315744 43.7177491, 17.2315063 43.7176612, 17.2312939 43.7174144)",,
