osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,bridge,lanes
220276631,residential,False,True,13.103,"LINESTRING (17.7598802 43.6625381, 17.7600378 43.6625679)",,,,,
220276619,residential,False,True,16.382,"LINESTRING (17.7598802 43.6625381, 17.759927 43.6625204, 17.7599605 43.6624969, 17.760004 43.6624676, 17.7600233 43.6624384)",,,,,
220276631,residential,False,False,68.36,"LINESTRING (17.7598802 43.6625381, 17.7597489 43.6625169, 17.7594168 43.6624655, 17.7590443 43.6624303)",,,,,
220276635,living_street,False,True,11.979,"LINESTRING (17.7590804 43.6596139, 17.7590657 43.6597211)",,,,,
220276654,living_street,False,True,37.06,"LINESTRING (17.7590804 43.6596139, 17.75862 43.6596258)",,,,,
220276654,living_street,False,False,33.166,"LINESTRING (17.7590804 43.6596139, 17.7590908 43.6594376, 17.759091 43.6593158)",,,,,
220277365,residential,False,False,154.148,"LINESTRING (17.7572765 43.6648616, 17.7572866 43.6647003, 17.7573237 43.6645958, 17.757326 43.6645188, 17.7572781 43.6644003, 17.7572663 43.6643226, 17.7572536 43.6642951, 17.7572299 43.6642695, 17.7571708 43.664242, 17.7570982 43.6642035, 17.7570458 43.6641417, 17.7570306 43.6640812, 17.7570255 43.664025, 17.7570323 43.6639767, 17.7570846 43.663926, 17.7573499 43.6638435, 17.7575003 43.6637836, 17.7575334 43.6637705)",,,,,
"[1002000595, 222962989]",primary,False,False,39.094,"LINESTRING (17.7572765 43.6648616, 17.7574597 43.6648556, 17.7576413 43.6648398, 17.7577588 43.6648232)","['M 219;M16.2', 'M 219;M-16.2']",Zlatnih Ljiljana,50,,
"[1149059411, 1002000595, 1002000596]",primary,False,True,127.703,"LINESTRING (17.7572765 43.6648616, 17.7572388 43.6648599, 17.757131 43.6648604, 17.7568521 43.6648584, 17.7564623 43.6648748, 17.7563193 43.6648886, 17.7561844 43.6649083, 17.7558904 43.664938, 17.7556965 43.6649404)",M 219;M16.2,,,yes,
222962994,primary,False,True,30.253999999999998,"LINESTRING (17.7628403 43.6606086, 17.7627476 43.660612, 17.7626339 43.6606134, 17.7624647 43.6606055)",M 219;M-16.2,,,,2
678176459,primary,False,True,23.483,"LINESTRING (17.7628403 43.6606086, 17.7628319 43.6605004, 17.7628349 43.6603976)",M 115;M-17,,,,3
678176463,primary,False,False,23.983,"LINESTRING (17.7628403 43.6606086, 17.7628588 43.6607, 17.7628997 43.6608197)",M 115;M-17,,,,2
220276631,residential,False,False,67.133,"LINESTRING (17.756681 43.6603723, 17.7568835 43.6603316, 17.7571249 43.6602792, 17.7572912 43.6602404, 17.7574757 43.6601892)",,,,,
220276631,residential,False,True,204.013,"LINESTRING (17.756681 43.6603723, 17.7567783 43.6604642, 17.7568675 43.6605604, 17.7569284 43.6606744, 17.7569956 43.6608344, 17.7570351 43.6609504, 17.757164 43.6612892, 17.757198 43.6613482, 17.7572426 43.6614073, 17.7573599 43.6615269, 17.7576325 43.661758, 17.7578662 43.661957)",,,,,
222962991,residential,False,True,383.20199999999994,"LINESTRING (17.7613478 43.6596041, 17.7613139 43.6595891, 17.7612693 43.6595779, 17.7611923 43.6595878, 17.761153 43.659596, 17.7611138 43.6596199, 17.7610489 43.6596931, 17.7610084 43.6597563, 17.7609802 43.6598196, 17.760955 43.6599199, 17.7609418 43.6600111, 17.760927 43.6601361, 17.7608171 43.660702, 17.7607605 43.6609361, 17.7607538 43.6610211, 17.7607496 43.6611164, 17.760758 43.6613576, 17.7607382 43.6615896, 17.7607214 43.6617922, 17.7607103 43.6618463, 17.760687 43.6619004, 17.7606701 43.6619566, 17.7606614 43.6620128, 17.7606692 43.6620942, 17.7606839 43.6621784, 17.760686 43.6622116, 17.76068 43.6622427, 17.7606545 43.6623128, 17.760622 43.6624249, 17.760594 43.6624963, 17.7605536 43.6625606, 17.7605086 43.6625902, 17.7604186 43.6626144, 17.7603449 43.6626135, 17.760216 43.6625892)",,Stara cesta,,,
"[222962993, 1148117231]",residential,True,False,114.037,"LINESTRING (17.7613478 43.6596041, 17.7613884 43.6596147, 17.7614289 43.6596214, 17.761508 43.6596242, 17.761652 43.6596137, 17.7618536 43.6595913, 17.7625105 43.6594787, 17.7627309 43.6594314)",,Stara cesta,,,
220276694,residential,False,False,124.896,"LINESTRING (17.7587809 43.6644479, 17.7588318 43.6646502, 17.7588402 43.6647431, 17.7588304 43.6648141, 17.7587636 43.6648933, 17.7586756 43.6649674, 17.7585293 43.6650737, 17.7585133 43.6651055, 17.7585285 43.6651404, 17.7588722 43.6653756)",,,,,
222962989,primary,False,False,76.08099999999999,"LINESTRING (17.7587809 43.6644479, 17.7591969 43.6642557, 17.7595081 43.6641102, 17.7595741 43.6640754)",M 219;M-16.2,Zlatnih Ljiljana,50,,
222962989,primary,False,True,92.509,"LINESTRING (17.7587809 43.6644479, 17.7582796 43.6646671, 17.7580797 43.6647323, 17.7579193 43.6647841, 17.7577588 43.6648232)",M 219;M-16.2,Zlatnih Ljiljana,50,,
