osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,junction
742040352,M 210;R-460,Sarajevska,primary,False,False,3.299,"LINESTRING (18.3105917 44.706655, 18.3106327 44.7066606)",,,,
196768164,,Kej fridriha foglera,residential,True,False,443.43600000000004,"LINESTRING (18.3105917 44.706655, 18.3105776 44.7066166, 18.3105456 44.7065653, 18.3103678 44.7063635, 18.3102781 44.7062198, 18.3102304 44.7060797, 18.3101569 44.7057293, 18.3101117 44.705487, 18.3101101 44.7054786, 18.3100545 44.7052245, 18.3100261 44.7049923, 18.3100179 44.7049251, 18.3099693 44.7047512, 18.3098807 44.704558, 18.3097847 44.7043692, 18.3096939 44.704217, 18.3096874 44.704206, 18.3095828 44.7040545, 18.3094545 44.7038845, 18.309271 44.7036877, 18.3091101 44.703543, 18.3089599 44.7033922, 18.3088207 44.7032199, 18.3087427 44.7031036, 18.3086957 44.702973)",,,,
"[742040352, 742040353, 280667773]",M 210;R-460,Sarajevska,primary,False,True,29.57,"LINESTRING (18.3105917 44.706655, 18.3105317 44.7066568, 18.3103486 44.7066754, 18.3103113 44.7066762, 18.3102722 44.7066712, 18.3102232 44.7066586)",yes,,,
742040352,M 210;R-460,Sarajevska,primary,False,True,3.299,"LINESTRING (18.3106327 44.7066606, 18.3105917 44.706655)",,,,
197667559,M 210;R-460,,primary,False,False,149.185,"LINESTRING (18.3106327 44.7066606, 18.3106606 44.7066819, 18.3106722 44.7067108, 18.3106679 44.7067471, 18.3104657 44.7071942, 18.3103551 44.7075885, 18.3102877 44.7079598)",,,,
197682759,,111. Gračaničke brigade,residential,False,True,88.18700000000001,"LINESTRING (18.3106327 44.7066606, 18.3107102 44.7066446, 18.3107754 44.7066409, 18.3108369 44.7066546, 18.3108991 44.7066995, 18.3110513 44.7068743, 18.3111624 44.70701, 18.3113096 44.7072011)",,,,
542877233,,,residential,False,True,45.987,"LINESTRING (18.3077404 44.7027192, 18.3083181 44.7026698)",,,,
196896598,,Patkovača,residential,False,False,19.57,"LINESTRING (18.3077404 44.7027192, 18.3076655 44.7027192, 18.3074938 44.7027059)",,,,
367501010,,,residential,False,False,150.078,"LINESTRING (18.3077404 44.7027192, 18.3076541 44.7028187, 18.3075784 44.7029362, 18.3075302 44.7030696, 18.3074921 44.7033769, 18.3074358 44.7036281, 18.3073658 44.7038476, 18.307305 44.7039563, 18.3072548 44.7040057)",,,,
367501010,,,residential,False,False,28.425,"LINESTRING (18.3079082 44.7047478, 18.30799 44.7047394, 18.3082355 44.7046482)",,,,
367501010,,,residential,False,True,102.59399999999998,"LINESTRING (18.3079082 44.7047478, 18.3079084 44.7046254, 18.3078769 44.7045231, 18.307817 44.7044323, 18.3077533 44.704349, 18.307704 44.704292, 18.3076623 44.704263, 18.3075693 44.7042108, 18.3074756 44.7041669, 18.3073857 44.7041241, 18.3073234 44.7040784, 18.3072548 44.7040057)",,,,
742293253,,Mustafe Rešidbegovića,residential,False,True,65.822,"LINESTRING (18.3079082 44.7047478, 18.3079166 44.7048436, 18.3079584 44.7049559, 18.3080489 44.7051279, 18.3081085 44.7052637, 18.3081067 44.7053176)",,,,
140273389,M 210;R-460,M. Ahmedbegovića,primary,False,False,144.60399999999998,"LINESTRING (18.3066883 44.7006059, 18.3069142 44.7009463, 18.3071634 44.7012349, 18.3072607 44.7013394, 18.3073499 44.7014351, 18.307562 44.701667, 18.3076161 44.701724)",,,,
140273389,M 210;R-460,M. Ahmedbegovića,primary,False,True,88.343,"LINESTRING (18.3066883 44.7006059, 18.3066007 44.700474, 18.3065483 44.7003805, 18.30647 44.7002408, 18.3064506 44.7002042, 18.3062725 44.6998688)",,,,
