osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes
148584423,Vinogradska,residential,False,False,290.41100000000006,"LINESTRING (17.691902 43.223855, 17.692349 43.2237771, 17.6924751 43.2237523, 17.692595 43.2237198, 17.6927296 43.2236515, 17.6928839 43.2235309, 17.6929845 43.2234804, 17.6933935 43.223316, 17.6938679 43.2231332, 17.6940549 43.2230773, 17.694179 43.2230267, 17.6942144 43.2230146, 17.6942509 43.223001, 17.6943467 43.2229589, 17.6944994 43.2228703, 17.6948521 43.2226824, 17.6950092 43.2226163)",,,,
184075288,Kralja Tomislava,primary,False,False,65.637,"LINESTRING (17.691902 43.223855, 17.6918983 43.2237697, 17.6918817 43.2236526, 17.6918095 43.2235059, 17.6917618 43.2234055, 17.6917043 43.2232876)",M-17.4,50,,
184075288,Kralja Tomislava,primary,False,True,47.983,"LINESTRING (17.691902 43.223855, 17.6919074 43.224095, 17.6919188 43.2242165, 17.6919278 43.2242859)",M-17.4,50,,
155535787,Kralja Tomislava,primary,False,False,50.999,"LINESTRING (17.6950954 43.2273413, 17.6946219 43.2270391)",M-17.4,50,,
155535787,Kralja Tomislava,primary,False,True,32.39,"LINESTRING (17.6950954 43.2273413, 17.6953989 43.2275309)",M-17.4,50,,
184746288,Kraljice Katarine,residential,False,False,70.465,"LINESTRING (17.6950954 43.2273413, 17.6950273 43.2273972, 17.6947887 43.2275913, 17.6945066 43.2278076)",,,,
"[305737368, 184075279]",Kralja Tomislava,primary,False,True,60.912000000000006,"LINESTRING (17.6924797 43.2251568, 17.6925762 43.2252629, 17.6929079 43.225607)",M-17.4,50,yes,
184075288,Kralja Tomislava,primary,False,False,106.90799999999999,"LINESTRING (17.6924797 43.2251568, 17.6922692 43.2248455, 17.6920352 43.2245175, 17.6919807 43.2244152, 17.6919618 43.2243616, 17.6919278 43.2242859)",M-17.4,50,,
184468047,Brigade kneza Branimira,residential,False,True,94.77199999999999,"LINESTRING (17.6924797 43.2251568, 17.6923873 43.2251704, 17.6923137 43.2251875, 17.6922109 43.2252191, 17.6921423 43.2252452, 17.6921127 43.2252701, 17.6920544 43.2253383, 17.6919939 43.2254499, 17.6918709 43.2256514, 17.6918248 43.2257081, 17.6917718 43.2257664)",,,,
184672590,Kralja Tvrtka,residential,False,True,47.417,"LINESTRING (17.6937934 43.2265603, 17.69376 43.2266078, 17.6937065 43.2266957, 17.6936592 43.2267735, 17.6935625 43.2269519)",,,,
