osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,junction,bridge,tunnel
10061403,True,1,primary_link,False,218.833,"LINESTRING (18.3081745 43.8347197, 18.308278 43.834643, 18.3084116 43.8345695, 18.3087582 43.8344303, 18.3091195 43.8343285, 18.3091969 43.8343018, 18.3092828 43.834259, 18.3093716 43.8341962, 18.309417 43.8341422, 18.3094377 43.834073, 18.3094326 43.8340179, 18.3093987 43.8339616, 18.3093038 43.8338912, 18.3091514 43.8338055, 18.3088527 43.8336476, 18.3086541 43.8335203)",,,,,,
192984983,True,2,primary,False,209.524,"LINESTRING (18.3081745 43.8347197, 18.3084057 43.8346252, 18.3088956 43.8344636, 18.3092129 43.834377, 18.3095302 43.834309, 18.3096916 43.8342811, 18.3098852 43.8342531, 18.3100352 43.8342404, 18.3102027 43.8342339, 18.310658 43.8342315)",M-17,Sarajevska cesta,80,,,
10061447,False,,residential,True,3.943,"LINESTRING (18.3041322 43.8296621, 18.3041716 43.8296833)",,Rustem-pašina,,,,
679447216,True,1,tertiary,False,19.032,"LINESTRING (18.3041322 43.8296621, 18.3042035 43.8295979, 18.3042832 43.8295301)",R 953,Hrasnička cesta,,,,
27452203,False,2,secondary,True,159.588,"LINESTRING (18.3025573 43.8316811, 18.3028946 43.8317905, 18.3034925 43.8319707, 18.3044218 43.8321756)",,Samira Ćatovića Kobre,,,,
1010379118,True,,secondary,False,22.742,"LINESTRING (18.3025573 43.8316811, 18.3024569 43.8316807, 18.3023566 43.8316861, 18.3022827 43.8317126)",,,,,,
679447219,True,2,tertiary,False,19.288,"LINESTRING (18.3042832 43.8295301, 18.3042328 43.8296118, 18.3041716 43.8296833)",R 953,Hrasnička cesta,,,,
10126981,False,,residential,False,14.142,"LINESTRING (18.3046696 43.8322293, 18.304636 43.8322976, 18.3046075 43.8323483)",,Željeznička,,,,
27514336,False,,residential,False,219.061,"LINESTRING (18.3046696 43.8322293, 18.3046997 43.8321583, 18.3047898 43.8319354, 18.3051612 43.8319457, 18.305813 43.831233, 18.3062316 43.8307833)",,Emira Bogunića Čarlija,,,,
"[679554464, 680215257, 679554463]",False,"['2', '3', '4']",secondary,True,223.38799999999998,"LINESTRING (18.3046696 43.8322293, 18.3047073 43.8322379, 18.3049806 43.8322898, 18.3056741 43.8324185, 18.3062084 43.8325373, 18.3066486 43.8326519, 18.3069528 43.8327383, 18.307156 43.8328023, 18.3073127 43.8328516)",,Samira Ćatovića Kobre,,,,
1046136935,False,2,secondary,False,20.754,"LINESTRING (18.3046696 43.8322293, 18.304567 43.8322076, 18.3044218 43.8321756)",,Samira Ćatovića Kobre,,,,
10127132,True,,residential,False,42.696,"LINESTRING (18.3044433 43.8326622, 18.3049464 43.8327876)",,Bosanskih gazija,,,,
764280923,True,,residential,False,92.993,"LINESTRING (18.3044433 43.8326622, 18.3037104 43.8333102)",,Željeznička,,,,
1046136934,False,,residential,True,37.306,"LINESTRING (18.3044433 43.8326622, 18.3046075 43.8323483)",,Željeznička,,,,
661893950,False,,residential,False,23.234,"LINESTRING (18.3033602 43.8336258, 18.3035814 43.8337607)",,Midhata Hujdura Hujke,,,,
1163509533,True,,residential,False,100.64699999999999,"LINESTRING (18.3033602 43.8336258, 18.3032061 43.8337679, 18.3031074 43.8338907, 18.3030255 43.8340773, 18.3029276 43.8342186, 18.302736 43.8344013)",,Željeznička,,,,
263228067,True,,residential,False,45.684,"LINESTRING (18.3024696 43.834581, 18.3020626 43.8348684)",,Željeznička,,,,
835511349,False,,living_street,True,28.953,"LINESTRING (18.3024696 43.834581, 18.3027189 43.8347693)",,,,,,
263228067,True,,residential,False,13.962,"LINESTRING (18.3019029 43.8349811, 18.3017734 43.835065)",,Željeznička,,,,
263228070,False,,residential,False,9.581,"LINESTRING (18.3065305 43.8333343, 18.3066161 43.8332742)",,Edhema Eke Džubura,40,,,
661893953,False,,residential,True,26.935,"LINESTRING (18.3065305 43.8333343, 18.3067584 43.8335122)",,Josipa Slavenskog,,,,
263228070,False,,residential,True,94.01499999999999,"LINESTRING (18.3065305 43.8333343, 18.3058956 43.8337721, 18.3056832 43.8339185)",,Edhema Eke Džubura,40,,,
