osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes,bridge,access
119154436,R-474,Beogradska,secondary,False,False,36.597,"LINESTRING (17.6656964 44.8721851, 17.6657893 44.8721337, 17.6660625 44.8719826)",,,,,
119154480,R-474,Vojvode Bojovića,secondary,False,False,66.74799999999999,"LINESTRING (17.6656964 44.8721851, 17.6657346 44.8724057, 17.665741 44.8725074, 17.6657339 44.8726114, 17.6657213 44.8726945, 17.6656783 44.8727776)",40,,,,
170046224,,,residential,False,True,112.528,"LINESTRING (17.6656964 44.8721851, 17.6651227 44.8723808, 17.6645848 44.8725436, 17.6643881 44.8725879)",,,,,
105852112,,Jovana Dučića,residential,False,False,143.216,"LINESTRING (17.6588766 44.8685061, 17.6588029 44.8684405, 17.6586992 44.86833, 17.6585544 44.8682045, 17.658428 44.8681061, 17.6583029 44.8680241, 17.658209 44.8679781, 17.6579439 44.8678916, 17.6577126 44.8678384, 17.6574588 44.8677622)",40,,,,
836060875,,,residential,True,False,13.247,"LINESTRING (17.6588766 44.8685061, 17.6589055 44.8684939, 17.6589385 44.8684893, 17.6589717 44.868493, 17.6590013 44.8685043, 17.6590236 44.8685221)",,roundabout,,,
105852405,,Stevana Nemanje,residential,False,False,97.62699999999998,"LINESTRING (17.6603017 44.8702109, 17.660223 44.8702731, 17.6601089 44.8703593, 17.6598621 44.8705431, 17.6597639 44.870637, 17.6597167 44.8707171, 17.659696 44.8707904, 17.6596864 44.8708533, 17.659689 44.8709341)",40,,,,
105852405,,Stevana Nemanje,residential,False,True,112.856,"LINESTRING (17.6603017 44.8702109, 17.6604072 44.8701548, 17.6611098 44.8697282, 17.6613946 44.8695553)",40,,,,
170046222,,Branka Ćopića,residential,False,False,55.547999999999995,"LINESTRING (17.6603017 44.8702109, 17.6603591 44.8702652, 17.6605451 44.8705539, 17.660618 44.8706559)",,,,,
170046222,,Branka Ćopića,residential,False,True,212.26900000000003,"LINESTRING (17.6603017 44.8702109, 17.6602175 44.870155, 17.6598131 44.8698796, 17.659576 44.8697215, 17.6594864 44.8696473, 17.6593973 44.8695607, 17.659327 44.8694749, 17.6592526 44.8693386, 17.6592308 44.8691977, 17.6592189 44.8691127, 17.6591091 44.8688893, 17.6590369 44.868686, 17.6590161 44.8686502, 17.6589892 44.8686188)",,,,,
105852404,,Cara Lazara,residential,False,False,96.33800000000001,"LINESTRING (17.6617707 44.8723037, 17.6618837 44.8723276, 17.6620195 44.8723419, 17.6622803 44.8723338, 17.6625522 44.8723159, 17.6629827 44.8722817)",40,,,,
