osmid,highway,oneway,reversed,length,geometry,lanes,ref,bridge,name
159481162,residential,False,False,36.99,"LINESTRING (18.4936555 44.7047419, 18.4937806 44.7048514, 18.4939613 44.7049936)",,,,
204157111,residential,False,True,54.266000000000005,"LINESTRING (18.4936555 44.7047419, 18.4935051 44.704632, 18.4931767 44.7043921)",,,,
483400918,primary,False,False,392.08199999999994,"LINESTRING (18.4936555 44.7047419, 18.4937155 44.704648, 18.4941483 44.7039704, 18.4942133 44.7038686, 18.4943039 44.7037268, 18.4944829 44.703458, 18.4945701 44.7033176, 18.4949322 44.7027345, 18.4952487 44.7021988, 18.495639 44.7015106)",2,M-1.8,,
483400918,primary,False,True,318.514,"LINESTRING (18.4936555 44.7047419, 18.4930386 44.7056398, 18.4929976 44.7057064, 18.4926651 44.7062464, 18.4925963 44.7063583, 18.4922467 44.7069923, 18.4920597 44.7073696)",2,M-1.8,,
453502660,primary,False,False,63.114999999999995,"LINESTRING (18.4850776 44.706726, 18.4851958 44.706775, 18.4852695 44.7068146, 18.4854841 44.7069465, 18.4857114 44.7070695)",,M 210;R-461,,
48699750,residential,False,True,110.322,"LINESTRING (18.4866256 44.7073894, 18.4866858 44.7072058, 18.4867851 44.7068756, 18.4868387 44.7067742, 18.4870952 44.7064665)",,,,
134419910,residential,False,False,67.31,"LINESTRING (18.4866256 44.7073894, 18.4866032 44.707455, 18.4865663 44.7075258, 18.4865272 44.7076553, 18.4864997 44.7079846)",,,,
483408984,primary,False,False,25.652,"LINESTRING (18.4866256 44.7073894, 18.4868319 44.7074336, 18.48694 44.7074442)",,M 210;R-461,,
"[483408984, 483408986, 453502660]",primary,False,True,80.79700000000001,"LINESTRING (18.4866256 44.7073894, 18.4864712 44.7073546, 18.4862043 44.7072678, 18.4857925 44.7071095, 18.4857114 44.7070695)",,M 210;R-461,yes,
160316218,residential,False,True,59.307,"LINESTRING (18.48694 44.7074442, 18.4868951 44.7079766)",,,,
483408984,primary,False,False,219.514,"LINESTRING (18.48694 44.7074442, 18.4872531 44.7074365, 18.4875079 44.7074156, 18.4879517 44.7073603, 18.4885091 44.7072998, 18.4887022 44.7072922, 18.4888382 44.7072868, 18.4897011 44.707316)",,M 210;R-461,,
483408984,primary,False,True,25.652,"LINESTRING (18.48694 44.7074442, 18.4868319 44.7074336, 18.4866256 44.7073894)",,M 210;R-461,,
996059721,primary,False,True,91.655,"LINESTRING (18.4897011 44.707316, 18.4908589 44.7073642)",2,M 210;R-461,,
134416255,residential,False,False,108.976,"LINESTRING (18.4897011 44.707316, 18.4897213 44.7071907, 18.4898695 44.7063433)",,,,
