osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,bridge,ref
"[231561771, 626039644]",Nikole Bojinovića,residential,False,False,96.761,30,"LINESTRING (16.8459174 44.0412405, 16.8461375 44.0413911, 16.8465667 44.0416793, 16.8466138 44.0417124, 16.8466429 44.041734, 16.8467265 44.041796, 16.846791 44.0418427)",,,
231561771,Nikole Bojinovića,residential,False,False,9.942,30,"LINESTRING (16.8492522 44.0438507, 16.8493344 44.0439178)",,,
231561771,Nikole Bojinovića,residential,False,True,68.80000000000001,30,"LINESTRING (16.8492522 44.0438507, 16.8491889 44.0438045, 16.8491426 44.0437658, 16.8490107 44.0436747, 16.8489234 44.0436144, 16.84874 44.0434931, 16.8486641 44.0434576, 16.8486183 44.0434347)",,,
"[232443010, 232371211]",Novosadska,residential,False,"[False, True]",247.86199999999997,,"LINESTRING (16.8492522 44.0438507, 16.849194 44.0438808, 16.8491091 44.0439228, 16.8490608 44.0439758, 16.8489994 44.0441124, 16.8489474 44.0442571, 16.848875 44.0444118, 16.8488286 44.0444902, 16.8487276 44.0445553, 16.848612 44.0446068, 16.8485437 44.0446217, 16.8484688 44.0446291, 16.8483921 44.0446274, 16.848303 44.0446185, 16.8481846 44.0445896, 16.8480466 44.0445516, 16.8478291 44.0444791, 16.8477319 44.0444484, 16.8476635 44.0444248, 16.8475977 44.044407, 16.847371 44.044344, 16.8471231 44.0442744, 16.8470459 44.0442551, 16.8469156 44.0442114)",1,,
231561771,Nikole Bojinovića,residential,False,True,9.942,30,"LINESTRING (16.8493344 44.0439178, 16.8492522 44.0438507)",,,
232344296,Trg zrtava fašističkog terora,residential,False,True,36.04,,"LINESTRING (16.8493344 44.0439178, 16.8493536 44.0439659, 16.8493708 44.0440508, 16.8493902 44.0441555, 16.8494009 44.0442378)",,,
232354464,Dalmatinskih brigada,residential,False,False,72.922,,"LINESTRING (16.8493344 44.0439178, 16.8493436 44.0438546, 16.8493525 44.043793, 16.8493746 44.0436398, 16.849379 44.0436096, 16.8494141 44.0433669, 16.8494288 44.0432655)",,,
231561771,Nikole Bojinovića,residential,False,False,112.076,30,"LINESTRING (16.846791 44.0418427, 16.8468276 44.0418968, 16.8469154 44.0420496, 16.8469876 44.0421382, 16.8470731 44.0422408, 16.8471675 44.0423408, 16.8472171 44.0423889, 16.8472695 44.0424334, 16.8472964 44.0424542, 16.847389 44.0425098, 16.8474884 44.0425729, 16.8475419 44.0426011, 16.8475875 44.0426252, 16.8476125 44.0426384)",,,
"[231561771, 626039644]",Nikole Bojinovića,residential,False,True,96.761,30,"LINESTRING (16.846791 44.0418427, 16.8467265 44.041796, 16.8466429 44.041734, 16.8466138 44.0417124, 16.8465667 44.0416793, 16.8461375 44.0413911, 16.8459174 44.0412405)",,,
"[762923228, 231561775]",Nikole Bojinovića,residential,False,"[False, True]",100.754,,"LINESTRING (16.846791 44.0418427, 16.8467813 44.0417799, 16.8467568 44.0417408, 16.8466942 44.0416744, 16.8466698 44.0416147, 16.8466592 44.041544, 16.8466732 44.041485, 16.8467074 44.0414394, 16.8467882 44.0414073, 16.8471463 44.0412874, 16.8471819 44.0412744, 16.8472196 44.0412585, 16.847297 44.0412261)",,,
231561771,Nikole Bojinovića,residential,False,False,113.94300000000001,30,"LINESTRING (16.8477787 44.0426829, 16.8478059 44.0427301, 16.8478705 44.0428439, 16.8479604 44.0430366, 16.8480263 44.0431443, 16.8480656 44.0431959, 16.8480833 44.0432189, 16.848176 44.0432773, 16.8483172 44.0433416, 16.8484358 44.0433799, 16.8485674 44.043424, 16.8486183 44.0434347)",,,
231561771,Nikole Bojinovića,residential,False,True,14.232000000000001,30,"LINESTRING (16.8477787 44.0426829, 16.8476716 44.0426601, 16.8476125 44.0426384)",,,
232354458,Omladinska,residential,False,True,37.575,,"LINESTRING (16.8477787 44.0426829, 16.8478172 44.0426806, 16.8478638 44.0426788, 16.8479277 44.0426713, 16.8480459 44.0426625, 16.8481367 44.0426555, 16.848246 44.0426472)",,,
"[762923228, 231561775]",Nikole Bojinovića,residential,False,"[False, True]",100.75399999999998,,"LINESTRING (16.847297 44.0412261, 16.8472196 44.0412585, 16.8471819 44.0412744, 16.8471463 44.0412874, 16.8467882 44.0414073, 16.8467074 44.0414394, 16.8466732 44.041485, 16.8466592 44.041544, 16.8466698 44.0416147, 16.8466942 44.0416744, 16.8467568 44.0417408, 16.8467813 44.0417799, 16.846791 44.0418427)",,,
231561771,Nikole Bojinovića,residential,False,False,14.232000000000001,30,"LINESTRING (16.8476125 44.0426384, 16.8476716 44.0426601, 16.8477787 44.0426829)",,,
231561771,Nikole Bojinovića,residential,False,True,112.076,30,"LINESTRING (16.8476125 44.0426384, 16.8475875 44.0426252, 16.8475419 44.0426011, 16.8474884 44.0425729, 16.847389 44.0425098, 16.8472964 44.0424542, 16.8472695 44.0424334, 16.8472171 44.0423889, 16.8471675 44.0423408, 16.8470731 44.0422408, 16.8469876 44.0421382, 16.8469154 44.0420496, 16.8468276 44.0418968, 16.846791 44.0418427)",,,
"[232344299, 232344300]",Miluna Gavrića,residential,False,"[False, True]",194.09299999999996,40,"LINESTRING (16.8476125 44.0426384, 16.8475833 44.0427468, 16.8475667 44.0427927, 16.8475325 44.0429246, 16.847507 44.0429839, 16.8474031 44.0432484, 16.8473185 44.0434543, 16.8472594 44.0435597, 16.847165 44.0437418, 16.8471159 44.0438391, 16.8470565 44.0439429, 16.8470309 44.0439878, 16.8467994 44.0440237, 16.8466065 44.0440645, 16.8465885 44.0440719)",1,,
