osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,access,tunnel
194212230,Suhi do,residential,False,False,285.77199999999993,"LINESTRING (17.9638858 43.6518922, 17.9639869 43.6519146, 17.9640688 43.6519273, 17.9641582 43.6519377, 17.9642525 43.6519411, 17.9643286 43.6519435, 17.9644212 43.6519334, 17.9645031 43.6519161, 17.9645856 43.6518976, 17.9646601 43.651878, 17.9649257 43.6518056, 17.9651572 43.6517448, 17.9652935 43.6517043, 17.9653536 43.6516808, 17.9653797 43.6516593, 17.965401 43.6516315, 17.9654244 43.6515322, 17.9654618 43.6514741, 17.9655239 43.6514236, 17.9656351 43.6513843, 17.9657575 43.6513856, 17.9658734 43.6514128, 17.9660115 43.651453, 17.9661334 43.6514577, 17.9662637 43.6514459, 17.9663574 43.651412, 17.9665043 43.6513416, 17.9666927 43.6512507, 17.9667603 43.6511856, 17.9668539 43.6510447)",,,,,,
327295771,Musala,residential,False,False,17.288999999999998,"LINESTRING (17.9638858 43.6518922, 17.9638522 43.6519096, 17.9638166 43.6519192, 17.9637793 43.6519261, 17.9637266 43.6519365, 17.9636851 43.651943)",,,,,,
172701037,Varda,secondary,False,False,79.122,"LINESTRING (17.9570648 43.6541447, 17.9575288 43.6539574, 17.9579271 43.6538026)",2,R-435,,,,
194463070,3. mart,residential,False,True,74.146,"LINESTRING (17.9570648 43.6541447, 17.9569728 43.6540549, 17.9568959 43.6539962, 17.9568283 43.6539639, 17.9567514 43.6539602, 17.9566653 43.6539791, 17.9563008 43.6541106)",,,,,,
220277984,Trg državnosti,primary,False,True,42.411,"LINESTRING (17.9628825 43.6551397, 17.9627739 43.6550699, 17.9627169 43.6550403, 17.9626693 43.6550165, 17.9624778 43.6549293, 17.9624544 43.6549187)",3,M 115;M-17,,,,
220278968,Trg državnosti,secondary,False,True,30.333,"LINESTRING (17.9628825 43.6551397, 17.962874 43.6551877, 17.9628618 43.6552262, 17.9628506 43.6552612, 17.962825 43.6553167, 17.9627734 43.6553991)",,,,,,
220282975,Trg državnosti,tertiary,False,False,28.892,"LINESTRING (17.9628825 43.6551397, 17.9629248 43.6549641, 17.9629462 43.654884)",,,,,,
678281278,Trg državnosti,primary,False,False,90.223,"LINESTRING (17.9628825 43.6551397, 17.9629791 43.6552038, 17.9630093 43.6552266, 17.9630884 43.6552828, 17.9635535 43.655656, 17.9636496 43.655731)",3,M 115;M-17,,,,
266816187,Pave Anđelića,residential,False,False,20.839,"LINESTRING (17.9656476 43.6567988, 17.9656231 43.6568491, 17.9655575 43.6569745)",,,,,,
"[678281296, 678281284, 678281278]","['Trg državnosti', 'Trešanica']",primary,False,True,202.494,"LINESTRING (17.9656476 43.6567988, 17.9653739 43.6566368, 17.9652193 43.6565776, 17.9650706 43.6565274, 17.9646347 43.6563789, 17.9643939 43.6562793, 17.9642925 43.6562279, 17.9641784 43.6561515, 17.9638549 43.6558862, 17.9637185 43.6557859, 17.9636496 43.655731)","['2', '3']",M 115;M-17,50,,,
678283733,Kolonija,primary,False,False,21.526,"LINESTRING (17.9598563 43.6542632, 17.9601154 43.6543115)",2,M 115;M-17,,,,
"[1139050433, 678283732, 678283733, 220278975]",Kolonija,primary,False,True,461.48,"LINESTRING (17.9598563 43.6542632, 17.9598062 43.654259, 17.9596974 43.6542565, 17.959397 43.6542798, 17.9589216 43.6543673, 17.9585498 43.65444, 17.9585173 43.6544463, 17.9583767 43.6544815, 17.9582169 43.6545215, 17.958157 43.6545389, 17.9581295 43.6545469, 17.957895 43.6546152, 17.9578182 43.6546432, 17.957756 43.6546639, 17.9576058 43.6547185, 17.9567148 43.6550366, 17.9556634 43.65545, 17.9552429 43.6556133, 17.9550787 43.655677, 17.954928 43.6557328, 17.9548929 43.6557458, 17.954612 43.6558498)",2,M 115;M-17,,,,
1068248120,Huseinbegova,residential,False,True,23.055000000000003,"LINESTRING (17.9598563 43.6542632, 17.9598821 43.6542253, 17.9599166 43.6542078, 17.9599587 43.6541939, 17.9600259 43.6541764, 17.9600887 43.6541569)",,,,,,
220278968,Trg državnosti,secondary,False,False,30.333,"LINESTRING (17.9627734 43.6553991, 17.962825 43.6553167, 17.9628506 43.6552612, 17.9628618 43.6552262, 17.962874 43.6551877, 17.9628825 43.6551397)",,,,,,
"[220278970, 347761242]","['Željeznička', 'Trg državnosti']",secondary,False,False,97.58699999999999,"LINESTRING (17.9627734 43.6553991, 17.9627424 43.6554361, 17.9627156 43.6554711, 17.9626847 43.6555065, 17.9625105 43.655703, 17.962492 43.6557237, 17.9621427 43.6561486)",,,,,,
"[347761242, 220278964, 220278966]",Željeznička,secondary,False,True,36.712999999999994,"LINESTRING (17.9618984 43.6564204, 17.9619373 43.656406, 17.9619654 43.6563869, 17.9619885 43.6563536, 17.9621166 43.6561815, 17.9621427 43.6561486)",,,,yes,,
266817502,Željeznička,residential,False,True,347.24600000000004,"LINESTRING (17.9618984 43.6564204, 17.961618 43.6568134, 17.9616057 43.6568496, 17.9616217 43.6568681, 17.9616558 43.6568881, 17.9617931 43.6569501, 17.9622173 43.6571319, 17.9626393 43.657314, 17.9639661 43.6578808, 17.9642645 43.6579923, 17.9643524 43.6580219, 17.9644107 43.6580311, 17.964465 43.6580316, 17.964526 43.6580195, 17.964581 43.6579982, 17.964683 43.6579618, 17.9647755 43.6579239)",,,,,,
347763400,Luka,secondary,False,False,79.024,"LINESTRING (17.9618984 43.6564204, 17.9618452 43.656416, 17.961792 43.6564038, 17.9617457 43.6563868, 17.961022 43.6561063)",,R 418b,,,,
347770073,Civilnih žrtava rata,residential,False,False,104.636,"LINESTRING (17.9618984 43.6564204, 17.9620111 43.6564623, 17.9622837 43.6565684, 17.9624781 43.656639, 17.9630342 43.6568781)",,,,,,
"[220282971, 220278963]",Maršala Tita,residential,False,False,295.716,"LINESTRING (17.9633226 43.651402, 17.9632305 43.6514119, 17.9631966 43.6514155, 17.9630964 43.6514426, 17.9630077 43.6514998, 17.9629005 43.651638, 17.9627997 43.6517911, 17.9627032 43.6519349, 17.9625731 43.6521628, 17.9624471 43.6523566, 17.9623826 43.6524617, 17.9622939 43.6526065, 17.9621812 43.6528224, 17.9620739 43.6530591, 17.9619561 43.6533156, 17.9617632 43.6537241)",,,,,,
435442412,Maršala Tita,tertiary,False,True,52.983999999999995,"LINESTRING (17.9633226 43.651402, 17.9633426 43.6516023, 17.9633572 43.6517049, 17.9633741 43.651877)",,,,,,
