osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,access
87020745,Stjepana II. Kotromanića,residential,False,True,72.34,"LINESTRING (17.0080947 43.8214439, 17.0085034 43.8220238)",,,,
192402198,Stjepana II. Kotromanića,residential,False,True,55.92,"LINESTRING (17.0080947 43.8214439, 17.0077576 43.8215758, 17.0074841 43.8216864)",,,,
87020745,Stjepana II. Kotromanića,residential,False,False,72.34,"LINESTRING (17.0085034 43.8220238, 17.0080947 43.8214439)",,,,
87020745,Stjepana II. Kotromanića,residential,False,True,53.58,"LINESTRING (17.0085034 43.8220238, 17.0083974 43.8220691, 17.0079288 43.8222694)",,,,
523392740,,residential,False,True,64.288,"LINESTRING (17.0085034 43.8220238, 17.0086652 43.8222377, 17.0087278 43.8223124, 17.0089051 43.8225239)",,,,
87020725,,residential,False,True,47.487,"LINESTRING (17.0070441 43.8232461, 17.0065195 43.8234439)",,,,
87020770,Stjepana II. Kotromanića,residential,False,False,18.898,"LINESTRING (17.0070441 43.8232461, 17.0069803 43.8231618, 17.0069279 43.8230983)",,,,
87020770,Stjepana II. Kotromanića,residential,False,True,41.571,"LINESTRING (17.0070441 43.8232461, 17.0072622 43.8235637, 17.0072752 43.8235807)",,,,
87020770,Stjepana II. Kotromanića,residential,False,False,72.488,"LINESTRING (17.0066874 43.8227826, 17.0062326 43.8222193)",,,,
87020770,Stjepana II. Kotromanića,residential,False,True,40.057,"LINESTRING (17.0066874 43.8227826, 17.0069279 43.8230983)",,,,
87020745,Stjepana II. Kotromanića,residential,False,False,69.209,"LINESTRING (17.0066874 43.8227826, 17.0074202 43.8224934, 17.0074436 43.8224831)",,,,
87020725,,residential,False,False,52.236,"LINESTRING (17.0059453 43.8236654, 17.0065195 43.8234439)",,,,
87020725,,residential,False,True,40.948,"LINESTRING (17.0059453 43.8236654, 17.0060282 43.8238882, 17.0060689 43.8240226)",,,,
87020765,,residential,False,False,70.223,"LINESTRING (17.0059453 43.8236654, 17.0058399 43.8235224, 17.0064123 43.8232989)",,,,
87020765,,residential,False,True,46.995,"LINESTRING (17.0069279 43.8230983, 17.0064123 43.8232989)",,,,
87020770,Stjepana II. Kotromanića,residential,False,False,40.057,"LINESTRING (17.0069279 43.8230983, 17.0066874 43.8227826)",,,,
87020770,Stjepana II. Kotromanića,residential,False,True,18.898,"LINESTRING (17.0069279 43.8230983, 17.0069803 43.8231618, 17.0070441 43.8232461)",,,,
192280120,Gabrijela Jurkića,tertiary,False,False,10.521,"LINESTRING (17.0058634 43.8253283, 17.0057518 43.825378)",,,,
192280120,Gabrijela Jurkića,tertiary,False,True,11.783,"LINESTRING (17.0058634 43.8253283, 17.0059887 43.825273)",,,,
90043614,Župana Želimira,tertiary,False,False,53.733,"LINESTRING (17.0058634 43.8253283, 17.0056775 43.8250606, 17.0055913 43.8249331, 17.0055658 43.8248954)",,,,
192285373,Dinarina,residential,False,True,64.367,"LINESTRING (17.0073772 43.8270341, 17.0072891 43.8269067, 17.0072787 43.8268936, 17.0070907 43.8266552, 17.006978 43.8265326)",,,,
192391589,Trg Žitarnica,residential,False,True,21.185000000000002,"LINESTRING (17.0073772 43.8270341, 17.0073359 43.827056, 17.0072818 43.8270865, 17.0072033 43.8271051, 17.0071435 43.8271156)",,,,
965072630,Trg Žitarnica,residential,False,False,46.79,"LINESTRING (17.0073772 43.8270341, 17.0075708 43.827288, 17.0076593 43.8274024)",,,,
157273826,Zagrebačka,tertiary,False,True,55.362,"LINESTRING (17.001973 43.8284097, 17.0024807 43.8282066, 17.0025769 43.8281687)",2,,,
192440393,Šibenska,residential,False,False,84.601,"LINESTRING (17.001973 43.8284097, 17.0022876 43.8289372, 17.0023898 43.8291086)",,,,
157273826,Zagrebačka,tertiary,False,True,5.472,"LINESTRING (17.0035804 43.8276778, 17.003631 43.8276448)",2,,,
157273826,Zagrebačka,tertiary,False,False,13.79,"LINESTRING (17.0035804 43.8276778, 17.0034881 43.8277329, 17.003448 43.8277569)",2,,,
