osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
538394306,False,,,,tertiary_link,,True,11.658,"LINESTRING (43.6761705 36.2727257, 43.676044 36.2727014)"
538394306,False,,,,tertiary_link,,False,11.658,"LINESTRING (43.676044 36.2727014, 43.6761705 36.2727257)"
349765078,True,,,,tertiary,,False,191.76600000000002,"LINESTRING (43.676044 36.2727014, 43.676441 36.2711368, 43.6764727 36.2710118)"
1081282577,False,,,,residential,,False,3.47,"LINESTRING (43.6791422 36.2752943, 43.6791807 36.2752911)"
"[1081282577, 1174951381]",False,,,,residential,,True,162.594,"LINESTRING (43.6791422 36.2752943, 43.6789487 36.2753173, 43.6785644 36.2753638, 43.6781963 36.2754264, 43.6777994 36.2755122, 43.6777434 36.2755664, 43.6777031 36.2756464, 43.6776468 36.275841)"
1081282577,False,,,,residential,,False,14.984,"LINESTRING (43.6806345 36.2751098, 43.6808001 36.2750915)"
1081282577,False,,,,residential,,True,131.874,"LINESTRING (43.6806345 36.2751098, 43.6791807 36.2752911)"
538394316,False,,,,residential,,True,146.371,"LINESTRING (43.6791379 36.2750061, 43.6807542 36.2748194)"
538394317,False,,,,residential,,False,31.922,"LINESTRING (43.6791379 36.2750061, 43.6791807 36.2752911)"
538394317,False,,,,residential,,True,184.636,"LINESTRING (43.6791379 36.2750061, 43.6791032 36.2746669, 43.6791448 36.2746323, 43.6792186 36.2746172, 43.680705 36.2744455)"
506336067,True,,,GASHA Company St,tertiary,,False,41.809,"LINESTRING (43.6807542 36.2748194, 43.680705 36.2744455)"
538394316,False,,,,residential,,False,146.371,"LINESTRING (43.6807542 36.2748194, 43.6791379 36.2750061)"
506336067,True,,,GASHA Company St,tertiary,,False,30.535,"LINESTRING (43.6808001 36.2750915, 43.6807542 36.2748194)"
1081282577,False,,,,residential,,True,14.984,"LINESTRING (43.6808001 36.2750915, 43.6806345 36.2751098)"
321698496,False,,,,secondary,,False,29.997,"LINESTRING (43.6755446 36.270863, 43.6752221 36.2707911)"
321698496,False,,,,secondary,,True,50.997,"LINESTRING (43.6755446 36.270863, 43.676103 36.2709505)"
538395405,False,,,,residential,,True,84.771,"LINESTRING (43.6755446 36.270863, 43.675375 36.2708978, 43.6750724 36.2709022, 43.6746059 36.2708727)"
538395407,False,,,,residential,,False,20.514,"LINESTRING (43.6746059 36.2708727, 43.674714 36.2707101)"
538395407,False,,,,residential,,True,57.503,"LINESTRING (43.6746059 36.2708727, 43.6743933 36.2713606)"
538395405,False,,,,residential,,False,84.77100000000002,"LINESTRING (43.6746059 36.2708727, 43.6750724 36.2709022, 43.675375 36.2708978, 43.6755446 36.270863)"
321698496,False,,,,secondary,,True,46.433,"LINESTRING (43.674714 36.2707101, 43.6752221 36.2707911)"
538395407,False,,,,residential,,True,20.514,"LINESTRING (43.674714 36.2707101, 43.6746059 36.2708727)"
538395407,False,,,,residential,,False,85.235,"LINESTRING (43.6742138 36.2723749, 43.6742983 36.2716114)"
538395407,False,,,,residential,,False,29.159,"LINESTRING (43.6742983 36.2716114, 43.6743933 36.2713606)"
538395407,False,,,,residential,,True,85.235,"LINESTRING (43.6742983 36.2716114, 43.6742138 36.2723749)"
556854557,False,,,,residential,,True,57.161,"LINESTRING (43.6742983 36.2716114, 43.6749242 36.2717095)"
349765081,False,,,,residential,,False,58.283,"LINESTRING (43.6757574 36.2722781, 43.6756282 36.2727918)"
349765081,False,,,,residential,,True,150.839,"LINESTRING (43.6757574 36.2722781, 43.676103 36.2709505)"
556854558,False,,,,residential,,True,24.724,"LINESTRING (43.6757574 36.2722781, 43.6754876 36.272232)"
538395412,False,,,,residential,,True,57.243,"LINESTRING (43.6754876 36.272232, 43.6753605 36.2727365)"
556854558,False,,,,residential,,False,24.724,"LINESTRING (43.6754876 36.272232, 43.6757574 36.2722781)"
"[538395410, 556854557]",False,,,,residential,,False,99.19800000000001,"LINESTRING (43.6754876 36.272232, 43.6753541 36.2721452, 43.6753323 36.2720736, 43.6753935 36.2717831, 43.6749242 36.2717095)"
538395412,False,,,,residential,,False,57.243,"LINESTRING (43.6753605 36.2727365, 43.6754876 36.272232)"
538395414,False,,,,residential,,False,24.774,"LINESTRING (43.6753605 36.2727365, 43.6756282 36.2727918)"
"[538395414, 556854559]",False,,,,residential,,True,236.88799999999998,"LINESTRING (43.6753605 36.2727365, 43.6752725 36.2727582, 43.6751651 36.2727661, 43.6744304 36.2727215, 43.6743645 36.2727463, 43.6742699 36.2730386, 43.6754961 36.2732666)"
349765081,False,,,,residential,,False,54.107,"LINESTRING (43.6756282 36.2727918, 43.6754961 36.2732666)"
349765081,False,,,,residential,,True,58.283,"LINESTRING (43.6756282 36.2727918, 43.6757574 36.2722781)"
