osmid,oneway,ref,highway,reversed,length,lanes,name,geometry,junction
400353799,True,7,trunk,False,16.091,,,"LINESTRING (46.0524583 32.1676282, 46.0524906 32.1677703)",
222914657,True,7,trunk,False,57.853,2,,"LINESTRING (46.0522826 32.1676641, 46.0521106 32.1671646)",
308274739,True,,secondary,False,17.013,,شارع سعيد بن جبير,"LINESTRING (46.0522826 32.1676641, 46.0524583 32.1676282)",
758443495,True,,secondary,False,17.046,,شارع سعيد بن جبير,"LINESTRING (46.0524906 32.1677703, 46.052316 32.167811)",
222914657,True,7,trunk,False,16.634,2,,"LINESTRING (46.052316 32.167811, 46.0522826 32.1676641)",
775834259,False,,residential,True,183.15499999999997,,,"LINESTRING (46.052316 32.167811, 46.0520911 32.1678546, 46.0504032 32.1681123)",
222914657,True,7,trunk,False,19.436,2,,"LINESTRING (46.0521106 32.1671646, 46.0520528 32.1669968)",
308274742,True,,primary,False,177.28099999999998,,,"LINESTRING (46.0521106 32.1671646, 46.0518826 32.1671669, 46.0502551 32.1674232)",
308274743,True,,primary,False,14.812999999999999,,,"LINESTRING (46.0449407 32.1681639, 46.0449606 32.1682283, 46.0449554 32.1682948)",roundabout
308274743,True,,primary,False,12.951,,,"LINESTRING (46.0444792 32.168362, 46.0444717 32.1682457)",roundabout
308275004,True,,primary,False,30.226,,,"LINESTRING (46.0444792 32.168362, 46.0441601 32.1683925)",
308274743,True,,primary,False,23.509,,,"LINESTRING (46.0444717 32.1682457, 46.0444868 32.1681764, 46.0445284 32.1681153, 46.0445917 32.1680696)",roundabout
308274746,True,,primary,False,96.198,,,"LINESTRING (46.0449554 32.1682948, 46.0455744 32.1689832)",
308274743,True,,primary,False,22.243,,,"LINESTRING (46.0449554 32.1682948, 46.0449255 32.1683565, 46.044874 32.168407, 46.0448063 32.168441)",roundabout
528928377,True,,residential,False,81.404,,,"LINESTRING (46.0445917 32.1680696, 46.044494 32.1673422)",
