osmid,highway,oneway,reversed,length,lanes,ref,name,width,geometry,junction
209512308,residential,False,False,7.013,,,,,"LINESTRING (-8.8176125 7.7623814, -8.8175495 7.7623724)",
209514591,trunk,True,False,50.124,1,N2,N'zérékoré-Macenta,15,"LINESTRING (-8.8176125 7.7623814, -8.8176681 7.761934)",
209111725,secondary,False,True,8.26,1,,,,"LINESTRING (-8.8184302 7.7575243, -8.8183602 7.7574977)",
209514591,trunk,True,False,90.374,1,N2,N'zérékoré-Macenta,15,"LINESTRING (-8.8184302 7.7575243, -8.8188434 7.7568222)",
209111725,secondary,False,False,8.26,1,,,,"LINESTRING (-8.8183602 7.7574977, -8.8184302 7.7575243)",
209111725,secondary,False,True,52.156,1,,,,"LINESTRING (-8.8183602 7.7574977, -8.8179185 7.757329)",
209513548,trunk,True,False,146.093,2,N2,,,"LINESTRING (-8.8183602 7.7574977, -8.8182446 7.7577553, -8.8181484 7.758064, -8.8180572 7.7584335, -8.8179903 7.7587552)",
209111725,secondary,False,False,460.2130000000001,1,,,,"LINESTRING (-8.8126779 7.7572004, -8.8133384 7.7568081, -8.8137179 7.7566427, -8.8141711 7.7565231, -8.8146405 7.7564619, -8.8150619 7.7564849, -8.8154722 7.7565391, -8.816063 7.7566781, -8.8166494 7.7568323)",
209111725,secondary,False,True,115.144,1,,,,"LINESTRING (-8.8126779 7.7572004, -8.8120715 7.7575587, -8.8117622 7.7576963)",
209518609,residential,False,False,115.75800000000001,,,,,"LINESTRING (-8.8126779 7.7572004, -8.8127396 7.757694, -8.8127706 7.7582368)",
"[209518609, 209700291]",residential,False,True,62.811,,,,,"LINESTRING (-8.8126779 7.7572004, -8.8126445 7.7567777, -8.8126373 7.756637)",
209291898,secondary,False,False,190.911,1,,,,"LINESTRING (-8.8187184 7.7553236, -8.8170541 7.7548458)",
209291898,secondary,False,True,78.431,1,,,,"LINESTRING (-8.8187184 7.7553236, -8.8194036 7.7555148)",
209291905,residential,False,False,115.675,,,,,"LINESTRING (-8.8187184 7.7553236, -8.818327 7.7562889)",
209111725,secondary,False,False,52.156,1,,,,"LINESTRING (-8.8179185 7.757329, -8.8183602 7.7574977)",
209111725,secondary,False,True,89.649,1,,,,"LINESTRING (-8.8179185 7.757329, -8.8178696 7.7573096, -8.8171657 7.757023)",
209291905,residential,False,True,124.10499999999999,,,,,"LINESTRING (-8.8179185 7.757329, -8.8181946 7.7566344, -8.818327 7.7562889)",
209291898,secondary,False,True,108.25800000000001,1,,,,"LINESTRING (-8.8161023 7.7546046, -8.8163943 7.7546864, -8.8170541 7.7548458)",
209291898,secondary,False,True,190.911,1,,,,"LINESTRING (-8.8170541 7.7548458, -8.8187184 7.7553236)",
209291906,residential,False,False,60.302,,,,,"LINESTRING (-8.8170541 7.7548458, -8.8167954 7.7553237)",
209291898,secondary,False,False,108.25800000000001,1,,,,"LINESTRING (-8.8170541 7.7548458, -8.8163943 7.7546864, -8.8161023 7.7546046)",
209291898,secondary,False,False,7.291,1,,,,"LINESTRING (-8.8197092 7.7555755, -8.8196456 7.7555574)",
209512306,residential,False,True,102.082,,,,,"LINESTRING (-8.8174626 7.7559584, -8.818327 7.7562889)",
209512310,residential,False,False,127.268,,,,,"LINESTRING (-8.8174626 7.7559584, -8.8175234 7.7557971, -8.8175369 7.7557226, -8.8175234 7.7556509, -8.8174564 7.7555579, -8.8173572 7.7554781, -8.8172579 7.7554197, -8.8170433 7.7553825, -8.8167954 7.7553237)",
209512310,residential,False,True,121.594,,,,,"LINESTRING (-8.8174626 7.7559584, -8.8174162 7.7560628, -8.8173357 7.7562568, -8.8172521 7.7565041, -8.8171422 7.7567725, -8.8170496 7.7569716)",
209111725,secondary,False,False,14.01,1,,,,"LINESTRING (-8.8170496 7.7569716, -8.8171657 7.757023)",
209111725,secondary,False,True,46.736,1,,,,"LINESTRING (-8.8170496 7.7569716, -8.8168755 7.7569127, -8.8166494 7.7568323)",
209512310,residential,False,False,121.594,,,,,"LINESTRING (-8.8170496 7.7569716, -8.8171422 7.7567725, -8.8172521 7.7565041, -8.8173357 7.7562568, -8.8174162 7.7560628, -8.8174626 7.7559584)",
209111725,secondary,False,True,14.01,1,,,,"LINESTRING (-8.8171657 7.757023, -8.8170496 7.7569716)",
209111725,secondary,False,False,89.649,1,,,,"LINESTRING (-8.8171657 7.757023, -8.8178696 7.7573096, -8.8179185 7.757329)",
