osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,bridge,tunnel
23060527,Nugget Street,residential,False,True,63.462,,,"LINESTRING (28.0527647 -26.2042718, 28.0528455 -26.2048379)",,,
4334924,Commissioner Street,primary,True,False,81.876,4,R24,"LINESTRING (28.0527647 -26.2042718, 28.0526473 -26.2042856, 28.0523411 -26.2043217, 28.051951 -26.2043676)",,,
23060527,Nugget Street,residential,False,False,87.10300000000001,,,"LINESTRING (28.0527647 -26.2042718, 28.0527324 -26.2040453, 28.0526539 -26.2034948)",,,
61600132,Von Brandis Street,residential,True,False,78.704,,,"LINESTRING (28.0449141 -26.2057571, 28.0449999 -26.2064607)",,,
23360692,Von Weilligh Street,secondary,False,False,80.76,4,M11,"LINESTRING (28.0476027 -26.2061687, 28.0474939 -26.205449)",40,,
23360692,Von Weilligh Street,secondary,False,True,82.155,4,M11,"LINESTRING (28.0476027 -26.2061687, 28.0477095 -26.2069013)",40,,
603712151,Main Street,residential,False,True,96.696,,,"LINESTRING (28.0476027 -26.2061687, 28.0485637 -26.2060556)",,,
603712149,Main Street,residential,False,False,181.062,,,"LINESTRING (28.0476027 -26.2061687, 28.046781 -26.2062546, 28.0458015 -26.206368)",,,
23360668,Kruis Street,residential,False,True,81.711,,,"LINESTRING (28.0458015 -26.206368, 28.0459138 -26.2070959)",,,
603712149,Main Street,residential,False,False,80.633,,,"LINESTRING (28.0458015 -26.206368, 28.0449999 -26.2064607)",,,
23360668,Kruis Street,residential,False,False,143.965,,,"LINESTRING (28.0458015 -26.206368, 28.0456988 -26.2056687, 28.0456218 -26.2050834)",,,
603712149,Main Street,residential,False,True,181.062,,,"LINESTRING (28.0458015 -26.206368, 28.046781 -26.2062546, 28.0476027 -26.2061687)",,,
61600132,Von Brandis Street,residential,True,False,80.768,,,"LINESTRING (28.0449999 -26.2064607, 28.0451109 -26.2071802)",,,
603712149,Main Street,residential,False,True,80.633,,,"LINESTRING (28.0449999 -26.2064607, 28.0458015 -26.206368)",,,
215603281,Kruis Street,residential,False,True,87.277,,,"LINESTRING (28.0449966 -26.2005048, 28.0450971 -26.2012845)",,,
46505061,Rahima Moosa Street,tertiary,True,False,81.258,4,,"LINESTRING (28.0504496 -26.2006704, 28.049642 -26.200765)",,,
323802278,Mooi Street,tertiary,True,False,87.479,3,,"LINESTRING (28.0504496 -26.2006704, 28.0505631 -26.2014505)",,,
769716909,Helen Joseph Street,residential,False,True,80.355,,,"LINESTRING (28.0546455 -26.202477, 28.053853 -26.2026059)",,,
65673339,Davies Street,residential,True,False,201.711,,,"LINESTRING (28.0546455 -26.202477, 28.0545624 -26.2020819, 28.0544354 -26.2015373, 28.0543089 -26.2009952, 28.05424 -26.2006999)",,,
555168480,Delvers Street,residential,True,False,85.517,,,"LINESTRING (28.0481704 -26.2032468, 28.048288 -26.2040086)",,,
603712148,Helen Joseph Street,residential,True,False,81.626,,,"LINESTRING (28.0481704 -26.2032468, 28.0489823 -26.2031562)",,,
323802269,Albertina Sisulu Road,primary,True,False,97.767,3,R24,"LINESTRING (28.0490957 -26.2039241, 28.0500671 -26.2038082)",,,
323802293,Troye Street,residential,True,False,86.133,3,,"LINESTRING (28.0490957 -26.2039241, 28.0489823 -26.2031562)",,,
65673317,End Street,residential,False,False,27.213,,,"LINESTRING (28.0535024 -26.2010872, 28.053449 -26.2008472)",,,
65673317,End Street,residential,False,True,86.835,,,"LINESTRING (28.0535024 -26.2010872, 28.0536805 -26.2018516)",,,
19387023,Kerk Street,residential,False,True,117.69800000000001,,,"LINESTRING (28.0535024 -26.2010872, 28.0529674 -26.2011547, 28.0523342 -26.2012346)",,,
65673317,End Street,residential,False,True,27.213,,,"LINESTRING (28.053449 -26.2008472, 28.0535024 -26.2010872)",,,
19387169,Fox Street,residential,True,False,82.31,,,"LINESTRING (28.0528455 -26.2048379, 28.052027 -26.2049308)",,,
23060527,Nugget Street,residential,False,False,63.462,,,"LINESTRING (28.0528455 -26.2048379, 28.0527647 -26.2042718)",,,
23060527,Nugget Street,residential,False,True,80.924,,,"LINESTRING (28.0528455 -26.2048379, 28.0529131 -26.2053121, 28.0529465 -26.20556)",,,
61600132,Von Brandis Street,residential,True,False,65.701,,,"LINESTRING (28.0448264 -26.2051715, 28.0449141 -26.2057571)",,,
23360692,Von Weilligh Street,secondary,False,False,86.15,4,M11,"LINESTRING (28.0474222 -26.2048837, 28.0473067 -26.2041159)",40,,
