osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref
31562131,Manie Street,residential,60,4.6,False,True,37.724,"LINESTRING (18.7219994 -34.0035707, 18.7216395 -34.0037322)",,
31562456,Rodney Street,residential,60,4.6,False,False,183.173,"LINESTRING (18.7249092 -34.0036371, 18.7266503 -34.0028432)",,
450276219,Arlene Street,residential,60,4.8,False,False,81.201,"LINESTRING (18.7249092 -34.0036371, 18.7253356 -34.0042761)",,
450276219,Arlene Street,residential,60,4.8,False,True,82.365,"LINESTRING (18.7249092 -34.0036371, 18.7244759 -34.0029893)",,
31562456,Rodney Street,residential,60,4.6,False,True,184.387,"LINESTRING (18.7249092 -34.0036371, 18.7238202 -34.0041279, 18.7231538 -34.0044321)",,
31562052,Springbok Road,residential,60,6.3,False,True,56.461,"LINESTRING (18.7192985 -34.0044651, 18.7189903 -34.0040263)",,
31562052,Springbok Road,residential,60,6.3,False,False,56.461,"LINESTRING (18.7189903 -34.0040263, 18.7192985 -34.0044651)",,
31561958,Himalaya Road,residential,60,5.3,False,False,175.587,"LINESTRING (18.7189903 -34.0040263, 18.7203434 -34.0034158, 18.7206634 -34.0032715)",2,
31562367,Springbok Road,residential,60,6.3,False,True,79.367,"LINESTRING (18.7189903 -34.0040263, 18.7187512 -34.0036642, 18.7186741 -34.0035475, 18.718578 -34.0033997)",2,
"[985062272, 31562339]","['Bordeaux Street', 'Himalaya Close']",residential,60,4.8,False,True,93.22200000000001,"LINESTRING (18.7189903 -34.0040263, 18.7188506 -34.0040898, 18.7182962 -34.0043416, 18.7182094 -34.0043905, 18.7181645 -34.0044188, 18.718121 -34.0044512)",2,
31562205,Margot Street,residential,60,5.1,False,False,274.742,"LINESTRING (18.7222079 -34.0029791, 18.7248212 -34.0017911)",,
702974994,Beverly Street,tertiary,60,9,False,False,100.726,"LINESTRING (18.7222079 -34.0029791, 18.7227279 -34.0037758)",2,
"[742264176, 742264177, 702974994, 31562011]",Beverly Street,tertiary,60,9,False,True,132.219,"LINESTRING (18.7222079 -34.0029791, 18.7219828 -34.0026341, 18.7218719 -34.0024674, 18.7216936 -34.0021894, 18.7216101 -34.0020608, 18.721597 -34.0020437, 18.7215158 -34.001938)","['2', '3']",
31561931,Springbok Road,residential,60,5.6,False,True,92.463,"LINESTRING (18.7253558 -34.0025901, 18.7244759 -34.0029893)",,
