osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,ref,bridge
744431741,2,Merrydale Avenue,tertiary,60,False,False,13.632,"LINESTRING (18.6143381 -34.0474141, 18.6143919 -34.0475283)",,,,
"[900342233, 32767767]",2,Merrydale Avenue,tertiary,60,False,True,134.035,"LINESTRING (18.6143381 -34.0474141, 18.6142667 -34.0472562, 18.6141834 -34.047076, 18.6138017 -34.0462937)",,,,
32216481,,Grand Canyon Way,residential,60,False,False,23.684,"LINESTRING (18.6171611 -34.0479015, 18.6173982 -34.0478192)",,,,
32216424,,Golden Gate Way,residential,60,False,False,144.78799999999998,"LINESTRING (18.6171611 -34.0479015, 18.6174132 -34.0487368, 18.6174215 -34.0487864, 18.6174138 -34.0488179, 18.6173803 -34.0488607, 18.6173604 -34.0488715, 18.6173391 -34.0488831, 18.6170434 -34.0489893)",,,,
32216481,,Grand Canyon Way,residential,60,False,True,78.021,"LINESTRING (18.6171611 -34.0479015, 18.6168079 -34.0480183, 18.6163746 -34.0481616)",,,,
744694429,1,Hazeldene Avenue,residential,,True,False,22.595,"LINESTRING (18.6164488 -34.0509358, 18.61626 -34.0510655)",,,,
"[745433272, 32216724]",2,"['Hazeldene Avenue', 'Wall Street']",residential,60,False,"[False, True]",257.91999999999996,"LINESTRING (18.6164488 -34.0509358, 18.6165002 -34.050919, 18.6166439 -34.0508711, 18.6173375 -34.0506399, 18.6177379 -34.0505065, 18.6177401 -34.0504804, 18.6177451 -34.050422, 18.6177287 -34.0503617, 18.6176898 -34.0502793, 18.6174966 -34.049887, 18.6174414 -34.0497764, 18.6174042 -34.0497018, 18.6173461 -34.0495955, 18.6172624 -34.0494395, 18.6172511 -34.0494197)",,,,
32216617,,Miami Way,residential,60,False,False,53.732,"LINESTRING (18.6136644 -34.0522314, 18.6142059 -34.0520519)",,,,
805893598,,,residential,,False,True,14.572,"LINESTRING (18.6136644 -34.0522314, 18.6135178 -34.0522806)",,,,
32216716,,Copenhagen Way,residential,60,False,True,209.26800000000003,"LINESTRING (18.6136644 -34.0522314, 18.6140116 -34.052936, 18.6140433 -34.0529907, 18.6140709 -34.0530207, 18.6141221 -34.053056, 18.6141729 -34.0530743, 18.6142488 -34.0530883, 18.6145695 -34.053126, 18.614653 -34.0531297, 18.6146998 -34.0531235, 18.6147469 -34.0531127, 18.615238 -34.0529462)",,,,
32216716,,Copenhagen Way,residential,60,False,True,53.512,"LINESTRING (18.615238 -34.0529462, 18.6157762 -34.0527652)",,,,
32216635,,Amsterdam Way,residential,60,False,False,209.711,"LINESTRING (18.615238 -34.0529462, 18.6154996 -34.0535405, 18.615536 -34.0536173, 18.6155637 -34.0536588, 18.6156034 -34.0537046, 18.6156616 -34.0537541, 18.6157186 -34.0537903, 18.6157788 -34.0538209, 18.6158518 -34.0538455, 18.6159204 -34.0538595, 18.6160045 -34.0538665, 18.6163578 -34.0538591, 18.6164316 -34.0538516, 18.6164847 -34.0538396, 18.6165593 -34.0538228, 18.6168113 -34.0537473)",,,,
32216716,,Copenhagen Way,residential,60,False,False,209.268,"LINESTRING (18.615238 -34.0529462, 18.6147469 -34.0531127, 18.6146998 -34.0531235, 18.614653 -34.0531297, 18.6145695 -34.053126, 18.6142488 -34.0530883, 18.6141729 -34.0530743, 18.6141221 -34.053056, 18.6140709 -34.0530207, 18.6140433 -34.0529907, 18.6140116 -34.052936, 18.6136644 -34.0522314)",,,,
32216441,,Riviera Way,residential,60,False,False,53.445,"LINESTRING (18.6171611 -34.0523116, 18.6177034 -34.0521409)",,,,
32216441,,Riviera Way,residential,60,False,True,37.13,"LINESTRING (18.6171611 -34.0523116, 18.6167844 -34.0524303)",,,,
32216628,,Piccadilly Way,residential,60,False,False,135.833,"LINESTRING (18.6171611 -34.0523116, 18.6176587 -34.0534615)",,,,
32216628,,Piccadilly Way,residential,60,False,True,129.772,"LINESTRING (18.6171611 -34.0523116, 18.6166317 -34.0512301)",,,,
32216441,,Riviera Way,residential,60,False,True,53.445,"LINESTRING (18.6177034 -34.0521409, 18.6171611 -34.0523116)",,,,
32216441,,Riviera Way,residential,60,False,False,48.247,"LINESTRING (18.6177034 -34.0521409, 18.6179252 -34.0520706, 18.6181925 -34.0519858)",,,,
32216726,,Mayfair Close,residential,60,False,False,108.806,"LINESTRING (18.6177034 -34.0521409, 18.6180365 -34.0529261, 18.6180559 -34.0529535, 18.618082 -34.0529746, 18.6181237 -34.0529843, 18.618182 -34.0529868)",,,,
32216256,,Etosha Way,residential,60,False,False,53.436,"LINESTRING (18.6166317 -34.0512301, 18.6171707 -34.0510526)",,,,
32216628,,Piccadilly Way,residential,60,False,False,129.772,"LINESTRING (18.6166317 -34.0512301, 18.6171611 -34.0523116)",,,,
805899609,,Etosha Way,residential,,False,True,14.253,"LINESTRING (18.6166317 -34.0512301, 18.6164886 -34.0512788)",,,,
32216495,,San Francisco Close,residential,60,False,False,98.174,"LINESTRING (18.6129206 -34.0494274, 18.6132524 -34.05011, 18.6132629 -34.0501473, 18.6132659 -34.0501803, 18.6132584 -34.0502174, 18.6132372 -34.0502511)",,,,
