osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,junction,bridge,width
373409790,False,2,M6,Main Road,primary,True,51.556,,"LINESTRING (18.358456 -34.0388917, 18.3586981 -34.0393097)",,,
800251097,False,2,,,residential,False,14.29,20,"LINESTRING (18.358456 -34.0388917, 18.3583729 -34.03893, 18.3583205 -34.0389542)",,,
13856313,False,2,M6,Main Road,primary,True,63.072,,"LINESTRING (18.3590321 -34.0399348, 18.3591173 -34.0401441, 18.3591513 -34.0402275, 18.3592088 -34.0403855, 18.3592413 -34.0404748)",,,
373409790,False,2,M6,Main Road,primary,False,76.017,,"LINESTRING (18.3590321 -34.0399348, 18.358945 -34.0397702, 18.3586981 -34.0393097)",,,
13856313,False,2,M6,Main Road,primary,False,9.948,,"LINESTRING (18.3592649 -34.0405621, 18.3592413 -34.0404748)",,,
13856313,False,2,M6,Main Road,primary,True,91.356,,"LINESTRING (18.3592649 -34.0405621, 18.3593018 -34.0407181, 18.3593155 -34.0407821, 18.359351 -34.0409883, 18.3593716 -34.0411835, 18.3593815 -34.0413767)",,,
13856313,False,2,M6,Main Road,primary,False,91.356,,"LINESTRING (18.3593815 -34.0413767, 18.3593716 -34.0411835, 18.359351 -34.0409883, 18.3593155 -34.0407821, 18.3593018 -34.0407181, 18.3592649 -34.0405621)",,,
13856316,True,1,M6,Main Road,primary,False,39.324999999999996,,"LINESTRING (18.3593815 -34.0413767, 18.3594001 -34.0415136, 18.3594152 -34.0415893, 18.3594312 -34.0416504, 18.3594582 -34.0417237)",,,
13856314,True,1,M6,Main Road,primary,False,4.436,,"LINESTRING (18.3592867 -34.041756, 18.3593245 -34.0417313)",roundabout,,
13856315,True,1,M6,Main Road,primary,False,39.919,,"LINESTRING (18.3593245 -34.0417313, 18.3593501 -34.0416499, 18.3593636 -34.0415882, 18.3593746 -34.041513, 18.3593815 -34.0413767)",,,
64884562,True,1,M6,Main Road,primary,False,12.684999999999999,,"LINESTRING (18.3593245 -34.0417313, 18.359365 -34.0417184, 18.3594082 -34.0417156, 18.3594582 -34.0417237)",roundabout,,
64884566,True,1,M6,Main Road,primary,False,8.645,,"LINESTRING (18.3594582 -34.0417237, 18.3594944 -34.0417436, 18.3595276 -34.041775)",roundabout,,
64884566,True,1,M6,Main Road,primary,False,14.445,,"LINESTRING (18.3595276 -34.041775, 18.359547 -34.0418152, 18.3595488 -34.0418585, 18.3595328 -34.0418997)",roundabout,,
455495717,True,1,,Baviaanskloof Road,residential,False,31.011999999999997,60,"LINESTRING (18.3595276 -34.041775, 18.3596205 -34.0418025, 18.3596957 -34.0418239, 18.3598106 -34.0418454, 18.3598317 -34.0418525, 18.3598444 -34.0418629)",,,
64884566,True,1,M6,Main Road,primary,False,3.738,,"LINESTRING (18.3595328 -34.0418997, 18.3595093 -34.0419271)",roundabout,,
"[744375273, 13856317, 744375271]",True,1,M6,Main Road,primary,False,73.836,,"LINESTRING (18.3595093 -34.0419271, 18.3594899 -34.0420266, 18.3594824 -34.0420893, 18.3594807 -34.0421865, 18.3594899 -34.0423389, 18.3594899 -34.0424443, 18.3594899 -34.0425222, 18.3594848 -34.0425892)",,,
64884560,True,1,M6,Main Road,primary,False,17.102999999999998,,"LINESTRING (18.3595093 -34.0419271, 18.3594728 -34.0419508, 18.3594294 -34.0419643, 18.359383 -34.0419663, 18.3593381 -34.0419565)",roundabout,,
64884565,True,1,M6,Main Road,primary,False,9.052,,"LINESTRING (18.3593381 -34.0419565, 18.3592968 -34.0419345, 18.3592661 -34.0419027)",roundabout,,
13860867,True,1,,Princess Street,tertiary,False,54.839,,"LINESTRING (18.3592661 -34.0419027, 18.3591924 -34.0418773, 18.3591318 -34.0418584, 18.3590256 -34.0418262, 18.3588805 -34.0417869, 18.3587054 -34.0417378)",,,
64884575,True,1,M6,Main Road,primary,False,17.52,,"LINESTRING (18.3592661 -34.0419027, 18.3592536 -34.0418786, 18.3592473 -34.0418529, 18.3592477 -34.0418266, 18.3592546 -34.041801, 18.3592678 -34.0417771, 18.3592867 -34.041756)",roundabout,,
27386870,False,2,M6,Main Road,primary,False,270.462,,"LINESTRING (18.359346 -34.0431323, 18.3593266 -34.0432371, 18.3593154 -34.0433655, 18.3593119 -34.043456, 18.3593143 -34.0434888, 18.3593338 -34.0436326, 18.3593763 -34.0437581, 18.35943 -34.0438822, 18.359514 -34.0440049, 18.3596762 -34.0441731, 18.3598584 -34.0443399, 18.3600052 -34.0444626, 18.3600572 -34.044506, 18.3602849 -34.0446697, 18.3605207 -34.0448392, 18.3608339 -34.0450643)",,,
"[744375276, 27386868, 744375279]",True,1,M6,Main Road,primary,False,37.394000000000005,,"LINESTRING (18.359346 -34.0431323, 18.3593485 -34.0430944, 18.3593518 -34.0430437, 18.3593761 -34.0429147, 18.3594014 -34.0427996)",,yes,
27382868,False,2,,The Promenade,residential,True,82.722,,"LINESTRING (18.3608339 -34.0450643, 18.3607618 -34.0451333, 18.3607369 -34.0451511, 18.3607105 -34.0451609, 18.3606736 -34.0451664, 18.3603538 -34.0451904, 18.3603175 -34.0451943, 18.3599896 -34.0452296)",,,
27386870,False,2,M6,Main Road,primary,True,270.46200000000005,,"LINESTRING (18.3608339 -34.0450643, 18.3605207 -34.0448392, 18.3602849 -34.0446697, 18.3600572 -34.044506, 18.3600052 -34.0444626, 18.3598584 -34.0443399, 18.3596762 -34.0441731, 18.359514 -34.0440049, 18.35943 -34.0438822, 18.3593763 -34.0437581, 18.3593338 -34.0436326, 18.3593143 -34.0434888, 18.3593119 -34.043456, 18.3593154 -34.0433655, 18.3593266 -34.0432371, 18.359346 -34.0431323)",,,
27382855,False,2,,Brighton Street,residential,False,75.402,60,"LINESTRING (18.3504066 -34.0421204, 18.3507318 -34.0420856, 18.350831 -34.042077, 18.3512193 -34.0420411)",,,
370191331,False,2,,Victoria Avenue,tertiary,False,164.967,,"LINESTRING (18.3504066 -34.0421204, 18.3505596 -34.0432984, 18.3505767 -34.0434204, 18.3505789 -34.0434362, 18.350603 -34.043595)",,,
370191331,False,2,,Victoria Avenue,tertiary,True,132.34,,"LINESTRING (18.3504066 -34.0421204, 18.3502951 -34.0413435, 18.3502677 -34.0411257, 18.3502574 -34.0410208, 18.3502482 -34.0409545, 18.3502458 -34.0409378)",,,
32630248,True,1,,Harbour Road,unclassified,False,40.589999999999996,,"LINESTRING (18.3506898 -34.0445786, 18.3506859 -34.0445485, 18.3506859 -34.0445337, 18.3506901 -34.0444971, 18.3507044 -34.04439, 18.3507126 -34.0443257, 18.3507126 -34.0442888, 18.35071 -34.0442586, 18.3507029 -34.0442154)",,,
13860862,True,1,,Princess Street,tertiary,False,50.335,,"LINESTRING (18.3514552 -34.0440439, 18.351411 -34.0440525, 18.3513682 -34.0440616, 18.351338 -34.0440662, 18.3512939 -34.0440732, 18.3512399 -34.0440835, 18.3511757 -34.044095, 18.3510919 -34.0441139, 18.3510014 -34.0441399, 18.3509305 -34.0441656)",,,
13860864,False,2,,Princess Street,tertiary,False,79.061,,"LINESTRING (18.3514552 -34.0440439, 18.3514936 -34.0440432, 18.3515926 -34.0440345, 18.3517087 -34.044025, 18.3518773 -34.0440085, 18.3520738 -34.0439775, 18.352154 -34.0439609, 18.3522985 -34.0439246)",,,
27383111,False,2,,Empire Avenue,residential,False,93.003,,"LINESTRING (18.3522985 -34.0439246, 18.3521895 -34.0430931)",,,
13860864,False,2,,Princess Street,tertiary,False,253.764,,"LINESTRING (18.3522985 -34.0439246, 18.3524971 -34.0438629, 18.352656 -34.0437968, 18.3527865 -34.0437349, 18.352882 -34.0436838, 18.353036 -34.0435946, 18.3534457 -34.0433454, 18.3538464 -34.0431026, 18.3545796 -34.0426592)",,,
13860864,False,2,,Princess Street,tertiary,True,79.06099999999999,,"LINESTRING (18.3522985 -34.0439246, 18.352154 -34.0439609, 18.3520738 -34.0439775, 18.3518773 -34.0440085, 18.3517087 -34.044025, 18.3515926 -34.0440345, 18.3514936 -34.0440432, 18.3514552 -34.0440439)",,,
"[13860864, 13860865, 744375284]",False,"['2', '3']",,Princess Street,tertiary,False,213.442,,"LINESTRING (18.3545796 -34.0426592, 18.3548505 -34.0424886, 18.355301 -34.0422345, 18.3554773 -34.0421504, 18.3556699 -34.0420636, 18.3557373 -34.0420368, 18.3558678 -34.041985, 18.3559564 -34.0419491, 18.3563446 -34.0418236, 18.3564967 -34.0417851, 18.3566073 -34.0417596)",,yes,
13860864,False,2,,Princess Street,tertiary,True,253.764,,"LINESTRING (18.3545796 -34.0426592, 18.3538464 -34.0431026, 18.3534457 -34.0433454, 18.353036 -34.0435946, 18.352882 -34.0436838, 18.3527865 -34.0437349, 18.352656 -34.0437968, 18.3524971 -34.0438629, 18.3522985 -34.0439246)",,,
27382936,False,2,,Alexander Avenue,residential,True,108.787,,"LINESTRING (18.3545796 -34.0426592, 18.3544866 -34.0425502, 18.3544317 -34.0424977, 18.3543751 -34.0423486, 18.3543576 -34.0422641, 18.3542997 -34.0417329)",,,
812625645,False,2,,Beach Club Boulevard,residential,False,39.882999999999996,,"LINESTRING (18.3545796 -34.0426592, 18.3546857 -34.0427816, 18.3547207 -34.0428342, 18.3547295 -34.0428559, 18.3547311 -34.0428831, 18.3547191 -34.0429225, 18.3546882 -34.0429736)",,,
38700877,False,,,,residential,False,30.833,60,"LINESTRING (18.3579981 -34.0416379, 18.358035 -34.0413623)",,,
13860866,False,2,,Princess Street,tertiary,False,66.144,,"LINESTRING (18.3579981 -34.0416379, 18.3582408 -34.041664, 18.3584628 -34.0416957, 18.3587054 -34.0417378)",,,
13860866,False,2,,Princess Street,tertiary,True,102.67300000000002,,"LINESTRING (18.3579981 -34.0416379, 18.3577902 -34.0416296, 18.357642 -34.0416285, 18.3574623 -34.041639, 18.3572591 -34.0416585, 18.3571263 -34.0416757, 18.3570009 -34.0416946, 18.356891 -34.0417096)",,,
13860866,False,2,,Princess Street,tertiary,True,66.144,,"LINESTRING (18.3587054 -34.0417378, 18.3584628 -34.0416957, 18.3582408 -34.041664, 18.3579981 -34.0416379)",,,
"[744375283, 13860868]",True,"['1', '2']",,Princess Street,tertiary,False,53.602999999999994,,"LINESTRING (18.3587054 -34.0417378, 18.3589027 -34.0417451, 18.3590082 -34.0417488, 18.3590416 -34.0417494, 18.3590979 -34.0417521, 18.3591764 -34.0417527, 18.3592867 -34.041756)",,,
27383111,False,2,,Empire Avenue,residential,True,307.448,,"LINESTRING (18.351666 -34.0392067, 18.3518465 -34.0405522, 18.3520401 -34.0419542)",,,
1218460473,False,2,,Beach Club Boulevard,residential,False,5.695,,"LINESTRING (18.3546292 -34.0431726, 18.3546526 -34.04322)",,,
"[800238137, 800238135]",True,,,,residential,False,34.866,,"LINESTRING (18.3546292 -34.0431726, 18.3545492 -34.0432244, 18.3545367 -34.0432276, 18.3545219 -34.0432292, 18.3545073 -34.0432252, 18.3544549 -34.0431698, 18.3544488 -34.0431598, 18.3544482 -34.0431498, 18.3544535 -34.043142, 18.354538 -34.0430809)",,,
27382868,False,2,,The Promenade,residential,False,82.72200000000001,,"LINESTRING (18.3599896 -34.0452296, 18.3603175 -34.0451943, 18.3603538 -34.0451904, 18.3606736 -34.0451664, 18.3607105 -34.0451609, 18.3607369 -34.0451511, 18.3607618 -34.0451333, 18.3608339 -34.0450643)",,,
"[27382954, 1268374451, 27382868, 1268787222, 27383288]",False,2,,"['The Promenade', 'Melkhout Crescent']",residential,"[False, True]",387.347,,"LINESTRING (18.3599896 -34.0452296, 18.3594842 -34.0452724, 18.3593935 -34.0452823, 18.3591672 -34.0453018, 18.3587666 -34.0453362, 18.3587207 -34.0452341, 18.3581522 -34.0439696, 18.3579095 -34.0440543, 18.3578432 -34.0440671, 18.3577734 -34.0440677, 18.3577204 -34.0440416, 18.3576702 -34.0439877, 18.3576246 -34.0438477, 18.357605 -34.0437357, 18.3575501 -34.0436073, 18.3574803 -34.043458)",,,
27382855,False,2,,Brighton Street,residential,True,132.802,60,"LINESTRING (18.3542997 -34.0417329, 18.3528678 -34.0418692)",,,
812625649,False,,,Sea Glade Complex,residential,False,8.993,,"LINESTRING (18.3542997 -34.0417329, 18.3543909 -34.0417041)",,,
27382936,False,2,,Alexander Avenue,residential,False,108.787,,"LINESTRING (18.3542997 -34.0417329, 18.3543576 -34.0422641, 18.3543751 -34.0423486, 18.3544317 -34.0424977, 18.3544866 -34.0425502, 18.3545796 -34.0426592)",,,
27382855,False,2,,Brighton Street,residential,False,132.802,60,"LINESTRING (18.3528678 -34.0418692, 18.3542997 -34.0417329)",,,
27382855,False,2,,Brighton Street,residential,True,76.847,60,"LINESTRING (18.3528678 -34.0418692, 18.3520401 -34.0419542)",,,
830251224,False,,,Milner Avenue,residential,False,154.18099999999998,,"LINESTRING (18.3528678 -34.0418692, 18.3527796 -34.04132, 18.3526796 -34.0404916)",,,
"[830251224, 27383110]",False,,,"['Milner Avenue', 'Alexander Avenue']",residential,True,189.455,,"LINESTRING (18.3528678 -34.0418692, 18.352923 -34.0422852, 18.3529894 -34.0428114, 18.3529904 -34.0428314, 18.3529853 -34.0428531, 18.352977 -34.0428698, 18.3529642 -34.0428842, 18.3529488 -34.0428956, 18.3529183 -34.042912, 18.3528834 -34.0429256, 18.3528456 -34.0429372, 18.3528269 -34.0429416, 18.3521895 -34.0430931)",,,
27383111,False,2,,Empire Avenue,residential,False,127.386,,"LINESTRING (18.3521895 -34.0430931, 18.3520401 -34.0419542)",,,
27383111,False,2,,Empire Avenue,residential,True,93.003,,"LINESTRING (18.3521895 -34.0430931, 18.3522985 -34.0439246)",,,
"[830251224, 27383110]",False,,,"['Milner Avenue', 'Alexander Avenue']",residential,False,189.45499999999998,,"LINESTRING (18.3521895 -34.0430931, 18.3528269 -34.0429416, 18.3528456 -34.0429372, 18.3528834 -34.0429256, 18.3529183 -34.042912, 18.3529488 -34.0428956, 18.3529642 -34.0428842, 18.352977 -34.0428698, 18.3529853 -34.0428531, 18.3529904 -34.0428314, 18.3529894 -34.0428114, 18.352923 -34.0422852, 18.3528678 -34.0418692)",,,
830251224,False,,,Milner Avenue,residential,False,45.406,,"LINESTRING (18.3526796 -34.0404916, 18.3526316 -34.0400852)",,,
27383373,False,,,Earl Street,residential,True,57.881,,"LINESTRING (18.3526796 -34.0404916, 18.3522261 -34.0405352, 18.3520558 -34.0405529)",,,
830251224,False,,,Milner Avenue,residential,True,154.18099999999998,,"LINESTRING (18.3526796 -34.0404916, 18.3527796 -34.04132, 18.3528678 -34.0418692)",,,
