osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge
29253842,False,2,Ubuntu Drive,tertiary,20,True,159.176,"LINESTRING (28.0145599 -25.9347226, 28.0147031 -25.9332969)",
159159939,False,2,Africa Street,residential,,False,61.398,"LINESTRING (28.0145599 -25.9347226, 28.0151716 -25.9347703)",
29253842,False,2,Ubuntu Drive,tertiary,20,False,159.176,"LINESTRING (28.0147031 -25.9332969, 28.0145599 -25.9347226)",
159147942,False,2,J.B. Marks Road,tertiary,,False,39.045,"LINESTRING (28.0147031 -25.9332969, 28.0143145 -25.9332627)",
823714863,False,2,Ubuntu Drive,tertiary,,True,41.139,"LINESTRING (28.0147031 -25.9332969, 28.0147466 -25.932929)",
159159869,False,2,Doctor Alfred Xuma Road,residential,,False,121.38499999999999,"LINESTRING (28.0081469 -25.9318516, 28.0084339 -25.9309266, 28.0084486 -25.9308397, 28.0084486 -25.9307963)",
159159869,False,2,Doctor Alfred Xuma Road,residential,,True,57.269000000000005,"LINESTRING (28.0081469 -25.9318516, 28.0080999 -25.932, 28.0080523 -25.9321544, 28.0080295 -25.9322581, 28.0080121 -25.9323516)",
"[159147980, 604257980]",False,2,"['Buang Street', 'Kyoto Street']",residential,,"[False, True]",233.274,"LINESTRING (28.0081469 -25.9318516, 28.0072583 -25.9314357, 28.0080309 -25.930461)",
159147958,False,2,Kgapamadi Street,residential,,False,28.124,"LINESTRING (28.0085566 -25.928258, 28.0083896 -25.9284615)",
159147866,False,2,Lehlogonolo Street,residential,,False,38.781,"LINESTRING (28.0070539 -25.9271967, 28.0067369 -25.9269958)",
159147909,False,2,King Senzagakhona Road,tertiary,,False,54.629,"LINESTRING (28.0070539 -25.9271967, 28.0067756 -25.9275505, 28.006734 -25.9275947)",
159147909,False,2,King Senzagakhona Road,tertiary,,True,78.175,"LINESTRING (28.0070539 -25.9271967, 28.0071538 -25.9270737, 28.0073301 -25.926862, 28.0074488 -25.9267203, 28.0075306 -25.9266401)",
159147884,False,2,Jomo Kenyatta Street,residential,,False,53.25,"LINESTRING (28.0059924 -25.9271183, 28.0064243 -25.9273984)",
159147968,False,2,King Hintsa Close,residential,,True,170.692,"LINESTRING (28.0089614 -25.9285728, 28.007936 -25.9298)",
159147886,False,2,Doctor Alfred Xuma Road,residential,,False,51.108,"LINESTRING (28.006787 -25.9296149, 28.007196 -25.9298905)",
159147886,False,2,Doctor Alfred Xuma Road,residential,,True,51.268,"LINESTRING (28.006787 -25.9296149, 28.006378 -25.9293369)",
159147919,False,2,Kgapamadi Street,residential,,False,53.778,"LINESTRING (28.006787 -25.9296149, 28.0064731 -25.9300076)",
159147919,False,2,Kgapamadi Street,residential,,True,52.861,"LINESTRING (28.006787 -25.9296149, 28.0071136 -25.9292411)",
159147904,False,2,Muammar Gaddafi Street,residential,,False,50.686,"LINESTRING (28.011608 -25.9272139, 28.0112825 -25.9268645)",
