osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge
1059924640,D2296,tertiary,80,False,False,53.618,"LINESTRING (31.0104863 -25.4569337, 31.0109166 -25.4566481)",,
87658513,,tertiary_link,,True,False,81.84500000000001,"LINESTRING (31.0104863 -25.4569337, 31.0105734 -25.4567914, 31.0106247 -25.4567269, 31.0106693 -25.45664, 31.0106935 -25.4565298, 31.0106787 -25.4563845, 31.0106467 -25.4562475)",,
36068770,,residential,,False,False,23.921,"LINESTRING (31.0109166 -25.4566481, 31.0107887 -25.4564666)",Ingwenya Street,
1059924640,D2296,tertiary,80,False,False,24.29,"LINESTRING (31.0109166 -25.4566481, 31.0111045 -25.4565105)",,
1059924640,D2296,tertiary,80,False,True,53.618,"LINESTRING (31.0109166 -25.4566481, 31.0104863 -25.4569337)",,
36068770,,residential,,False,True,28.228,"LINESTRING (31.0106467 -25.4562475, 31.0107887 -25.4564666)",Ingwenya Street,
36068770,,residential,,False,False,143.17700000000002,"LINESTRING (31.0106467 -25.4562475, 31.0105661 -25.4561049, 31.0104936 -25.4559607, 31.0103998 -25.4558263, 31.0103421 -25.4557549, 31.010208 -25.4556362, 31.0097574 -25.4552626)",Ingwenya Street,
54725732,,residential,,False,True,76.367,"LINESTRING (31.0060222 -25.4561922, 31.0054819 -25.4557088)",Imbulu Street,
54725729,,residential,,False,True,93.664,"LINESTRING (31.0064854 -25.4560583, 31.006302 -25.4552324)",Infuyo Street,
54725730,,residential,,False,True,107.515,"LINESTRING (31.0072423 -25.4560382, 31.0070101 -25.4550943)",Fecela Street,
54725732,,residential,,False,False,76.367,"LINESTRING (31.0054819 -25.4557088, 31.0060222 -25.4561922)",Imbulu Street,
54725731,,residential,,False,False,102.404,"LINESTRING (31.0054819 -25.4557088, 31.0058749 -25.455328, 31.0059329 -25.4552971, 31.0059942 -25.4552826, 31.006302 -25.4552324)",Insele Street,
774720833,,residential,,False,True,72.695,"LINESTRING (31.0075191 -25.4549968, 31.0076881 -25.4556325)",Insele Street,
866173020,,residential,,False,False,42.201,"LINESTRING (31.0075191 -25.4549968, 31.0075298 -25.4546174)",,
54725731,,residential,,False,True,52.296,"LINESTRING (31.0075191 -25.4549968, 31.0072099 -25.4550453, 31.0070101 -25.4550943)",Insele Street,
