osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge
12093819,2,15th Avenue,residential,False,False,7.076,,,"LINESTRING (28.2656718 -26.2087651, 28.2656694 -26.2087015)",
384387183,2,Cason Road,primary,True,False,94.737,R29,60,"LINESTRING (28.2656718 -26.2087651, 28.2647223 -26.2087783)",
635396784,4,11th Avenue,tertiary,False,False,8.829,,,"LINESTRING (28.2594296 -26.2087471, 28.2594296 -26.2086677)",
384387183,2,Cason Road,primary,True,False,113.27000000000001,R29,60,"LINESTRING (28.2594296 -26.2087471, 28.2593337 -26.2087435, 28.2582943 -26.2087446)",
635396781,4,11th Avenue,tertiary,False,True,121.147,,,"LINESTRING (28.2594296 -26.2087471, 28.259255 -26.2097216, 28.259235 -26.2098225)",
62256232,4,Campbell Road,tertiary,False,True,86.094,,,"LINESTRING (28.259235 -26.2098225, 28.2592756 -26.2105959)",
13761264,,Champion Street,residential,False,True,311.85,,,"LINESTRING (28.259235 -26.2098225, 28.2600843 -26.2101319, 28.2621413 -26.2108551)",
32256957,2,Champion,residential,False,True,206.851,,,"LINESTRING (28.259235 -26.2098225, 28.2589366 -26.209705, 28.258523 -26.2095749, 28.2584144 -26.2095545, 28.2582897 -26.2095424, 28.2572168 -26.2095424)",
635396781,4,11th Avenue,tertiary,False,False,121.147,,,"LINESTRING (28.259235 -26.2098225, 28.259255 -26.2097216, 28.2594296 -26.2087471)",
384387183,2,Cason Road,primary,True,False,208.392,R29,60,"LINESTRING (28.2647223 -26.2087783, 28.2626335 -26.2087639)",
599912077,2,14th Avenue,residential,False,False,9.104,,,"LINESTRING (28.2647223 -26.2087783, 28.2647297 -26.2086967)",
599912077,2,14th Avenue,residential,False,True,86.016,,,"LINESTRING (28.2647223 -26.2087783, 28.2647048 -26.2095517)",
27656690,2,12th Avenue,residential,False,True,8.233,,,"LINESTRING (28.2605682 -26.2087657, 28.2605709 -26.2086917)",
384387183,2,Cason Road,primary,True,False,113.609,R29,60,"LINESTRING (28.2605682 -26.2087657, 28.2595309 -26.2087483, 28.2594296 -26.2087471)",
275535062,4,11th Avenue,tertiary,False,True,77.74199999999999,,,"LINESTRING (28.2594377 -26.2079686, 28.259429 -26.2086123, 28.2594296 -26.2086677)",
"[625600904, 13738039]","['2', '3']",14th Avenue,residential,False,True,80.762,,,"LINESTRING (28.2647328 -26.2079704, 28.2647301 -26.2083284, 28.26473 -26.2084385, 28.2647299 -26.2085365, 28.2647297 -26.2086967)",
27656781,2,10th Avenue,residential,False,True,9.085,,,"LINESTRING (28.2582943 -26.2087446, 28.2582937 -26.2086629)",
384387183,2,Cason Road,primary,True,False,113.442,R29,60,"LINESTRING (28.2582943 -26.2087446, 28.2571572 -26.2087495)",
27656820,2,9th Avenue,residential,False,True,8.518,,,"LINESTRING (28.2571572 -26.2087495, 28.257157 -26.2086729)",
13761264,,Champion Street,residential,False,False,311.85,,,"LINESTRING (28.2621413 -26.2108551, 28.2600843 -26.2101319, 28.259235 -26.2098225)",
"[13761264, 599912077]",2,"['Champion Street', '14th Avenue']",residential,False,"[False, True]",335.717,,,"LINESTRING (28.2621413 -26.2108551, 28.2626966 -26.2110128, 28.2628226 -26.2110422, 28.2628944 -26.2110555, 28.262942 -26.2110579, 28.26455 -26.2110567, 28.2645982 -26.2110501, 28.2646304 -26.2110368, 28.264664 -26.2110091, 28.2646854 -26.2109742, 28.2646968 -26.2109303, 28.2647013 -26.2103031)",
32256989,2,13th Avenue,residential,False,False,67.962,,,"LINESTRING (28.2621413 -26.2108551, 28.2623658 -26.210347, 28.2623962 -26.2102884)",
32256989,2,13th Avenue,residential,False,False,7.618,,,"LINESTRING (28.2626335 -26.2087639, 28.2626322 -26.2086954)",
32256989,2,13th Avenue,residential,False,True,86.704,,,"LINESTRING (28.2626335 -26.2087639, 28.262624 -26.2095436)",
384387183,2,Cason Road,primary,True,False,206.041,R29,60,"LINESTRING (28.2626335 -26.2087639, 28.2605682 -26.2087657)",
32256989,2,13th Avenue,residential,False,False,86.704,,,"LINESTRING (28.262624 -26.2095436, 28.2626335 -26.2087639)",
32256994,,Blue Street,residential,False,False,207.588,,,"LINESTRING (28.262624 -26.2095436, 28.2647048 -26.2095517)",
32256989,2,13th Avenue,residential,False,True,69.197,,,"LINESTRING (28.262624 -26.2095436, 28.2626161 -26.2097163, 28.2626047 -26.2097674, 28.2625932 -26.2098022, 28.2625806 -26.2098402, 28.2624624 -26.2101436)",
32256994,,Blue Street,residential,False,True,207.588,,,"LINESTRING (28.2647048 -26.2095517, 28.262624 -26.2095436)",
599912077,2,14th Avenue,residential,False,False,86.016,,,"LINESTRING (28.2647048 -26.2095517, 28.2647223 -26.2087783)",
599912077,2,14th Avenue,residential,False,True,83.553,,,"LINESTRING (28.2647048 -26.2095517, 28.2647013 -26.2103031)",
32256989,2,13th Avenue,residential,False,False,17.403,,,"LINESTRING (28.2623962 -26.2102884, 28.2624624 -26.2101436)",
32256995,,Sky Street,residential,False,False,229.967,,,"LINESTRING (28.2623962 -26.2102884, 28.2647013 -26.2103031)",
212616483,,Sky Street,residential,True,False,73.87,,,"LINESTRING (28.2623962 -26.2102884, 28.2617034 -26.2100539)",
32256989,2,13th Avenue,residential,False,True,67.962,,,"LINESTRING (28.2623962 -26.2102884, 28.2623658 -26.210347, 28.2621413 -26.2108551)",
32256995,,Sky Street,residential,False,True,229.967,,,"LINESTRING (28.2647013 -26.2103031, 28.2623962 -26.2102884)",
599912077,2,14th Avenue,residential,False,False,83.553,,,"LINESTRING (28.2647013 -26.2103031, 28.2647048 -26.2095517)",
