osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,ref,geometry,junction
25567732,2,Valmar Street,residential,60,7.1,False,False,12.441,,"LINESTRING (18.6453977 -33.8444986, 18.6455082 -33.8445626)",
"[746997040, 746997043]","['2', '3']",Durbanville Avenue,primary,70,,True,False,267.419,R302,"LINESTRING (18.6453977 -33.8444986, 18.6464316 -33.8433628, 18.6466002 -33.8431674, 18.6468384 -33.8428641, 18.6470415 -33.8426021, 18.6470826 -33.8425445)",
6275002,2,Baxter,residential,,,False,False,12.286,,"LINESTRING (18.6488461 -33.8359723, 18.6489757 -33.8359474)",
25567732,2,Valmar Street,residential,60,7.1,False,True,12.441,,"LINESTRING (18.6455082 -33.8445626, 18.6453977 -33.8444986)",
6275002,2,Baxter,residential,,,False,True,12.286,,"LINESTRING (18.6489757 -33.8359474, 18.6488461 -33.8359723)",
"[746997051, 746997052]",2,Durbanville Avenue,primary,70,,True,False,148.703,R302,"LINESTRING (18.6489757 -33.8359474, 18.6490136 -33.8361206, 18.6490719 -33.8364247, 18.649137 -33.8367456, 18.6491705 -33.8369249, 18.6491886 -33.8370603, 18.6491935 -33.8371273, 18.6492031 -33.8372702)",
24711900,2,Aristea Road,residential,,,False,False,17.435,,"LINESTRING (18.6448903 -33.8390983, 18.645079 -33.839094)",
746786384,2,Race Course Road,primary,60,,False,False,105.802,M13,"LINESTRING (18.6448903 -33.8390983, 18.6449502 -33.8381481)",
744739922,2,De Villiers Drive,tertiary,60,,False,False,206.515,,"LINESTRING (18.6517331 -33.8422739, 18.6495414 -33.8426421)",
744739922,2,De Villiers Drive,tertiary,60,,False,True,196.188,,"LINESTRING (18.6517331 -33.8422739, 18.6538134 -33.8419168)",
29045409,,Benurban Road,residential,60,7.1,False,False,121.065,,"LINESTRING (18.6517331 -33.8422739, 18.651742 -33.8423108, 18.6518695 -33.8427782, 18.6520085 -33.8433383)",
29045410,2,Lindenberg Avenue,residential,60,,False,False,142.257,,"LINESTRING (18.6517331 -33.8422739, 18.6516005 -33.8417018, 18.6515883 -33.8416487, 18.6514552 -33.8410156)",
744739922,2,De Villiers Drive,tertiary,60,,False,False,139.089,,"LINESTRING (18.6495414 -33.8426421, 18.6480646 -33.8428873)",
744739922,2,De Villiers Drive,tertiary,60,,False,True,206.515,,"LINESTRING (18.6495414 -33.8426421, 18.6517331 -33.8422739)",
29045411,,Panorama Avenue,residential,60,,False,False,193.533,,"LINESTRING (18.6495414 -33.8426421, 18.6495509 -33.842682, 18.6496583 -33.8431393, 18.6496666 -33.8431861, 18.6496673 -33.8432334, 18.6496605 -33.8432804, 18.6496463 -33.8433262, 18.6496268 -33.8433669, 18.6496014 -33.8434053, 18.6495706 -33.8434408, 18.6494679 -33.8435501, 18.6488914 -33.844159)",
29045412,,Mills Street,residential,60,,False,False,155.925,,"LINESTRING (18.6495414 -33.8426421, 18.6494704 -33.8423424, 18.6494663 -33.8422935, 18.6495081 -33.8421755, 18.649698 -33.8416396, 18.6497941 -33.8413683, 18.6498265 -33.8412894)",
20150245,,Suikerbos Road,residential,60,,False,False,97.201,,"LINESTRING (18.6445776 -33.8435483, 18.6456082 -33.843371)",
