osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,bridge
"[637991136, 158806551]",True,"['1', '2']",trunk_link,False,351.59700000000004,"LINESTRING (26.6622749 -26.8618555, 26.663496 -26.8612111, 26.6640596 -26.8608206, 26.6645385 -26.8604547, 26.6646975 -26.8603489, 26.6648899 -26.8602369, 26.6652154 -26.8601141)",,,
184214925,True,2,trunk,False,665.806,"LINESTRING (26.6622749 -26.8618555, 26.6637191 -26.8613209, 26.6685115 -26.8596429)",N12,Joe Slovo Road,
158806552,True,1,trunk_link,False,280.586,"LINESTRING (26.6653942 -26.861578, 26.6645519 -26.8616104, 26.6641134 -26.8616464, 26.6637037 -26.8617077, 26.663112 -26.8618508, 26.6626159 -26.8619795)",,,
"[199751345, 638333881, 199751348, 55857001]",True,"['2', '3']",primary,False,163.758,"LINESTRING (26.6653942 -26.861578, 26.665357 -26.8611968, 26.665311 -26.8608663, 26.6652698 -26.8605627, 26.6652154 -26.8601141)",R30,O.R. Tambo Street,yes
638008071,True,1,trunk_link,False,11.549,"LINESTRING (26.6652154 -26.8601141, 26.6653301 -26.8600963)",,,
638338013,True,2,primary,False,28.245,"LINESTRING (26.6654222 -26.8633837, 26.6654385 -26.8631301)",R30,O.R. Tambo Street,
638333876,True,,residential,False,26.278999999999996,"LINESTRING (26.6654222 -26.8633837, 26.6654961 -26.8633117, 26.6655551 -26.8632818, 26.6656379 -26.8632562)",,Golf Street,
638333878,True,,residential,False,91.90899999999999,"LINESTRING (26.6654222 -26.8633837, 26.6653566 -26.8632998, 26.6652892 -26.8632574, 26.6651916 -26.8632304, 26.664914 -26.8632067, 26.6645663 -26.8631878)",,Golf Street,
122857601,True,3,tertiary,False,88.716,"LINESTRING (26.6703279 -26.862222, 26.6701944 -26.8630109)",,Barend Street,
122857580,True,,residential,False,106.999,"LINESTRING (26.6689547 -26.8640143, 26.6700317 -26.8640679)",,Lombaard Street,
126471256,True,1,tertiary,False,82.88,"LINESTRING (26.6689547 -26.8640143, 26.6689695 -26.8636192, 26.6689491 -26.8634958, 26.6688205 -26.8633019)",,Magaretha Prinsloo Street,
385136033,True,4,tertiary,False,47.063,"LINESTRING (26.6697327 -26.8652348, 26.6693329 -26.8654627)",,Voortrekker Road,
126471270,True,2,primary,False,115.794,"LINESTRING (26.6652762 -26.8653637, 26.6653513 -26.8643245)",R30,O.R. Tambo Street,
"[425073873, 638284453]",True,"['2', '3']",tertiary,False,90.087,"LINESTRING (26.6652762 -26.8653637, 26.6657348 -26.8653958, 26.666182 -26.8654223)",,Voortrekker Street,
126471267,False,,residential,False,97.558,"LINESTRING (26.6706488 -26.8658353, 26.6704465 -26.8666939)",,Viljoen Street,
638284451,True,2,tertiary,False,87.886,"LINESTRING (26.6688268 -26.8656851, 26.6679423 -26.865639)",,Voortrekker Street,
543746059,True,2,tertiary,False,115.67099999999999,"LINESTRING (26.6688268 -26.8656851, 26.6687865 -26.8663229, 26.6687611 -26.8667237)",,Magaretha Prinsloo Street,
"[638350380, 638350382, 638350384, 638350386, 126471259]",True,"['4', '3', '2']",tertiary,False,445.91299999999995,"LINESTRING (26.6688205 -26.8633019, 26.6689515 -26.8631481, 26.6690195 -26.8629679, 26.6690447 -26.8626238, 26.669053 -26.8625109, 26.6690736 -26.8621245, 26.6690879 -26.8618553, 26.6690999 -26.8617254, 26.6691349 -26.861348, 26.669161 -26.861092, 26.6692301 -26.8608383, 26.6693919 -26.8604833, 26.6694559 -26.8603477, 26.669623 -26.8601534, 26.6698198 -26.8599923, 26.6699723 -26.8598824, 26.6702141 -26.8597327, 26.6702472 -26.859715)",,Margaretta Prinsloo Street,
122857601,True,3,tertiary,False,118.636,"LINESTRING (26.6701944 -26.8630109, 26.6700317 -26.8640679)",,Barend Street,
126467825,False,,residential,False,88.597,"LINESTRING (26.6687611 -26.8667237, 26.6678694 -26.8666778)",,Bram Fischer Street,
126467825,False,,residential,True,60.77799999999999,"LINESTRING (26.6687611 -26.8667237, 26.6689856 -26.8667214, 26.669168 -26.8667285, 26.6693193 -26.8667374, 26.6693732 -26.8667405)",,Bram Fischer Street,
126471258,False,,residential,False,103.198,"LINESTRING (26.6689178 -26.8645481, 26.6699556 -26.8646131)",,North Street,
126471258,False,,residential,True,88.969,"LINESTRING (26.6689178 -26.8645481, 26.6680231 -26.8644919)",,North Street,
638298493,True,2,tertiary,False,59.469,"LINESTRING (26.6689178 -26.8645481, 26.6689547 -26.8640143)",,Magaretha Prinsloo Street,
126471258,False,,residential,False,88.969,"LINESTRING (26.6680231 -26.8644919, 26.6689178 -26.8645481)",,North Street,
126471258,False,,residential,True,87.725,"LINESTRING (26.6680231 -26.8644919, 26.6671409 -26.8644366)",,North Street,
"[638350388, 638350389]",True,"['2', '3']",tertiary,False,90.811,"LINESTRING (26.6680231 -26.8644919, 26.6680576 -26.864069, 26.6680799 -26.8639178, 26.6681245 -26.8637921, 26.6681917 -26.8637019)",,Siddle Street,
126470328,False,,residential,True,112.703,"LINESTRING (26.6636735 -26.8632076, 26.6636047 -26.8642193)",,Emily Hobhouse Street,
"[126470297, 126471275]",False,,residential,False,209.608,"LINESTRING (26.6636735 -26.8632076, 26.6636326 -26.8631753, 26.6635971 -26.8631532, 26.6635331 -26.8631388, 26.6630744 -26.863117, 26.6627804 -26.8631031, 26.6627334 -26.863758, 26.6627095 -26.8641676)",,"['Golf Street', 'Kommissaris Street']",
126471275,False,,residential,True,90.322,"LINESTRING (26.6636735 -26.8632076, 26.6637211 -26.8631777, 26.6637661 -26.8631568, 26.6638118 -26.863152, 26.6643921 -26.8631795, 26.6645663 -26.8631878)",,Golf Street,
638350395,True,2,tertiary,False,41.931,"LINESTRING (26.6684586 -26.8634958, 26.6686365 -26.8634118, 26.6688205 -26.8633019)",,Siddle Street,
126467846,False,,residential,True,120.606,"LINESTRING (26.6645663 -26.8631878, 26.6644866 -26.8642701)",,Enoch Sontanga Street,
126471275,False,,residential,False,90.322,"LINESTRING (26.6645663 -26.8631878, 26.6643921 -26.8631795, 26.6638118 -26.863152, 26.6637661 -26.8631568, 26.6637211 -26.8631777, 26.6636735 -26.8632076)",,Golf Street,
126471264,False,,residential,False,88.985,"LINESTRING (26.6627095 -26.8641676, 26.6636047 -26.8642193)",,North Street,
126470297,False,,residential,False,118.364,"LINESTRING (26.6627095 -26.8641676, 26.6626517 -26.8650353, 26.6626387 -26.8652302)",,Kommissaris Street,
"[126470297, 126471275]",False,,residential,True,209.60800000000003,"LINESTRING (26.6627095 -26.8641676, 26.6627334 -26.863758, 26.6627804 -26.8631031, 26.6630744 -26.863117, 26.6635331 -26.8631388, 26.6635971 -26.8631532, 26.6636326 -26.8631753, 26.6636735 -26.8632076)",,"['Golf Street', 'Kommissaris Street']",
"[126471264, 126467854]",False,,residential,"[False, True]",170.93600000000004,"LINESTRING (26.6627095 -26.8641676, 26.6616445 -26.86411, 26.661462 -26.8641001, 26.6614017 -26.8640966, 26.6612356 -26.8641036, 26.6612009 -26.8641154, 26.6610033 -26.8641777)",,North Street,
126471258,False,,residential,True,103.198,"LINESTRING (26.6699556 -26.8646131, 26.6689178 -26.8645481)",,North Street,
122857601,True,3,tertiary,False,73.68700000000001,"LINESTRING (26.6699556 -26.8646131, 26.669897 -26.8649424, 26.6698384 -26.8650888, 26.6697327 -26.8652348)",,Barend Street,
126467825,False,,residential,True,91.141,"LINESTRING (26.6651915 -26.8665399, 26.6661088 -26.8665872)",,Bram Fischer Street,
126471270,True,2,primary,False,117.542,"LINESTRING (26.6651915 -26.8665399, 26.6652675 -26.865485)",R30,O.R. Tambo Street,
638333879,False,,residential,True,64.741,"LINESTRING (26.666546 -26.8632989, 26.6671968 -26.8633428)",,Golf Street,
638284454,True,1,primary_link,False,42.239000000000004,"LINESTRING (26.666546 -26.8632989, 26.6664724 -26.8633273, 26.6664121 -26.8633524, 26.6663678 -26.8634027, 26.6663477 -26.8634577, 26.6663043 -26.8635788)",,,
126467846,False,,residential,False,120.606,"LINESTRING (26.6644866 -26.8642701, 26.6645663 -26.8631878)",,Enoch Sontanga Street,
126467846,False,,residential,True,116.405,"LINESTRING (26.6644866 -26.8642701, 26.6644097 -26.8653147)",,Enoch Sontanga Street,
126471258,False,,residential,False,85.987,"LINESTRING (26.6644866 -26.8642701, 26.6653513 -26.8643245)",,North Street,
126471264,False,,residential,True,87.662,"LINESTRING (26.6644866 -26.8642701, 26.6636047 -26.8642193)",,North Street,
126467810,False,,residential,True,121.752,"LINESTRING (26.6671968 -26.8633428, 26.6671409 -26.8644366)",,Leask Street,
638333879,False,,residential,False,64.741,"LINESTRING (26.6671968 -26.8633428, 26.666546 -26.8632989)",,Golf Street,
638333879,False,,residential,True,97.09899999999999,"LINESTRING (26.6671968 -26.8633428, 26.6679369 -26.8633811, 26.6680428 -26.8634015, 26.6681608 -26.8634484)",,Golf Street,
126467846,False,,residential,False,12.894,"LINESTRING (26.6644011 -26.8654304, 26.6644097 -26.8653147)",,Enoch Sontanga Street,
385136027,True,2,tertiary,False,87.223,"LINESTRING (26.6644011 -26.8654304, 26.6635235 -26.8653814)",,Voortrekker Street,
126470320,False,,residential,True,88.472,"LINESTRING (26.6634509 -26.8664474, 26.6625621 -26.8663809)",,Bram Fischer Street,
126470328,False,,residential,False,118.753,"LINESTRING (26.6634509 -26.8664474, 26.6635235 -26.8653814)",,Emily Hobhouse Street,
637941477,True,1,primary_link,False,53.371,"LINESTRING (26.6660629 -26.8630876, 26.666546 -26.8632989)",,,
884011951,True,2,primary,False,28.286,"LINESTRING (26.6660629 -26.8630876, 26.6662401 -26.8632869)",R30,Anderson Street,
"[638333872, 638333871]",True,4,primary,False,88.72,"LINESTRING (26.6663043 -26.8635788, 26.6662686 -26.8641406, 26.6662537 -26.8643754)",R30,Anderson Street,
637951995,True,,residential,False,30.34,"LINESTRING (26.6681917 -26.8637019, 26.6682225 -26.8635965, 26.6682132 -26.8635115, 26.6681608 -26.8634484)",,Golf Street,
638350395,True,2,tertiary,False,35.14,"LINESTRING (26.6681917 -26.8637019, 26.6683258 -26.8635809, 26.6684586 -26.8634958)",,Siddle Street,
126470314,False,,residential,False,35.471,"LINESTRING (26.6616762 -26.8663378, 26.6617045 -26.8660198)",,Archbishop Desmond Tutu Street,
126470320,False,,residential,False,88.006,"LINESTRING (26.6616762 -26.8663378, 26.6625621 -26.8663809)",,Bram Fischer Street,
126470314,False,,residential,True,35.471,"LINESTRING (26.6617045 -26.8660198, 26.6616762 -26.8663378)",,Archbishop Desmond Tutu Street,
385136040,True,2,residential,False,88.56099999999999,"LINESTRING (26.6617045 -26.8660198, 26.6616495 -26.8657665, 26.6616205 -26.8656332, 26.6615515 -26.8653853, 26.6614753 -26.8652547)",,Archbishop Desmond Tutu Street,
"[637978846, 184214935]",True,"['1', '2']",trunk_link,False,360.05,"LINESTRING (26.6685824 -26.8598702, 26.667625 -26.8603145, 26.6671152 -26.8605733, 26.66668 -26.8608428, 26.6663116 -26.8611533, 26.665971 -26.8613925, 26.66581 -26.8614724, 26.6655195 -26.8615678)",,,
607412567,True,2,trunk,False,636.829,"LINESTRING (26.6685824 -26.8598702, 26.6643459 -26.8613071, 26.6636163 -26.8615727, 26.6626159 -26.8619795)",N12,Joe Slovo Road,
126467825,False,,residential,False,60.77799999999999,"LINESTRING (26.6693732 -26.8667405, 26.6693193 -26.8667374, 26.669168 -26.8667285, 26.6689856 -26.8667214, 26.6687611 -26.8667237)",,Bram Fischer Street,
158806553,True,1,trunk_link,False,321.13700000000006,"LINESTRING (26.6653301 -26.8600963, 26.6657404 -26.8601023, 26.6666391 -26.860034, 26.6669646 -26.8599941, 26.6672067 -26.8599442, 26.6678777 -26.8597982, 26.6685115 -26.8596429)",,,
"[638333880, 638333882, 637951997, 199751335]",True,"['2', '3']",primary,False,164.70600000000002,"LINESTRING (26.6653301 -26.8600963, 26.6653856 -26.8605232, 26.6654304 -26.8608352, 26.6654741 -26.8611617, 26.6655195 -26.8615678)",R30,O.R. Tambo Street,yes
