osmid,oneway,lanes,ref,name,highway,reversed,length,bridge,geometry,maxspeed,access
"[977517265, 754699930, 144843478]",True,"['7', '4']",M4,Anton Lembede Street,primary,False,99.94300000000001,yes,"LINESTRING (31.0123991 -29.8613526, 31.0122385 -29.8613791, 31.0114946 -29.8615002, 31.011465 -29.861506, 31.0113808 -29.8615198)",,
"[48572955, 754699932]",True,4,M4,Brook Street,primary,False,128.029,,"LINESTRING (31.0123991 -29.8613526, 31.0124631 -29.8606764, 31.0124803 -29.8604942, 31.0125143 -29.8602056)",,
48572972,True,7,M4,Anton Lembede Street,primary,False,108.31800000000001,,"LINESTRING (31.0135008 -29.8611627, 31.0131317 -29.861228, 31.0130618 -29.8612399, 31.0123991 -29.8613526)",,
714498640,True,2,M4,Alexandra Street,motorway,False,37.303,,"LINESTRING (31.0135008 -29.8611627, 31.0134776 -29.8612599, 31.0134481 -29.8613321, 31.0133668 -29.8614753)",100,
"[755287816, 753426837]",True,5,,Che Guevara Road,secondary,False,119.83699999999999,yes,"LINESTRING (31.0095018 -29.8639797, 31.0088135 -29.8633714, 31.0087355 -29.8633051, 31.0086279 -29.8632135)",,
"[47851026, 147778381, 25658063]",True,2,,,motorway_link,False,333.81000000000006,yes,"LINESTRING (31.0116154 -29.8642022, 31.0117462 -29.8643019, 31.0117824 -29.8643252, 31.0118562 -29.8643745, 31.0119407 -29.8644211, 31.0120292 -29.8644571, 31.0121378 -29.8644839, 31.0121928 -29.8644868, 31.0122549 -29.8644835, 31.0123209 -29.8644693, 31.0123564 -29.8644554, 31.0124054 -29.8644304, 31.0124744 -29.8643757, 31.012512 -29.8643292, 31.0125402 -29.8642763, 31.0125556 -29.8642082, 31.0125583 -29.8641437, 31.0125408 -29.8640809, 31.0125187 -29.8640315, 31.0124785 -29.8639727, 31.0124429 -29.8639361, 31.012402 -29.8639076, 31.0123544 -29.8638861, 31.0123068 -29.8638721, 31.0122317 -29.8638547, 31.0121439 -29.8638477, 31.0120993 -29.8638483, 31.0120621 -29.8638489, 31.0119896 -29.8638523, 31.0119171 -29.8638677, 31.0118482 -29.8638843, 31.0117851 -29.8639105, 31.0116725 -29.8639687, 31.0116363 -29.8639913, 31.0115893 -29.8640251, 31.0115092 -29.8640965, 31.0114049 -29.864223, 31.0112353 -29.8644432, 31.0109827 -29.8646871)",100,
48572964,True,2,,Margaret Mncadi Avenue,primary,False,125.14099999999999,,"LINESTRING (31.0116154 -29.8642022, 31.0115513 -29.8643786, 31.0115357 -29.8644407, 31.0115298 -29.8645058, 31.0115452 -29.8648009, 31.0115614 -29.8650785, 31.0116087 -29.8653132)",,
714111120,True,2,,Alexandra Street,tertiary,False,119.642,,"LINESTRING (31.0116154 -29.8642022, 31.0115766 -29.8642513, 31.0115417 -29.8643007, 31.0115075 -29.8643554, 31.0114748 -29.8644218, 31.011416 -29.8645639, 31.0113411 -29.8647587, 31.0112663 -29.8649178, 31.011059 -29.8651529)",,
756339876,True,3,,King Dinuzulu Road,primary,False,11.948,,"LINESTRING (31.007946 -29.8594197, 31.0080366 -29.859493)",,
48667099,True,2,,Lancers Road,residential,False,56.117000000000004,,"LINESTRING (31.007946 -29.8594197, 31.0080033 -29.8593588, 31.0080632 -29.8592499, 31.0081144 -29.8591463, 31.0081693 -29.8590684, 31.0082381 -29.8589864)",,
