osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry
"[637243322, 637243321, 636981050, 637273157]",4,R101,Thabo Mbeki Drive,secondary,60,False,False,226.445,yes,"LINESTRING (28.4058747 -24.7000796, 28.4061707 -24.6998259, 28.4062409 -24.6997656, 28.4066306 -24.6994235, 28.4070826 -24.6990348, 28.4074849 -24.6986632)"
"[637325594, 637243323, 637313277]",5,R33,Nelson Mandela Drive,primary,,False,True,237.495,,"LINESTRING (28.4058747 -24.7000796, 28.4062444 -24.7004895, 28.4069696 -24.7012872, 28.4070538 -24.7013799, 28.4073736 -24.701725)"
"[637243324, 748631893]","['4', '5']",R33,Nelson Mandela Drive,primary,,False,False,157.836,,"LINESTRING (28.4058747 -24.7000796, 28.4054545 -24.6996452, 28.4053987 -24.699602, 28.4053069 -24.6995392, 28.4052332 -24.6995039, 28.4051245 -24.6994698, 28.4049422 -24.6994454, 28.4047826 -24.6994222, 28.4045921 -24.6993918)"
"[636981051, 637313275, 637308261]",4,R101,Thabo Mbeki Drive,primary,60,False,True,221.142,,"LINESTRING (28.4058747 -24.7000796, 28.4053296 -24.7004826, 28.4048805 -24.7008417, 28.4046408 -24.7010299, 28.4042086 -24.7013692)"
"[637243324, 748631893]","['4', '5']",R33,Nelson Mandela Drive,primary,,False,True,157.836,,"LINESTRING (28.4045921 -24.6993918, 28.4047826 -24.6994222, 28.4049422 -24.6994454, 28.4051245 -24.6994698, 28.4052332 -24.6995039, 28.4053069 -24.6995392, 28.4053987 -24.699602, 28.4054545 -24.6996452, 28.4058747 -24.7000796)"
636982595,5,R33,Nelson Mandela Drive,primary,,False,True,53.467,,"LINESTRING (28.4101443 -24.7047247, 28.4104749 -24.7051002)"
636982596,5,R33,Nelson Mandela Drive,primary,,False,False,49.903,,"LINESTRING (28.4101443 -24.7047247, 28.4098157 -24.7043896)"
636984705,2,,Joe Slovo Street,tertiary,,False,False,157.826,,"LINESTRING (28.4101443 -24.7047247, 28.4113455 -24.7038171)"
335819337,2,,Limpopo Street,residential,,False,False,90.243,,"LINESTRING (28.4105158 -24.699237, 28.4110871 -24.6998609)"
335819337,2,,Limpopo Street,residential,,False,True,87.812,,"LINESTRING (28.4105158 -24.699237, 28.4099659 -24.6986254)"
205694501,,,Chris Hani Street,residential,,False,False,295.288,,"LINESTRING (28.4105158 -24.699237, 28.4092739 -24.7002434, 28.4083217 -24.7009915)"
205694474,,,Chris Hani Street,residential,,False,False,222.588,,"LINESTRING (28.4073736 -24.701725, 28.4056744 -24.7029994)"
637290309,5,R33,Nelson Mandela Drive,primary,,False,True,46.785,,"LINESTRING (28.4073736 -24.701725, 28.4076649 -24.7020521)"
