osmid,name,highway,oneway,reversed,length,junction,geometry,bridge,lanes,maxspeed
13227570,Rose Street,residential,False,True,143.538,,"LINESTRING (26.5227924 -33.3077742, 26.5219959 -33.3066682)",,,
780979941,,tertiary,True,False,3.342,roundabout,"LINESTRING (26.5227924 -33.3077742, 26.5228165 -33.3077714, 26.5228276 -33.3077743)",,,
776975146,African Street,tertiary,False,False,37.403,,"LINESTRING (26.5280695 -33.305513, 26.5284236 -33.3053531)",,,
13858547,Landsdowne Road,residential,False,False,275.61,,"LINESTRING (26.5280695 -33.305513, 26.5278934 -33.3051819, 26.5274549 -33.3044836, 26.5266361 -33.3033459)",,,
215301314,Cawood Street,residential,False,True,122.176,,"LINESTRING (26.5280695 -33.305513, 26.5281629 -33.3059469, 26.5282337 -33.3063378, 26.5282439 -33.3066002)",,,
776975146,African Street,tertiary,False,True,87.24300000000001,,"LINESTRING (26.5280695 -33.305513, 26.5274556 -33.305616, 26.527357 -33.3056325, 26.5271518 -33.3056773)",,,
776975146,African Street,tertiary,False,True,37.403,,"LINESTRING (26.5284236 -33.3053531, 26.5280695 -33.305513)",,,
780986466,African Street,residential,True,False,44.348,,"LINESTRING (26.5284236 -33.3053531, 26.5287994 -33.3051073)",,,
776975146,African Street,tertiary,False,False,32.961,,"LINESTRING (26.5284236 -33.3053531, 26.5286073 -33.3053087, 26.5286978 -33.3052939, 26.528769 -33.305292)",,,
113903771,,tertiary,False,False,195.594,,"LINESTRING (26.5299211 -33.3057105, 26.5299658 -33.30585, 26.5300673 -33.3060248, 26.5301934 -33.3062008, 26.5311744 -33.3070977)",,,
113903771,,tertiary,False,True,76.893,,"LINESTRING (26.5299211 -33.3057105, 26.5298544 -33.3053208, 26.5298292 -33.3050237)",,,
776975146,African Street,tertiary,False,True,118.76899999999998,,"LINESTRING (26.5299211 -33.3057105, 26.5297662 -33.3057042, 26.5296529 -33.3056773, 26.5294779 -33.3056017, 26.5292398 -33.3054802, 26.5291017 -33.3053994, 26.528969 -33.3053372, 26.5288883 -33.3053091, 26.528769 -33.305292)",,,
880541638,Caldecott Street,residential,False,False,57.711,,"LINESTRING (26.5299211 -33.3057105, 26.5300771 -33.3056658, 26.5304744 -33.3054786)",,,
13100419,New Street,residential,False,False,18.162,,"LINESTRING (26.5220804 -33.3107119, 26.5222495 -33.31063)",,,
13100419,New Street,residential,False,False,48.352,,"LINESTRING (26.5222495 -33.31063, 26.5226949 -33.3104052)",,,
