osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access
"[317867624, 834138813, 834138814, 834138815]",Te Kauwhata Road,tertiary,50,False,False,236.64,"LINESTRING (175.1416507 -37.4060626, 175.141725 -37.4060365, 175.1417886 -37.4060306, 175.1419119 -37.4060411, 175.1419567 -37.4060643, 175.1420156 -37.4061082, 175.1420658 -37.4061659, 175.1421669 -37.4063114, 175.142276 -37.4064919, 175.1423773 -37.4066385, 175.1424221 -37.4066925, 175.14247 -37.4067274, 175.1425079 -37.4067496, 175.1425598 -37.4067668, 175.1426057 -37.4067697, 175.1426728 -37.4067702, 175.1427546 -37.4067568, 175.1428484 -37.4067324, 175.1430276 -37.4066655, 175.1431262 -37.4066287, 175.1431725 -37.4066115, 175.1434708 -37.4065002, 175.1435364 -37.4064623, 175.1435819 -37.4064212, 175.1436094 -37.4063778, 175.143621 -37.4063217)",
93532588,Scott Road,tertiary,,False,True,129.674,"LINESTRING (175.143621 -37.4063217, 175.1437429 -37.4063732, 175.1438588 -37.4064381, 175.144095 -37.4065759, 175.1441789 -37.4066354, 175.144252 -37.4067032, 175.1443106 -37.4067745, 175.1443612 -37.4068632, 175.1445031 -37.4071945)",
834138814,Te Kauwhata Road,tertiary,50,False,False,114.472,"LINESTRING (175.143621 -37.4063217, 175.143622 -37.406276, 175.1436131 -37.4062287, 175.1435899 -37.4061794, 175.1430917 -37.4053897)",
"[317867624, 834138813, 834138814, 834138815]",Te Kauwhata Road,tertiary,50,False,True,236.64000000000001,"LINESTRING (175.143621 -37.4063217, 175.1436094 -37.4063778, 175.1435819 -37.4064212, 175.1435364 -37.4064623, 175.1434708 -37.4065002, 175.1431725 -37.4066115, 175.1431262 -37.4066287, 175.1430276 -37.4066655, 175.1428484 -37.4067324, 175.1427546 -37.4067568, 175.1426728 -37.4067702, 175.1426057 -37.4067697, 175.1425598 -37.4067668, 175.1425079 -37.4067496, 175.14247 -37.4067274, 175.1424221 -37.4066925, 175.1423773 -37.4066385, 175.142276 -37.4064919, 175.1421669 -37.4063114, 175.1420658 -37.4061659, 175.1420156 -37.4061082, 175.1419567 -37.4060643, 175.1419119 -37.4060411, 175.1417886 -37.4060306, 175.141725 -37.4060365, 175.1416507 -37.4060626)",
92201957,Aparangi Drive,residential,30,False,True,39.336,"LINESTRING (175.1464149 -37.4012182, 175.1462248 -37.4015381)",destination
92201957,Aparangi Drive,residential,30,False,False,18.038,"LINESTRING (175.1464149 -37.4012182, 175.1464628 -37.4011472, 175.1465032 -37.4010721)",destination
93532581,Homestead Rise,residential,30,False,True,57.763999999999996,"LINESTRING (175.1464149 -37.4012182, 175.1462759 -37.4011591, 175.1462337 -37.401132, 175.1462115 -37.4011021, 175.14618 -37.4010451, 175.1461197 -37.4009306, 175.1460459 -37.4008145)",destination
92201957,Aparangi Drive,residential,30,False,False,39.336,"LINESTRING (175.1462248 -37.4015381, 175.1464149 -37.4012182)",destination
92201957,Aparangi Drive,residential,30,False,True,106.76899999999999,"LINESTRING (175.1462248 -37.4015381, 175.1462088 -37.4015876, 175.1462008 -37.4016407, 175.1462042 -37.4016921, 175.1462196 -37.4017365, 175.1462487 -37.4017994, 175.146419 -37.4021146, 175.1464922 -37.4022362, 175.146517 -37.4022829, 175.1465428 -37.4023362, 175.1465634 -37.4023874, 175.1465831 -37.4024367)",destination
1020992737,Pilgrim Place,residential,,False,False,45.712,"LINESTRING (175.1462248 -37.4015381, 175.1461828 -37.4015214, 175.1460841 -37.4014822, 175.1460074 -37.4014644, 175.1459381 -37.4014585, 175.1458702 -37.4014583, 175.145805 -37.4014669, 175.1457338 -37.4014893)",
