osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,lanes
495328981,SH 3,trunk,50,roundabout,True,False,13.114999999999998,"LINESTRING (174.285474 -39.3412336, 174.2854415 -39.3412356, 174.2854098 -39.3412299, 174.2853818 -39.341217, 174.2853602 -39.3411982, 174.2853498 -39.341183)",,,
"[1018935059, 1018935058, 819556683, 371344434]",SH 3,trunk,50,,False,False,120.119,"LINESTRING (174.285474 -39.3412336, 174.2854961 -39.3412884, 174.2856192 -39.341574, 174.285671 -39.3417048, 174.2858233 -39.342079, 174.2858965 -39.3422632)",Broadway,yes,
"[148282168, 371344437]",,residential,,,False,"[False, True]",489.43000000000006,"LINESTRING (174.2841374 -39.3414629, 174.2835804 -39.341589, 174.282996 -39.3417411, 174.2829605 -39.3417461, 174.2829251 -39.341745, 174.2828926 -39.3417377, 174.2828693 -39.3417214, 174.2828432 -39.3416879, 174.2828268 -39.3416543, 174.2824349 -39.3406572, 174.2823686 -39.3404885, 174.2820405 -39.3396538, 174.2818621 -39.3392001, 174.2816365 -39.338626, 174.2816177 -39.3385912, 174.2815942 -39.3385589, 174.281554 -39.3385134)","['Fenton Street', 'Portia Street']",,
"[819556682, 1018935063]",,residential,,,False,True,108.83000000000001,"LINESTRING (174.2841374 -39.3414629, 174.2849323 -39.3412846, 174.2853068 -39.3411966, 174.2853498 -39.341183)",Fenton Street,,
"[1020974718, 1020974719]",,residential,50,,False,False,378.82300000000004,"LINESTRING (174.2841374 -39.3414629, 174.2841142 -39.3414053, 174.2834817 -39.3398419, 174.2833631 -39.3395491, 174.2830537 -39.3387681, 174.28293 -39.3384613, 174.2828499 -39.3382624, 174.2828287 -39.3382099)",Miranda Street,,
"[1020974715, 1020974716, 1020974711]",,residential,,,False,True,114.70400000000001,"LINESTRING (174.2828287 -39.3382099, 174.2825613 -39.3382717, 174.281821 -39.3384517, 174.281554 -39.3385134)",Regan Street,,
"[818596780, 1020974717, 1018935076]",,residential,,,False,False,109.28400000000002,"LINESTRING (174.2828287 -39.3382099, 174.2830575 -39.3381536, 174.2836233 -39.3380148, 174.2839799 -39.337928, 174.2840403 -39.3379136)",Regan Street,,
"[1020974718, 1020974719]",,residential,50,,False,True,378.82300000000004,"LINESTRING (174.2828287 -39.3382099, 174.2828499 -39.3382624, 174.28293 -39.3384613, 174.2830537 -39.3387681, 174.2833631 -39.3395491, 174.2834817 -39.3398419, 174.2841142 -39.3414053, 174.2841374 -39.3414629)",Miranda Street,,
"[1020974720, 84865015]",,residential,50,,False,False,310.455,"LINESTRING (174.2828287 -39.3382099, 174.2828046 -39.3381522, 174.2827191 -39.3379404, 174.281769 -39.3355861, 174.2817524 -39.3355449)",Miranda Street,,
"[1020974729, 1018935069]",SH 43,primary,,,False,True,117.88000000000001,"LINESTRING (174.2879845 -39.3369653, 174.2876724 -39.3370401, 174.2869182 -39.3372209, 174.2866757 -39.3372802)",Regan Street,,"['2', '3']"
