osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,width,bridge
45891210,True,2,SH 45,Leach Street,primary,False,147.38,"LINESTRING (174.0835963 -39.0568784, 174.0834661 -39.0569153, 174.0832391 -39.0569862, 174.0830741 -39.0570343, 174.0829542 -39.0570738, 174.0827175 -39.057141, 174.0820064 -39.0573602)",,,
"[1162927369, 1162927370, 148758460]",False,2,SH 3,Eliot Street,trunk,False,100.069,"LINESTRING (174.0835963 -39.0568784, 174.0836351 -39.0569639, 174.083754 -39.0572051, 174.0837632 -39.0572222, 174.0838466 -39.0573844, 174.0840113 -39.0577186)",50,,
"[1180133238, 181678031]",False,4,SH 3,Eliot Street,trunk,True,100.88900000000001,"LINESTRING (174.0835963 -39.0568784, 174.0835452 -39.0567886, 174.0834096 -39.0565098, 174.0832177 -39.056126, 174.0831761 -39.056032)",50,,
"[1180133238, 181678031]",False,4,SH 3,Eliot Street,trunk,False,100.88900000000001,"LINESTRING (174.0831761 -39.056032, 174.0832177 -39.056126, 174.0834096 -39.0565098, 174.0835452 -39.0567886, 174.0835963 -39.0568784)",50,,
"[377681109, 1180133239]",False,3,SH 44,Eliot Street,trunk,True,102.535,"LINESTRING (174.0831761 -39.056032, 174.0831274 -39.0559363, 174.0831135 -39.0559094, 174.0829572 -39.0556084, 174.0828001 -39.0552774, 174.0827486 -39.0551718)",50,,
"[321770105, 974485956]",False,3,,Liardet Street,tertiary,False,103.48499999999999,"LINESTRING (174.0760419 -39.0571949, 174.0760934 -39.0572952, 174.0763409 -39.0577772, 174.0763835 -39.0578601, 174.0764354 -39.0579595, 174.0764873 -39.0580589)","['30', '50']",8,
"[1162927328, 321770105, 1162927326, 1162927327]",False,2,,Liardet Street,tertiary,True,98.02300000000001,"LINESTRING (174.0760419 -39.0571949, 174.0759958 -39.0571021, 174.0759468 -39.0570035, 174.0758629 -39.0568348, 174.0756702 -39.0564472, 174.0756331 -39.0563725)",30,8,
377435551,False,2,,Devon Street East,tertiary,True,272.319,"LINESTRING (174.0760419 -39.0571949, 174.0761797 -39.0571538, 174.0775951 -39.056717, 174.0777803 -39.056671, 174.0779672 -39.0566282, 174.0784215 -39.0564886, 174.078838 -39.0563606, 174.0789342 -39.0563325, 174.078985 -39.0563171)",30,,
"[1180133227, 323909315, 1180133228]",False,"['2', '3']",,Liardet Street,tertiary,False,100.30199999999999,"LINESTRING (174.0764873 -39.0580589, 174.0765455 -39.0581773, 174.0765523 -39.0581911, 174.0766823 -39.0584486, 174.0767029 -39.0584927, 174.0767333 -39.0585541, 174.0768576 -39.0588047, 174.0769063 -39.0589002)",50,8,
"[45891211, 323909318]",True,2,SH 45,Courtenay Street,primary,False,270.799,"LINESTRING (174.0764873 -39.0580589, 174.0767591 -39.0579758, 174.0770798 -39.0578776, 174.0772276 -39.0578323, 174.0772912 -39.0578128, 174.077427 -39.0577705, 174.0778295 -39.0576481, 174.0779027 -39.0576265, 174.0781269 -39.0575581, 174.0784283 -39.0574661, 174.0787915 -39.0573563, 174.0788615 -39.0573352, 174.0789866 -39.0572973, 174.0792845 -39.0572104, 174.0794097 -39.0571752)",50,,
