osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
19819053,Uxbridge Street,residential,50,False,True,226.457,"LINESTRING (170.5466354 -45.8421035, 170.5466244 -45.8421453, 170.5465928 -45.8421702, 170.5463765 -45.8422178, 170.546283 -45.8422491, 170.5462102 -45.8422784, 170.5461504 -45.8423206, 170.5461219 -45.8423463, 170.5460975 -45.8423778, 170.5460622 -45.8424366, 170.5460292 -45.8425068, 170.545999 -45.8426189, 170.5459781 -45.8427159, 170.5459755 -45.8427648, 170.5459805 -45.8427971, 170.5459949 -45.8428348, 170.5461909 -45.843113, 170.5462324 -45.8431638, 170.5462843 -45.8432064, 170.5468992 -45.8436953)",,
114917050,North Road,secondary,50,False,False,437.2000000000001,"LINESTRING (170.5466354 -45.8421035, 170.5464872 -45.8421068, 170.546374 -45.8421131, 170.5462635 -45.8421255, 170.5461526 -45.8421459, 170.5460474 -45.8421707, 170.5459283 -45.8422008, 170.5458056 -45.8422376, 170.5456876 -45.842275, 170.5456554 -45.8422856, 170.545581 -45.84231, 170.5454542 -45.8423608, 170.5453557 -45.8424113, 170.5452599 -45.842466, 170.5451722 -45.8425273, 170.5450889 -45.8425979, 170.5450243 -45.8426673, 170.5449329 -45.8427945, 170.5448683 -45.8428692, 170.5447958 -45.8429201, 170.5447104 -45.8429675, 170.5446046 -45.8430091, 170.5444925 -45.843043, 170.54437 -45.8430641, 170.544242 -45.8430679, 170.5437322 -45.8430649, 170.5434798 -45.8430644, 170.5432762 -45.84307, 170.5431171 -45.8430801, 170.5429575 -45.8430971, 170.5428002 -45.8431213, 170.542639 -45.8431551, 170.54237 -45.8432263, 170.5421326 -45.84329, 170.5419784 -45.8433176, 170.5415742 -45.8433757)",2,
114917050,North Road,secondary,50,False,False,21.272,"LINESTRING (170.5415742 -45.8433757, 170.5413036 -45.8434083)",2,
"[19818954, 19819013]","['Antrim Street', 'Rolla Street']",residential,50,False,False,414.79299999999995,"LINESTRING (170.5415742 -45.8433757, 170.5416373 -45.8434527, 170.542204 -45.8441438, 170.5425554 -45.8445736, 170.5425914 -45.8446068, 170.5426573 -45.8446608, 170.5427859 -45.8447604, 170.5429889 -45.8449182, 170.5430277 -45.8449393, 170.5430731 -45.8449573, 170.5431181 -45.8449597, 170.543163 -45.8449477, 170.5431946 -45.8449263, 170.5432076 -45.8448985, 170.5432121 -45.8448678, 170.5431999 -45.8448405, 170.5431571 -45.8448055, 170.5431023 -45.8447637, 170.5430757 -45.8447331, 170.5430487 -45.8446834, 170.5429923 -45.844575, 170.5429839 -45.8445383, 170.5429896 -45.8445003, 170.5430246 -45.8444368, 170.5433759 -45.8438314, 170.5433974 -45.8438068, 170.5434401 -45.8437797, 170.5434763 -45.8437659, 170.5439901 -45.8436382, 170.5440294 -45.843634, 170.5440699 -45.8436413)",,
114917050,North Road,secondary,50,False,True,437.20000000000016,"LINESTRING (170.5415742 -45.8433757, 170.5419784 -45.8433176, 170.5421326 -45.84329, 170.54237 -45.8432263, 170.542639 -45.8431551, 170.5428002 -45.8431213, 170.5429575 -45.8430971, 170.5431171 -45.8430801, 170.5432762 -45.84307, 170.5434798 -45.8430644, 170.5437322 -45.8430649, 170.544242 -45.8430679, 170.54437 -45.8430641, 170.5444925 -45.843043, 170.5446046 -45.8430091, 170.5447104 -45.8429675, 170.5447958 -45.8429201, 170.5448683 -45.8428692, 170.5449329 -45.8427945, 170.5450243 -45.8426673, 170.5450889 -45.8425979, 170.5451722 -45.8425273, 170.5452599 -45.842466, 170.5453557 -45.8424113, 170.5454542 -45.8423608, 170.545581 -45.84231, 170.5456554 -45.8422856, 170.5456876 -45.842275, 170.5458056 -45.8422376, 170.5459283 -45.8422008, 170.5460474 -45.8421707, 170.5461526 -45.8421459, 170.5462635 -45.8421255, 170.546374 -45.8421131, 170.5464872 -45.8421068, 170.5466354 -45.8421035)",2,
114917050,North Road,secondary,50,False,True,21.272,"LINESTRING (170.5413036 -45.8434083, 170.5415742 -45.8433757)",2,
19818840,Norwood Street,tertiary,50,False,False,66.274,"LINESTRING (170.5413036 -45.8434083, 170.5413185 -45.8433357, 170.5413318 -45.8433041, 170.5413556 -45.8432738, 170.541389 -45.8432523, 170.5414303 -45.8432292, 170.5415864 -45.8431546, 170.5418956 -45.8430186)",,
"[1007543562, 114917052]",North Road,secondary,50,False,False,96.411,"LINESTRING (170.5413036 -45.8434083, 170.5411657 -45.8434269, 170.5410898 -45.8434412, 170.5410297 -45.8434565, 170.5409627 -45.8434819, 170.5408903 -45.8435247, 170.5402878 -45.843881)",2,
114917052,North Road,secondary,50,False,False,140.231,"LINESTRING (170.5384928 -45.8449319, 170.5371116 -45.8457472)",2,
19776030,Dalkeith Street,residential,50,False,False,87.733,"LINESTRING (170.5384928 -45.8449319, 170.538574 -45.8449921, 170.5392273 -45.845476, 170.5392687 -45.8455067)",,
114917052,North Road,secondary,50,False,True,181.624,"LINESTRING (170.5384928 -45.8449319, 170.5392136 -45.8445083, 170.5402878 -45.843881)",2,
114917052,North Road,secondary,50,False,True,46.774,"LINESTRING (170.5366483 -45.846017, 170.5369547 -45.8458396, 170.5371116 -45.8457472)",2,
162559975,Beechworth Street,residential,50,False,True,79.217,"LINESTRING (170.5366483 -45.846017, 170.536563 -45.845967, 170.5358659 -45.8455582)",,
114917052,North Road,secondary,50,False,True,140.231,"LINESTRING (170.5371116 -45.8457472, 170.5384928 -45.8449319)",2,
19776076,Montague Street,residential,50,False,True,87.387,"LINESTRING (170.5371116 -45.8457472, 170.537193 -45.8458055, 170.5377953 -45.8462373, 170.5378683 -45.8463263)",,
114917052,North Road,secondary,50,False,False,46.774,"LINESTRING (170.5371116 -45.8457472, 170.5369547 -45.8458396, 170.5366483 -45.846017)",2,
115254292,Dryden Street,residential,50,False,True,83.307,"LINESTRING (170.5414406 -45.8426668, 170.5413767 -45.8426962, 170.5406259 -45.8430419, 170.5405434 -45.8430799)",,
115254301,Tannadice Street,residential,50,False,True,87.975,"LINESTRING (170.5414406 -45.8426668, 170.5409978 -45.8423302, 170.5406733 -45.8420835)",,
860297698,Dryden Street,residential,50,False,False,73.685,"LINESTRING (170.5414406 -45.8426668, 170.5414902 -45.8426538, 170.5416644 -45.8425698, 170.5419804 -45.8424261, 170.5421885 -45.8423359, 170.5422428 -45.8423124)",,
860297699,Tannadice Street,residential,50,False,False,52.655,"LINESTRING (170.5414406 -45.8426668, 170.54185 -45.8429833, 170.5418956 -45.8430186)",,
162559977,Bonnington Street,residential,50,False,False,7.394,"LINESTRING (170.5422428 -45.8423124, 170.5423078 -45.8423611)",,
"[162559976, 162559977, 115254299]",Bonnington Street,residential,50,False,True,168.952,"LINESTRING (170.5422428 -45.8423124, 170.5420884 -45.8421828, 170.542051 -45.8421371, 170.5419918 -45.8420828, 170.5419098 -45.8420018, 170.5417523 -45.841873, 170.5416278 -45.8417877, 170.5415565 -45.8417543, 170.541466 -45.8417172, 170.5413411 -45.8417027, 170.5410908 -45.8416814, 170.5407668 -45.8416745, 170.5405475 -45.8417057, 170.5404641 -45.8417262)",,yes
860297698,Dryden Street,residential,50,False,True,73.685,"LINESTRING (170.5422428 -45.8423124, 170.5421885 -45.8423359, 170.5419804 -45.8424261, 170.5416644 -45.8425698, 170.5414902 -45.8426538, 170.5414406 -45.8426668)",,
19819029,Hillingdon Street,residential,50,False,True,57.214,"LINESTRING (170.5474527 -45.8433546, 170.5468992 -45.8436953)",,
19776076,Montague Street,residential,50,False,False,85.396,"LINESTRING (170.5385797 -45.8469075, 170.5379154 -45.8464029, 170.5378683 -45.8463263)",,
48531796,Rowan Street,residential,50,False,False,79.474,"LINESTRING (170.5385797 -45.8469075, 170.5385358 -45.8469338, 170.5380497 -45.8472254, 170.5378512 -45.8474061)",,
19776027,Rhodes Terrace,residential,50,False,False,111.883,"LINESTRING (170.5392687 -45.8455067, 170.5403737 -45.8448587)",,
19776027,Rhodes Terrace,residential,50,False,True,141.675,"LINESTRING (170.5392687 -45.8455067, 170.5378683 -45.8463263)",,
19776030,Dalkeith Street,residential,50,False,True,87.733,"LINESTRING (170.5392687 -45.8455067, 170.5392273 -45.845476, 170.538574 -45.8449921, 170.5384928 -45.8449319)",,
19819029,Hillingdon Street,residential,50,False,False,57.214,"LINESTRING (170.5468992 -45.8436953, 170.5474527 -45.8433546)",,
19819029,Hillingdon Street,residential,50,False,True,85.357,"LINESTRING (170.5468992 -45.8436953, 170.5460723 -45.8442027)",,
19819053,Uxbridge Street,residential,50,False,False,226.45699999999994,"LINESTRING (170.5468992 -45.8436953, 170.5462843 -45.8432064, 170.5462324 -45.8431638, 170.5461909 -45.843113, 170.5459949 -45.8428348, 170.5459805 -45.8427971, 170.5459755 -45.8427648, 170.5459781 -45.8427159, 170.545999 -45.8426189, 170.5460292 -45.8425068, 170.5460622 -45.8424366, 170.5460975 -45.8423778, 170.5461219 -45.8423463, 170.5461504 -45.8423206, 170.5462102 -45.8422784, 170.546283 -45.8422491, 170.5463765 -45.8422178, 170.5465928 -45.8421702, 170.5466244 -45.8421453, 170.5466354 -45.8421035)",,
115254301,Tannadice Street,residential,50,False,False,87.975,"LINESTRING (170.5406733 -45.8420835, 170.5409978 -45.8423302, 170.5414406 -45.8426668)",,
19818840,Norwood Street,tertiary,50,False,False,301.16,"LINESTRING (170.5427101 -45.8426814, 170.542821 -45.8426664, 170.5429473 -45.8426518, 170.5430217 -45.8426448, 170.5430643 -45.8426429, 170.5437805 -45.8426478, 170.5438526 -45.8426446, 170.5439283 -45.8426297, 170.5442526 -45.8425507, 170.54437 -45.842517, 170.5446112 -45.8424167, 170.5447343 -45.8423589, 170.5448592 -45.8422896, 170.5449639 -45.8422297, 170.5450686 -45.8421617, 170.5454257 -45.8418802, 170.5455 -45.8418251, 170.54554 -45.8417729, 170.5457349 -45.8414452, 170.545776 -45.8413959)",,
19818840,Norwood Street,tertiary,50,False,True,73.737,"LINESTRING (170.5427101 -45.8426814, 170.5426363 -45.8426943, 170.542589 -45.8427071, 170.5425439 -45.8427268, 170.5418956 -45.8430186)",,
162559977,Bonnington Street,residential,50,False,True,47.325,"LINESTRING (170.5427101 -45.8426814, 170.5426533 -45.8426362, 170.5423078 -45.8423611)",,
48531774,Ainslee Place,residential,50,False,True,207.637,"LINESTRING (170.5379138 -45.8443533, 170.5359313 -45.8455197, 170.5358659 -45.8455582)",,
19776027,Rhodes Terrace,residential,50,False,True,111.883,"LINESTRING (170.5403737 -45.8448587, 170.5392687 -45.8455067)",,
19819013,Rolla Street,residential,50,False,True,103.625,"LINESTRING (170.5453822 -45.8435204, 170.5453253 -45.8435381, 170.545272 -45.8435485, 170.5449569 -45.8435625, 170.5442335 -45.8435948, 170.5441842 -45.8435996, 170.5441413 -45.8436103, 170.5440699 -45.8436413)",,
48531796,Rowan Street,residential,50,False,True,79.474,"LINESTRING (170.5378512 -45.8474061, 170.5380497 -45.8472254, 170.5385358 -45.8469338, 170.5385797 -45.8469075)",,
19818840,Norwood Street,tertiary,50,False,False,73.73700000000001,"LINESTRING (170.5418956 -45.8430186, 170.5425439 -45.8427268, 170.542589 -45.8427071, 170.5426363 -45.8426943, 170.5427101 -45.8426814)",,
19818840,Norwood Street,tertiary,50,False,True,66.274,"LINESTRING (170.5418956 -45.8430186, 170.5415864 -45.8431546, 170.5414303 -45.8432292, 170.541389 -45.8432523, 170.5413556 -45.8432738, 170.5413318 -45.8433041, 170.5413185 -45.8433357, 170.5413036 -45.8434083)",,
860297699,Tannadice Street,residential,50,False,True,52.655,"LINESTRING (170.5418956 -45.8430186, 170.54185 -45.8429833, 170.5414406 -45.8426668)",,
19819013,Rolla Street,residential,50,False,False,103.62499999999999,"LINESTRING (170.5440699 -45.8436413, 170.5441413 -45.8436103, 170.5441842 -45.8435996, 170.5442335 -45.8435948, 170.5449569 -45.8435625, 170.545272 -45.8435485, 170.5453253 -45.8435381, 170.5453822 -45.8435204)",,
"[19818954, 19819013]","['Antrim Street', 'Rolla Street']",residential,50,False,True,414.79299999999995,"LINESTRING (170.5440699 -45.8436413, 170.5440294 -45.843634, 170.5439901 -45.8436382, 170.5434763 -45.8437659, 170.5434401 -45.8437797, 170.5433974 -45.8438068, 170.5433759 -45.8438314, 170.5430246 -45.8444368, 170.5429896 -45.8445003, 170.5429839 -45.8445383, 170.5429923 -45.844575, 170.5430487 -45.8446834, 170.5430757 -45.8447331, 170.5431023 -45.8447637, 170.5431571 -45.8448055, 170.5431999 -45.8448405, 170.5432121 -45.8448678, 170.5432076 -45.8448985, 170.5431946 -45.8449263, 170.543163 -45.8449477, 170.5431181 -45.8449597, 170.5430731 -45.8449573, 170.5430277 -45.8449393, 170.5429889 -45.8449182, 170.5427859 -45.8447604, 170.5426573 -45.8446608, 170.5425914 -45.8446068, 170.5425554 -45.8445736, 170.542204 -45.8441438, 170.5416373 -45.8434527, 170.5415742 -45.8433757)",,
19819029,Hillingdon Street,residential,50,False,False,197.39300000000003,"LINESTRING (170.5440699 -45.8436413, 170.5440903 -45.8436537, 170.5440996 -45.8436636, 170.5441059 -45.8436704, 170.5442011 -45.8437853, 170.5442343 -45.8438457, 170.5442495 -45.8438862, 170.5442522 -45.8439123, 170.5442478 -45.8439544, 170.5442351 -45.84399, 170.5441939 -45.844035, 170.5441153 -45.8441109, 170.5440804 -45.844157, 170.5440621 -45.8441949, 170.5440527 -45.8442395, 170.5440617 -45.8442853, 170.5440913 -45.8443303, 170.5441422 -45.8443707, 170.5442119 -45.8444, 170.5442665 -45.8444093, 170.5443352 -45.8444112, 170.5443969 -45.8444, 170.5444506 -45.8443844, 170.5445633 -45.844342, 170.5446652 -45.8443047, 170.5447591 -45.8442785, 170.5448644 -45.8442587, 170.5449753 -45.8442537, 170.5454579 -45.8442691)",,
115254313,Hillingdon Street,residential,50,False,False,81.926,"LINESTRING (170.5449706 -45.8450805, 170.5455758 -45.8445364, 170.5456209 -45.8444995)",,
48531774,Ainslee Place,residential,50,False,False,207.637,"LINESTRING (170.5358659 -45.8455582, 170.5359313 -45.8455197, 170.5379138 -45.8443533)",,
162559975,Beechworth Street,residential,50,False,False,79.217,"LINESTRING (170.5358659 -45.8455582, 170.536563 -45.845967, 170.5366483 -45.846017)",,
