osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,junction,geometry
46040647,Rawhiti Avenue,tertiary,False,True,70.047,,,,,"LINESTRING (175.7744551 -37.8077053, 175.7751652 -37.8079918)"
46040648,Arawa Street,unclassified,False,False,109.831,,,,,"LINESTRING (175.7744551 -37.8077053, 175.7738819 -37.8085831)"
1148354482,Rawhiti Avenue,tertiary,False,False,71.602,,,,,"LINESTRING (175.7744551 -37.8077053, 175.7737338 -37.8074055)"
818601211,,primary,True,False,14.392,1,SH 27,50,roundabout,"LINESTRING (175.7708502 -37.8083802, 175.7708773 -37.8084045, 175.7708977 -37.8084325, 175.7709105 -37.8084633, 175.7709153 -37.8084954)"
1148354482,Rawhiti Avenue,tertiary,False,True,51.31,,,,,"LINESTRING (175.7708046 -37.8061921, 175.7713186 -37.8064112)"
1148129320,Waharoa Road East,tertiary,False,False,294.31699999999995,,,,,"LINESTRING (175.7708046 -37.8061921, 175.7713517 -37.8078243, 175.7713651 -37.8078808, 175.771532 -37.8085828, 175.7715446 -37.8086714, 175.7715506 -37.8087134, 175.7715509 -37.8087686)"
774884336,Broadway,primary,True,False,67.425,1,SH 24,50,,"LINESTRING (175.7715509 -37.8087686, 175.7722241 -37.8090598)"
774884335,Waharoa Road East,tertiary,False,False,17.73,,,,,"LINESTRING (175.7715509 -37.8087686, 175.7715368 -37.8088106, 175.7715093 -37.8088925, 175.7714991 -37.8089227)"
1148129320,Waharoa Road East,tertiary,False,True,294.317,,,,,"LINESTRING (175.7715509 -37.8087686, 175.7715506 -37.8087134, 175.7715446 -37.8086714, 175.771532 -37.8085828, 175.7713651 -37.8078808, 175.7713517 -37.8078243, 175.7708046 -37.8061921)"
66260528,Gordon Terrace,residential,False,True,152.38,,,,,"LINESTRING (175.7715283 -37.8051296, 175.7716989 -37.8055601, 175.7717092 -37.8056299, 175.7717064 -37.8057281, 175.7716797 -37.8058193, 175.77163 -37.80591, 175.7713186 -37.8064112)"
66260521,Karaka Street,residential,False,True,111.21,,,,,"LINESTRING (175.7785675 -37.8072646, 175.7779812 -37.808151)"
66260685,Manawa Street,residential,False,False,151.745,,,50,,"LINESTRING (175.7742448 -37.80644, 175.7744023 -37.8064696, 175.7745648 -37.8065259, 175.7757883 -37.8070436)"
66260857,Tawari Street,residential,False,True,117.085,,,50,,"LINESTRING (175.7742448 -37.80644, 175.7741508 -37.8067285, 175.7740881 -37.8068788, 175.7737816 -37.8073187, 175.7737338 -37.8074055)"
66260493,Raupo Place,residential,False,True,130.99599999999998,,,,,"LINESTRING (175.7775148 -37.8069436, 175.7774257 -37.8069499, 175.7763085 -37.8065006, 175.7761789 -37.8064441)"
66260657,Pukatea Place,residential,False,False,75.685,,,,,"LINESTRING (175.7772179 -37.8078354, 175.7779812 -37.808151)"
66260521,Karaka Street,residential,False,False,111.21,,,,,"LINESTRING (175.7779812 -37.808151, 175.7785675 -37.8072646)"
66260521,Karaka Street,residential,False,True,99.104,,,,,"LINESTRING (175.7779812 -37.808151, 175.7774515 -37.8089379)"
66260657,Pukatea Place,residential,False,True,75.685,,,,,"LINESTRING (175.7779812 -37.808151, 175.7772179 -37.8078354)"
66260505,Ratcliffe Street,residential,False,False,160.86200000000002,,,,,"LINESTRING (175.7687311 -37.8068189, 175.7688295 -37.8067049, 175.7689472 -37.8066119, 175.7690459 -37.8065502, 175.7692314 -37.8064692, 175.7703319 -37.8061998)"
