osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,junction
130857225,Kauri Place,residential,False,False,137.22,"LINESTRING (176.4570272 -37.7552865, 176.4571174 -37.7553327, 176.4572022 -37.7553873, 176.4572545 -37.7554289, 176.4572817 -37.7554581, 176.4572859 -37.7554793, 176.4572785 -37.7555168, 176.4572679 -37.7555506, 176.4569736 -37.7563925)",,,,
130857220,Beach Road,residential,False,True,472.897,"LINESTRING (176.4558388 -37.7555017, 176.455548 -37.7559705, 176.4554715 -37.7560892, 176.4553964 -37.7562228, 176.4552958 -37.756411, 176.4551926 -37.7565695, 176.4550652 -37.7567286, 176.45429 -37.7574983, 176.4541807 -37.7576001, 176.4540955 -37.7576775, 176.4539862 -37.7577613, 176.4539206 -37.7578036, 176.4538466 -37.757855, 176.4535893 -37.7580126, 176.4532732 -37.7581795, 176.4530745 -37.7582864, 176.4529304 -37.7584192, 176.4528632 -37.7585114, 176.4527479 -37.7588163, 176.4527306 -37.758862)",2,50,,
138097280,Town Point Road,residential,False,False,156.298,"LINESTRING (176.4558388 -37.7555017, 176.4562772 -37.754847, 176.456377 -37.7547416, 176.4564768 -37.754666, 176.4565099 -37.7546479, 176.4565371 -37.7546347, 176.4565918 -37.7546194, 176.4567378 -37.7545912, 176.4568542 -37.7545787, 176.4569924 -37.754579)",,,,
"[1089365345, 130857227]",Te Awhe Road,residential,False,"[False, True]",100.685,"LINESTRING (176.4558388 -37.7555017, 176.4560937 -37.7556624, 176.4561376 -37.7557197, 176.4561442 -37.7557838, 176.4561319 -37.7558608, 176.4559724 -37.7562811)",,,,
130857227,Te Awhe Road,residential,False,False,306.6619999999999,"LINESTRING (176.4559724 -37.7562811, 176.455841 -37.7566501, 176.4555332 -37.7572274, 176.4554387 -37.7573435, 176.4554058 -37.7574151, 176.4553916 -37.7574506, 176.4553823 -37.7575047, 176.4553872 -37.757544, 176.4554004 -37.7575863, 176.4554558 -37.7576704, 176.4555488 -37.7577488, 176.4556442 -37.7578156, 176.4556682 -37.7578386, 176.4556951 -37.7578737, 176.4557233 -37.7579283, 176.4557272 -37.7579685, 176.4557246 -37.7580219, 176.4557129 -37.7580749, 176.4556814 -37.7581761, 176.4556341 -37.7582859, 176.4555832 -37.7583476, 176.4555473 -37.7583763, 176.4554987 -37.7583993, 176.4554118 -37.7584216, 176.4553039 -37.7584319, 176.455149 -37.7584433, 176.4549994 -37.7584457)",,,,
"[1089365345, 130857227]",Te Awhe Road,residential,False,"[False, True]",100.685,"LINESTRING (176.4559724 -37.7562811, 176.4561319 -37.7558608, 176.4561442 -37.7557838, 176.4561376 -37.7557197, 176.4560937 -37.7556624, 176.4558388 -37.7555017)",,,,
130857229,Otimi Street,residential,False,False,88.886,"LINESTRING (176.4559724 -37.7562811, 176.4560162 -37.756286, 176.4569736 -37.7563925)",,,,
130857225,Kauri Place,residential,False,True,137.22,"LINESTRING (176.4569736 -37.7563925, 176.4572679 -37.7555506, 176.4572785 -37.7555168, 176.4572859 -37.7554793, 176.4572817 -37.7554581, 176.4572545 -37.7554289, 176.4572022 -37.7553873, 176.4571174 -37.7553327, 176.4570272 -37.7552865)",,,,
130857229,Otimi Street,residential,False,False,189.903,"LINESTRING (176.4569736 -37.7563925, 176.4573068 -37.7564322, 176.457392 -37.7564439, 176.457449 -37.7564587, 176.4575026 -37.7564956, 176.4575429 -37.7565438, 176.4575524 -37.7565701, 176.4575569 -37.756611, 176.4575378 -37.7566981, 176.4575033 -37.7567779, 176.4572481 -37.7572889, 176.4571479 -37.7574435, 176.4569964 -37.75766)",,,,
130857229,Otimi Street,residential,False,True,88.886,"LINESTRING (176.4569736 -37.7563925, 176.4560162 -37.756286, 176.4559724 -37.7562811)",,,,
130857229,Otimi Street,residential,False,True,189.903,"LINESTRING (176.4569964 -37.75766, 176.4571479 -37.7574435, 176.4572481 -37.7572889, 176.4575033 -37.7567779, 176.4575378 -37.7566981, 176.4575569 -37.756611, 176.4575524 -37.7565701, 176.4575429 -37.7565438, 176.4575026 -37.7564956, 176.457449 -37.7564587, 176.457392 -37.7564439, 176.4573068 -37.7564322, 176.4569736 -37.7563925)",,,,
130857214,Park Road,residential,False,False,100.14,"LINESTRING (176.4521831 -37.7577891, 176.4521488 -37.7578884, 176.4519384 -37.7586058, 176.451891 -37.7586542)",,,,
130857209,,tertiary,True,False,9.186,"LINESTRING (176.451891 -37.7586542, 176.4519062 -37.758661, 176.4519197 -37.7586697, 176.4519313 -37.75868, 176.4519405 -37.7586916, 176.4519473 -37.7587043, 176.4519513 -37.7587177)",1,50,7,roundabout
130857214,Park Road,residential,False,True,100.14,"LINESTRING (176.451891 -37.7586542, 176.4519384 -37.7586058, 176.4521488 -37.7578884, 176.4521831 -37.7577891)",,,,
392358213,Little Waihi Road,residential,False,False,71.115,"LINESTRING (176.4519513 -37.7587177, 176.4520026 -37.7587055, 176.4521033 -37.7587166, 176.452509 -37.7588094, 176.4527306 -37.758862)",2,50,,
392358248,,tertiary,True,False,17.486,"LINESTRING (176.4519513 -37.7587177, 176.4519523 -37.7587351, 176.4519487 -37.7587524, 176.4519407 -37.7587687, 176.4519286 -37.7587833, 176.4519129 -37.7587956, 176.4518943 -37.7588051, 176.4518737 -37.7588113, 176.4518518 -37.758814, 176.4518298 -37.758813)",1,50,7,roundabout
130857209,,tertiary,True,False,19.497,"LINESTRING (176.4517409 -37.758738, 176.4517412 -37.7587205, 176.4517461 -37.7587034, 176.4517554 -37.7586874, 176.4517687 -37.7586734, 176.4517853 -37.7586618, 176.4518047 -37.7586533, 176.4518259 -37.7586481, 176.451848 -37.7586465, 176.45187 -37.7586486, 176.451891 -37.7586542)",1,50,7,roundabout
