osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,maxspeed,bridge
34039894,2,Edinburgh Street,primary,False,False,32.572,"LINESTRING (174.9038992 -37.1979144, 174.9039233 -37.1976221)",,,
30836182,,Albert Street,unclassified,False,True,117.814,"LINESTRING (174.9038992 -37.1979144, 174.9038404 -37.1979113, 174.902572 -37.197844)",,,
"[615986006, 34039894]","['2', '3']",Edinburgh Street,primary,False,True,118.118,"LINESTRING (174.9038992 -37.1979144, 174.9038623 -37.1982869, 174.9038195 -37.1986322, 174.9038171 -37.198649, 174.9038149 -37.1988888, 174.903813 -37.1989737)",,,
253923547,,Seddon Street,tertiary,False,True,12.112,"LINESTRING (174.9014064 -37.1977781, 174.9013959 -37.1978867)",,,
30836182,,Albert Street,unclassified,False,False,103.5,"LINESTRING (174.9014064 -37.1977781, 174.9015019 -37.1977835, 174.902572 -37.197844)",,,
253923547,,Seddon Street,tertiary,False,False,12.112,"LINESTRING (174.9013959 -37.1978867, 174.9014064 -37.1977781)",,,
150720534,,Victoria Street,tertiary,False,True,93.64699999999999,"LINESTRING (174.9013959 -37.1978867, 174.901315 -37.1978801, 174.901254 -37.1978867, 174.901198 -37.1979094, 174.9010626 -37.1979807, 174.9004985 -37.1982962)",,,
253923547,,Seddon Street,tertiary,False,True,123.771,"LINESTRING (174.9013959 -37.1978867, 174.9013399 -37.1987841, 174.901326 -37.1989124, 174.9013168 -37.1989979)",,,
253923547,,Seddon Street,tertiary,False,False,123.771,"LINESTRING (174.9013168 -37.1989979, 174.901326 -37.1989124, 174.9013399 -37.1987841, 174.9013959 -37.1978867)",,,
253923559,1,,secondary,True,False,18.275,"LINESTRING (174.9013168 -37.1989979, 174.9013666 -37.1990085, 174.9014069 -37.1990341, 174.9014309 -37.1990705, 174.9014347 -37.1991115)",roundabout,,
83015052,1,King Street,tertiary,False,False,68.04299999999999,"LINESTRING (174.9073635 -37.2008732, 174.9074514 -37.2009116, 174.907787 -37.2012674, 174.9078246 -37.2013071, 174.9078528 -37.2013369)",,,
83015052,1,King Street,tertiary,False,True,160.712,"LINESTRING (174.9073635 -37.2008732, 174.9072523 -37.2008558, 174.9067334 -37.2008195, 174.9062484 -37.2007872, 174.905716 -37.2007506, 174.9056625 -37.2007471, 174.9056469 -37.2007453, 174.9055573 -37.2007404)",,,
150720534,,Victoria Street,tertiary,False,True,106.694,"LINESTRING (174.9004985 -37.1982962, 174.8995038 -37.1988374)",,,
150720534,,Victoria Street,tertiary,False,False,93.647,"LINESTRING (174.9004985 -37.1982962, 174.9010626 -37.1979807, 174.901198 -37.1979094, 174.901254 -37.1978867, 174.901315 -37.1978801, 174.9013959 -37.1978867)",,,
