osmid,highway,oneway,reversed,length,lanes,name,geometry,ref,junction
163622911,residential,False,True,53.767,,,"LINESTRING (-17.3927142 14.7760691, -17.3924343 14.7764698)",,
340565102,secondary,True,False,87.67400000000002,1,Boulevard El Hadj Omar Tall,"LINESTRING (-17.3927142 14.7760691, -17.3930429 14.7762763, -17.3931156 14.776344, -17.3931696 14.7763824, -17.3933254 14.7764511, -17.3934044 14.7764783)",,
163622942,residential,False,False,44.925,,,"LINESTRING (-17.3905902 14.7743715, -17.3908442 14.7740507)",,
335895807,secondary,True,False,76.675,1,Boulevard El Hadj Omar Tall,"LINESTRING (-17.3905902 14.7743715, -17.3901059 14.7740652, -17.3899993 14.773986)",,
335895807,secondary,True,False,95.596,1,Boulevard El Hadj Omar Tall,"LINESTRING (-17.3890825 14.773356, -17.3885046 14.772936, -17.3883691 14.772843)",,
100100519,tertiary,False,False,55.497,2,Notaire-joseph Correa,"LINESTRING (-17.3896998 14.7802174, -17.389429 14.7797925)",,
362289257,secondary,False,False,41.196,2,Route vers Corniche,"LINESTRING (-17.3896998 14.7802174, -17.3900378 14.7800429)",,
362289257,secondary,False,True,9.23,2,Route vers Corniche,"LINESTRING (-17.3896998 14.7802174, -17.3896251 14.7802583)",,
100100519,tertiary,False,False,30.866,2,Notaire-joseph Correa,"LINESTRING (-17.3889499 14.7792254, -17.3887167 14.7790635)",,
100100519,tertiary,False,True,8.769,2,Notaire-joseph Correa,"LINESTRING (-17.3889499 14.7792254, -17.3890138 14.7792744)",,
161560334,residential,False,False,63.723,,,"LINESTRING (-17.3889499 14.7792254, -17.3892618 14.7787381)",,
101288826,tertiary,False,False,31.555999999999997,2,,"LINESTRING (-17.3900252 14.7742013, -17.3899466 14.7743078, -17.3898547 14.7744323)",WN-78,
340565102,secondary,True,False,106.85900000000001,1,Boulevard El Hadj Omar Tall,"LINESTRING (-17.3900252 14.7742013, -17.3904964 14.774533, -17.3908299 14.7747653)",,
639651601,tertiary,True,False,9.301,,,"LINESTRING (-17.385593 14.7803299, -17.3856588 14.7802756)",,
639651607,tertiary,True,False,10.551,,,"LINESTRING (-17.385593 14.7803299, -17.3856638 14.7803956)",,
