osmid,oneway,lanes,ref,highway,reversed,length,geometry,bridge
583042849,False,2,N 6,primary,True,22.728,"LINESTRING (-15.4277712 12.6555006, -15.4279758 12.6555445)",
583044759,False,,,tertiary,False,5.474,"LINESTRING (-15.4277712 12.6555006, -15.4277215 12.6554921)",
583043412,True,2,N 6,primary,False,51.86,"LINESTRING (-15.4277712 12.6555006, -15.4277538 12.6556144, -15.4277484 12.6556956, -15.427735 12.6557859, -15.4277256 12.655867, -15.427726 12.6559641)",
706869520,False,,,tertiary,False,53.284,"LINESTRING (-15.4240323 12.6542157, -15.4238839 12.6539973, -15.4237483 12.6538251)",
706869520,False,,,tertiary,True,76.209,"LINESTRING (-15.4240323 12.6542157, -15.4243335 12.6543565, -15.42468 12.6544787)",
928020041,False,,,residential,True,129.01899999999998,"LINESTRING (-15.4240323 12.6542157, -15.4240644 12.654302, -15.4242194 12.6545076, -15.4242884 12.6545506, -15.4243857 12.6546059, -15.4244304 12.6546232, -15.4245185 12.6546447, -15.4246184 12.6546459, -15.4246861 12.6546354, -15.4250174 12.6546203)",
176208757,False,,,unclassified,True,97.599,"LINESTRING (-15.4257534 12.6548323, -15.4260424 12.6540011)",
583044759,False,,,tertiary,True,20.74,"LINESTRING (-15.4257534 12.6548323, -15.4259365 12.6548859)",
706869520,False,,,tertiary,False,83.258,"LINESTRING (-15.4257534 12.6548323, -15.4250174 12.6546203)",
295229293,False,,,residential,False,84.683,"LINESTRING (-15.4253341 12.6511542, -15.425045 12.6518616)",
340911362,False,,,residential,False,53.686,"LINESTRING (-15.4253341 12.6511542, -15.4258051 12.6513022)",
295229344,False,,,residential,False,90.47,"LINESTRING (-15.430549 12.6512591, -15.4302395 12.6520146)",
340911363,False,,,residential,False,70.23400000000001,"LINESTRING (-15.430549 12.6512591, -15.4309079 12.6513521, -15.4311662 12.651447)",
295229333,False,,,residential,True,133.341,"LINESTRING (-15.4282543 12.6513149, -15.4294102 12.6517223)",
295229292,False,,,residential,True,91.68199999999999,"LINESTRING (-15.4282543 12.6513149, -15.428088 12.6516697, -15.4279344 12.6520774)",
295229335,False,,,residential,False,83.801,"LINESTRING (-15.4258051 12.6513022, -15.4255528 12.6520145)",
340911362,False,,,residential,True,53.686,"LINESTRING (-15.4258051 12.6513022, -15.4253341 12.6511542)",
340911362,False,,,residential,False,125.682,"LINESTRING (-15.4258051 12.6513022, -15.4263951 12.6515268, -15.4268919 12.6516927)",
295229325,False,,,residential,False,12.178,"LINESTRING (-15.4312366 12.6513617, -15.4311662 12.651447)",
295229296,False,,,residential,True,57.092999999999996,"LINESTRING (-15.4312366 12.6513617, -15.4313225 12.6513643, -15.4314539 12.6513748, -15.4316148 12.6514141, -15.4317516 12.6514533)",
295229299,False,,,residential,True,41.737,"LINESTRING (-15.4295215 12.651363, -15.4294102 12.6517223)",
295229296,False,,,residential,False,57.092999999999996,"LINESTRING (-15.4317516 12.6514533, -15.4316148 12.6514141, -15.4314539 12.6513748, -15.4313225 12.6513643, -15.4312366 12.6513617)",
295229296,False,,,residential,True,37.941,"LINESTRING (-15.4317516 12.6514533, -15.4318374 12.6514743, -15.432093 12.651527)",
295229325,False,,,residential,True,12.178,"LINESTRING (-15.4311662 12.651447, -15.4312366 12.6513617)",
295229325,False,,,residential,False,176.353,"LINESTRING (-15.4311662 12.651447, -15.4310368 12.6518099, -15.4306741 12.6527597, -15.4306218 12.6529408)",
340911363,False,,,residential,True,70.23400000000001,"LINESTRING (-15.4311662 12.651447, -15.4309079 12.6513521, -15.430549 12.6512591)",
295229296,False,,,residential,False,37.941,"LINESTRING (-15.432093 12.651527, -15.4318374 12.6514743, -15.4317516 12.6514533)",
295229298,False,,,residential,True,191.50500000000002,"LINESTRING (-15.432093 12.651527, -15.4320065 12.651783, -15.4318669 12.6520631, -15.4317623 12.6524269, -15.4316711 12.6526467, -15.4316336 12.6527749, -15.4315616 12.652946, -15.4314711 12.6531343)",
295229336,False,,,residential,True,120.925,"LINESTRING (-15.4268919 12.6516927, -15.4279344 12.6520774)",
176208757,False,,,unclassified,False,84.628,"LINESTRING (-15.4268919 12.6516927, -15.426674 12.6522658, -15.4266257 12.652408)",
340911362,False,,,residential,True,125.682,"LINESTRING (-15.4268919 12.6516927, -15.4263951 12.6515268, -15.4258051 12.6513022)",
