osmid,oneway,lanes,highway,reversed,length,ref,maxspeed,geometry,name
301427816,False,2,tertiary,False,218.291,,,"LINESTRING (-14.3326588 12.8928917, -14.3335522 12.8946511)",
680261839,False,2,primary,False,204.693,N 6,90,"LINESTRING (-14.3326588 12.8928917, -14.3344731 12.8923809)",
"[554828024, 680261839]",False,2,"['primary', 'unclassified']",True,224.95599999999996,N 6,90,"LINESTRING (-14.3326588 12.8928917, -14.332501 12.8929396, -14.3324399 12.8927389, -14.3324341 12.8925069, -14.332347 12.8923258, -14.3322193 12.8918617, -14.3321496 12.8916071, -14.3320161 12.8911487)",
301427816,False,2,tertiary,True,218.291,,,"LINESTRING (-14.3335522 12.8946511, -14.3326588 12.8928917)",
301425260,False,,unclassified,False,359.493,,,"LINESTRING (-14.3335522 12.8946511, -14.3338536 12.8944959, -14.3341936 12.8943558, -14.3348828 12.8941055, -14.3352017 12.8939631, -14.3355436 12.8938177, -14.3362043 12.8935284, -14.3365928 12.8933651)",
301425260,False,,unclassified,True,93.386,,,"LINESTRING (-14.3373891 12.8930447, -14.336982 12.8932018, -14.3365928 12.8933651)",
744571122,False,,residential,False,152.63299999999998,,,"LINESTRING (-14.3373891 12.8930447, -14.3374881 12.8938889, -14.3374801 12.8942445, -14.3374023 12.8943936)",Rue residentielle
754283778,False,,residential,False,167.976,,,"LINESTRING (-14.3365928 12.8933651, -14.3362205 12.8918987)",Rue residentielle
301425260,False,,unclassified,False,93.386,,,"LINESTRING (-14.3365928 12.8933651, -14.336982 12.8932018, -14.3373891 12.8930447)",
301425260,False,,unclassified,True,359.49300000000005,,,"LINESTRING (-14.3365928 12.8933651, -14.3362043 12.8935284, -14.3355436 12.8938177, -14.3352017 12.8939631, -14.3348828 12.8941055, -14.3341936 12.8943558, -14.3338536 12.8944959, -14.3335522 12.8946511)",
744571118,False,,residential,True,219.838,,,"LINESTRING (-14.3320161 12.8911487, -14.3340173 12.8908274)",
"[554828024, 680261839]",False,2,"['unclassified', 'primary']",False,224.95599999999996,N 6,90,"LINESTRING (-14.3320161 12.8911487, -14.3321496 12.8916071, -14.3322193 12.8918617, -14.332347 12.8923258, -14.3324341 12.8925069, -14.3324399 12.8927389, -14.332501 12.8929396, -14.3326588 12.8928917)",
554828024,False,,unclassified,True,155.346,,,"LINESTRING (-14.3320161 12.8911487, -14.3319232 12.8907412, -14.3318303 12.8904922, -14.3317781 12.8902262, -14.3316383 12.8898038)",
744571107,False,,residential,True,120.183,,,"LINESTRING (-14.3355837 12.8877521, -14.3357903 12.888814)",Rue residentielle
744571116,False,,residential,False,117.06,,,"LINESTRING (-14.3355837 12.8877521, -14.334535 12.8880035)",Rue residentielle
744571116,False,,residential,True,175.15,,,"LINESTRING (-14.3355837 12.8877521, -14.3371528 12.8873759)",Rue residentielle
744571112,False,,residential,True,120.797,,,"LINESTRING (-14.3365398 12.8886279, -14.3368497 12.8896714)",Rue residentielle
744571115,False,,residential,False,83.835,,,"LINESTRING (-14.3365398 12.8886279, -14.3357903 12.888814)",Rue residentielle
744571115,False,,residential,True,106.979,,,"LINESTRING (-14.3365398 12.8886279, -14.3374962 12.8883904)",Rue residentielle
680261839,False,2,primary,True,7.137,N 6,90,"LINESTRING (-14.3362841 12.8918821, -14.3362205 12.8918987)",
744571110,False,,residential,False,143.219,,,"LINESTRING (-14.3362841 12.8918821, -14.336058 12.8906131)",Rue residentielle
680261839,False,2,primary,False,104.479,N 6,90,"LINESTRING (-14.3362841 12.8918821, -14.3366995 12.8917737, -14.3372119 12.8916276)",
744571110,False,,residential,True,143.219,,,"LINESTRING (-14.336058 12.8906131, -14.3362841 12.8918821)",Rue residentielle
744571111,False,,residential,False,85.304,,,"LINESTRING (-14.336058 12.8906131, -14.3359834 12.8898494)",Rue residentielle
744571114,False,,residential,False,222.477,,,"LINESTRING (-14.336058 12.8906131, -14.3340173 12.8908274)",
744571114,False,,residential,True,102.644,,,"LINESTRING (-14.336058 12.8906131, -14.337 12.8905187)",
744571112,False,,residential,False,120.797,,,"LINESTRING (-14.3368497 12.8896714, -14.3365398 12.8886279)",Rue residentielle
744571112,False,,residential,True,95.614,,,"LINESTRING (-14.3368497 12.8896714, -14.337 12.8905187)",Rue residentielle
744571125,False,,residential,False,95.964,,,"LINESTRING (-14.3368497 12.8896714, -14.3359834 12.8898494)",Rue residentielle
744571125,False,,residential,True,104.406,,,"LINESTRING (-14.3368497 12.8896714, -14.3377922 12.8894777)",Rue residentielle
744571112,False,,residential,False,125.425,,,"LINESTRING (-14.3372119 12.8916276, -14.337 12.8905187)",Rue residentielle
680261839,False,2,primary,False,131.079,N 6,90,"LINESTRING (-14.3372119 12.8916276, -14.3378824 12.8914365, -14.3383712 12.8912922)",
680261839,False,2,primary,True,104.479,N 6,90,"LINESTRING (-14.3372119 12.8916276, -14.3366995 12.8917737, -14.3362841 12.8918821)",
744571113,False,,residential,False,125.087,,,"LINESTRING (-14.3377922 12.8894777, -14.3374962 12.8883904)",Rue residentielle
744571113,False,,residential,True,109.265,,,"LINESTRING (-14.3377922 12.8894777, -14.3381026 12.8904126)",Rue residentielle
744571125,False,,residential,False,104.406,,,"LINESTRING (-14.3377922 12.8894777, -14.3368497 12.8896714)",Rue residentielle
