osmid,highway,maxspeed,oneway,reversed,length,lanes,name,geometry,width
37164270,residential,20,False,False,112.795,,,"LINESTRING (35.2580988 32.2249864, 35.2574397 32.224139)",
589216600,secondary,60,True,False,169.731,2,شارع المطحنة,"LINESTRING (35.2580988 32.2249864, 35.2583758 32.2248593, 35.2589113 32.2245963, 35.2593547 32.22437, 35.2595434 32.2242737, 35.2596103 32.224231, 35.2596486 32.2242065)",
265619999,secondary,,False,True,187.44699999999997,,شارع الشويترة,"LINESTRING (35.2547484 32.2233438, 35.2544155 32.2236144, 35.2541499 32.2238057, 35.2538942 32.2239555, 35.2535402 32.2240221, 35.2532845 32.2241053, 35.2530541 32.2241425)",
627704291,secondary,50,True,False,162.891,1,شارع الشويترة,"LINESTRING (35.2547484 32.2233438, 35.2550902 32.2231409, 35.2560907 32.2224202)",
37153251,residential,20,False,True,52.871,,,"LINESTRING (35.260087 32.2217071, 35.2596044 32.2219508)",
37164801,residential,20,False,False,84.811,,,"LINESTRING (35.260087 32.2217071, 35.2605243 32.2223741)",
37164801,residential,20,False,True,11.389,,,"LINESTRING (35.260087 32.2217071, 35.2600275 32.2216179)",
37152341,residential,20,False,False,46.454,,,"LINESTRING (35.2552507 32.2247837, 35.2549681 32.2244411)",
37152579,residential,20,False,False,210.71699999999998,,,"LINESTRING (35.2552507 32.2247837, 35.2558445 32.2244568, 35.2559426 32.2244027, 35.2571121 32.2237296)",
583700669,residential,,True,False,10.74,1,,"LINESTRING (35.2609203 32.2240251, 35.2608583 32.2241062)",
"[783299970, 783299971]",residential,20,False,True,144.866,,"['طلعة الجندول', 'خلف مستشفى الوطني']","LINESTRING (35.2609203 32.2240251, 35.2614967 32.2244667, 35.2615348 32.224483, 35.2615671 32.2244903, 35.2616004 32.2244928, 35.2616337 32.2244903, 35.261666 32.2244829, 35.2616963 32.2244709, 35.2617236 32.2244546, 35.2617541 32.2244266, 35.2619216 32.2242015, 35.2619423 32.2241744, 35.2619703 32.2241578, 35.2620161 32.2241505, 35.2620555 32.2241591)",3
627704291,secondary,50,True,False,150.601,1,شارع الشويترة,"LINESTRING (35.2560907 32.2224202, 35.257261 32.221496)",
