osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,junction
41316076,False,2,Khaled Bin Al-Walid,tertiary,40,8,True,35.263,"LINESTRING (34.3209684 31.3367275, 34.3206576 31.336901)",
"[307235529, 41313789]",False,2,,residential,40,,"[False, True]",288.99699999999996,"LINESTRING (34.3209684 31.3367275, 34.3214581 31.3372026, 34.321722 31.3374867, 34.3219198 31.3378019, 34.322124 31.3381056, 34.3223745 31.33807, 34.3225164 31.338398, 34.3228079 31.338613)",
41316076,False,2,Khaled Bin Al-Walid,tertiary,40,8,False,201.14100000000002,"LINESTRING (34.3209684 31.3367275, 34.3213855 31.3364792, 34.3216324 31.3363437, 34.3218951 31.3362065, 34.3226381 31.3358245, 34.32275 31.3357515)",
41316076,False,2,Khaled Bin Al-Walid,tertiary,40,8,True,55.634,"LINESTRING (34.3179447 31.338564, 34.3174522 31.3388349)",
"[41313984, 41318636]",False,2,,residential,40,,"[False, True]",516.9449999999999,"LINESTRING (34.3179447 31.338564, 34.3179678 31.3386014, 34.3184504 31.3393819, 34.3187425 31.3394867, 34.31919 31.33986, 34.3192126 31.3398788, 34.3194864 31.3400234, 34.3201492 31.3403205, 34.3207294 31.3405937, 34.3214424 31.3409747, 34.3216435 31.3410846, 34.3220564 31.3411128, 34.3221816 31.341197)",
41316076,False,2,Khaled Bin Al-Walid,tertiary,40,8,False,318.58599999999996,"LINESTRING (34.3179447 31.338564, 34.3181381 31.3384125, 34.318246 31.3383982, 34.3185461 31.338213, 34.3185972 31.3381815, 34.3189262 31.3379782, 34.3192453 31.3378035, 34.3192789 31.3377779, 34.3199284 31.3373592, 34.3199885 31.3373223, 34.3203428 31.3371046, 34.3204468 31.337041, 34.3205799 31.3369597, 34.3206576 31.336901)",
41318751,False,1,يافا,residential,40,4,False,110.834,"LINESTRING (34.3258351 31.3443124, 34.3248631 31.3437607)",
306864082,False,1,Al-Haj Abed,residential,40,4,True,144.452,"LINESTRING (34.3258351 31.3443124, 34.3263278 31.34395, 34.3267641 31.343688, 34.3269517 31.3434484)",
41316628,False,2,,residential,40,,False,27.917,"LINESTRING (34.3269103 31.3368751, 34.3272037 31.3368903)",
41316628,False,2,,residential,40,,True,25.683,"LINESTRING (34.3269103 31.3368751, 34.32664 31.3368681)",
41317315,False,4,,tertiary,50,10,False,27.702,"LINESTRING (34.3233167 31.3439485, 34.3231755 31.3439797, 34.3230343 31.3440109)",
41317315,False,4,,tertiary,50,10,True,90.80199999999999,"LINESTRING (34.3233167 31.3439485, 34.3234191 31.343826, 34.3239434 31.3433329)",
41318867,False,2,,residential,40,8,True,142.244,"LINESTRING (34.3233167 31.3439485, 34.3234511 31.3439786, 34.3235911 31.3440054, 34.3237566 31.3440045, 34.3241857 31.3439763, 34.3247997 31.3439057)",
41316076,False,2,Khaled Bin Al-Walid,tertiary,40,8,False,55.634,"LINESTRING (34.3174522 31.3388349, 34.3179447 31.338564)",
41314665,False,1,الشهداء,residential,40,4,True,154.794,"LINESTRING (34.317857 31.3425644, 34.3184159 31.3438721)",
41314031,False,1,,residential,40,4,True,302.11400000000003,"LINESTRING (34.322417 31.3407495, 34.3227547 31.3409665, 34.3232333 31.3413372, 34.323421 31.3414826, 34.3236786 31.3416821, 34.3239891 31.3419247, 34.3243189 31.3422853, 34.3245546 31.3427142)",
41318157,False,2,Al-Rawda,residential,40,6,False,161.687,"LINESTRING (34.322417 31.3407495, 34.3224006 31.3404411, 34.322387 31.340186, 34.3224724 31.339776, 34.3226699 31.3393335)",
41318157,False,2,Al-Rawda,residential,40,6,True,54.768,"LINESTRING (34.322417 31.3407495, 34.3223635 31.340901, 34.3221816 31.341197)",
41314142,False,2,جمال عبد الناصر,residential,50,8,True,35.272,"LINESTRING (34.3273361 31.3421017, 34.3272546 31.3421332, 34.3270047 31.3422447)",
41313892,False,2,Abu Ali Eyad,residential,40,8,True,226.297,"LINESTRING (34.3258577 31.3404817, 34.3254362 31.3399529, 34.3252185 31.3397142, 34.3249863 31.3394822, 34.3245501 31.3390587, 34.3245287 31.3390386, 34.3243741 31.3388932)",
41318070,False,2,Izz Al Deen Al Qassam,residential,40,,False,386.16999999999996,"LINESTRING (34.3258577 31.3404817, 34.3260388 31.3397282, 34.3266226 31.337953, 34.3266232 31.3379511, 34.3266654 31.3375768, 34.3266428 31.3370954)",
41318070,False,2,Izz Al Deen Al Qassam,residential,40,,True,135.901,"LINESTRING (34.3258577 31.3404817, 34.3258417 31.3409624, 34.325843 31.3410302, 34.3258555 31.3417036)",
306864082,False,1,Al-Haj Abed,residential,40,4,False,4.215,"LINESTRING (34.3270231 31.343061, 34.3270237 31.3430989)",
41318751,False,1,يافا,residential,40,4,True,110.834,"LINESTRING (34.3248631 31.3437607, 34.3258351 31.3443124)",
123783734,False,2,الفجم,secondary,40,8,False,17.211,"LINESTRING (34.3248631 31.3437607, 34.3247997 31.3439057)",
123783734,False,2,الفجم,secondary,40,8,True,97.75900000000001,"LINESTRING (34.3248631 31.3437607, 34.3249044 31.3435923, 34.3249692 31.3434223, 34.325021 31.3433059, 34.3250826 31.3431895, 34.3251611 31.3430332, 34.3252189 31.3429394)",
306864082,False,1,Al-Haj Abed,residential,40,4,True,39.46,"LINESTRING (34.3269517 31.3434484, 34.3270237 31.3430989)",
306864082,False,1,Al-Haj Abed,residential,40,4,False,144.452,"LINESTRING (34.3269517 31.3434484, 34.3267641 31.343688, 34.3263278 31.34395, 34.3258351 31.3443124)",
41315938,False,1,,residential,40,,True,72.96,"LINESTRING (34.3239434 31.3433329, 34.3233436 31.3429229)",
41317315,False,4,,tertiary,50,10,False,90.80199999999999,"LINESTRING (34.3239434 31.3433329, 34.3234191 31.343826, 34.3233167 31.3439485)",
41317315,False,4,,tertiary,50,10,True,94.66199999999999,"LINESTRING (34.3239434 31.3433329, 34.3240155 31.3433216, 34.3241192 31.3432851, 34.3242546 31.3431957, 34.3243312 31.3431293, 34.3245201 31.3429462, 34.3245942 31.3428518, 34.3246308 31.3427612)",
41318070,False,2,Izz Al Deen Al Qassam,residential,40,,False,25.276,"LINESTRING (34.3266428 31.3370954, 34.32664 31.3368681)",
41318070,False,2,Izz Al Deen Al Qassam,residential,40,,True,386.17,"LINESTRING (34.3266428 31.3370954, 34.3266654 31.3375768, 34.3266232 31.3379511, 34.3266226 31.337953, 34.3260388 31.3397282, 34.3258577 31.3404817)",
198539263,True,4,,secondary,50,18,False,13.485,"LINESTRING (34.3268813 31.3430547, 34.3270231 31.343061)",
1229554387,False,4,,secondary,50,18,True,107.102,"LINESTRING (34.3268813 31.3430547, 34.3263896 31.343005, 34.3262288 31.3429946, 34.3260464 31.3429536, 34.3258654 31.3428968, 34.3257818 31.3428685)",
41312775,False,2,,residential,40,,False,51.442,"LINESTRING (34.327274 31.3426461, 34.3270047 31.3422447)",
41316628,False,2,,residential,40,,False,25.683,"LINESTRING (34.32664 31.3368681, 34.3269103 31.3368751)",
41318070,False,2,Izz Al Deen Al Qassam,residential,40,,True,25.276,"LINESTRING (34.32664 31.3368681, 34.3266428 31.3370954)",
"[1230212560, 41317201]",False,2,,residential,40,6,"[False, True]",209.41099999999997,"LINESTRING (34.3221816 31.341197, 34.3222493 31.3414363, 34.3226519 31.3419443, 34.3228975 31.3422046, 34.3229403 31.3422723, 34.3229504 31.3423096, 34.3229332 31.3424432, 34.322916 31.3425885, 34.3228953 31.3427827, 34.3228798 31.3428805)",
41318157,False,2,Al-Rawda,residential,40,6,False,54.768,"LINESTRING (34.3221816 31.341197, 34.3223635 31.340901, 34.322417 31.3407495)",
