osmid,highway,oneway,reversed,length,geometry,width,ref,name,maxspeed
37155426,residential,False,False,71.90899999999999,"LINESTRING (35.0304298 31.596785, 35.0306333 31.5967026, 35.0306383 31.5967007, 35.0306709 31.5966832, 35.0306996 31.5966597, 35.0307231 31.5966311, 35.0307354 31.5966098, 35.0308752 31.5963077)",,,,
37158693,residential,False,False,82.141,"LINESTRING (35.0304298 31.596785, 35.0305412 31.5969699, 35.0306051 31.5972664, 35.0306085 31.5973032, 35.0306048 31.5973418, 35.0305938 31.597379, 35.0305761 31.5974135, 35.0305521 31.597444, 35.0305174 31.5974725)",,,,
37158693,residential,False,True,52.909,"LINESTRING (35.0304298 31.596785, 35.0303414 31.5966383, 35.0301463 31.5963755)",,,,
37163640,residential,False,True,43.61,"LINESTRING (35.0304298 31.596785, 35.0301056 31.5968671, 35.0300722 31.5968728, 35.0300318 31.5968728, 35.0299843 31.5968685)",,,,
37153353,unclassified,False,True,12.142,"LINESTRING (35.0299113 31.5932458, 35.0299004 31.593137)",3,,,
37153353,unclassified,False,False,86.607,"LINESTRING (35.0299113 31.5932458, 35.0299157 31.5932835, 35.0299619 31.59354, 35.0300079 31.5938863, 35.0299999 31.5940191)",3,,,
37159629,residential,False,False,38.07,"LINESTRING (35.0299113 31.5932458, 35.0299873 31.5932423, 35.0300888 31.5932135, 35.030148 31.59321, 35.0302157 31.5931847, 35.030296 31.5931595)",,,,
37154282,residential,False,True,11.19,"LINESTRING (35.0309455 31.5937498, 35.0308487 31.5936921)",,,,
37160554,residential,False,False,33.2,"LINESTRING (35.0309455 31.5937498, 35.031221 31.5935652)",,,,
37154282,residential,False,False,95.87700000000001,"LINESTRING (35.0309455 31.5937498, 35.031154 31.5938516, 35.0315115 31.5937423, 35.0318643 31.5938881)",,,,
