osmid,oneway,lanes,highway,maxspeed,reversed,length,width,geometry,name,junction
41314460,False,2,residential,40,False,112.794,,"LINESTRING (34.2544572 31.2720479, 34.2536373 31.2727813)",,
41314844,False,2,residential,40,True,58.708,8,"LINESTRING (34.2544572 31.2720479, 34.2549052 31.2724114)",,
"[41316577, 41314844]",False,2,residential,40,False,53.386,"['16', '8']","LINESTRING (34.2544572 31.2720479, 34.2541046 31.2717687, 34.2540572 31.2717125)",,
41314844,False,2,residential,40,False,51.964,8,"LINESTRING (34.255715 31.2730746, 34.2553356 31.2727381)",,
41314844,False,2,residential,40,True,128.286,8,"LINESTRING (34.255715 31.2730746, 34.2567499 31.2738153)",,
41319099,False,4,tertiary,50,False,94.816,16,"LINESTRING (34.255715 31.2730746, 34.2563882 31.2724453)",شارع العروبة,
41319099,False,4,tertiary,50,True,21.782,16,"LINESTRING (34.255715 31.2730746, 34.2555609 31.2732196)",شارع العروبة,
41316539,False,2,residential,40,True,48.572,12,"LINESTRING (34.2542811 31.2708317, 34.2546682 31.2711169)",,
41317421,False,2,residential,40,False,10.007,,"LINESTRING (34.2542811 31.2708317, 34.2542003 31.270774)",,
41316539,False,2,residential,40,True,53.622,12,"LINESTRING (34.2559618 31.2721295, 34.2563882 31.2724453)",,
41317899,False,2,residential,40,True,90.12,,"LINESTRING (34.2559618 31.2721295, 34.2553356 31.2727381)",,
41316539,False,2,residential,40,False,55.539,12,"LINESTRING (34.2559618 31.2721295, 34.2558792 31.2721275, 34.2555047 31.2718421)",,
41317648,False,2,secondary,40,False,44.841,12,"LINESTRING (34.2599867 31.2732868, 34.2596163 31.273037)",شارع صدام,
41317648,False,2,secondary,40,True,90.545,12,"LINESTRING (34.2599867 31.2732868, 34.2603736 31.2735558, 34.2607189 31.2738077)",شارع صدام,
41316792,False,2,residential,40,True,10.614,6,"LINESTRING (34.2528091 31.2776377, 34.2527489 31.2775573)",,
41319031,False,2,residential,40,True,107.036,,"LINESTRING (34.2528091 31.2776377, 34.2521028 31.2783875)",,
41316792,False,2,residential,40,False,52.708,6,"LINESTRING (34.2528091 31.2776377, 34.2530434 31.2778466, 34.2531826 31.2779878)",,
41316539,False,2,residential,40,False,53.622,12,"LINESTRING (34.2563882 31.2724453, 34.2559618 31.2721295)",,
41319099,False,4,tertiary,50,False,45.217,16,"LINESTRING (34.2563882 31.2724453, 34.2566783 31.272123)",شارع العروبة,
41319099,False,4,tertiary,50,True,94.816,16,"LINESTRING (34.2563882 31.2724453, 34.255715 31.2730746)",شارع العروبة,
41319319,False,2,residential,40,True,181.808,,"LINESTRING (34.2563882 31.2724453, 34.2578388 31.2735112)",,
41316426,False,2,residential,40,False,8.308,,"LINESTRING (34.2576407 31.2741755, 34.2577076 31.2742236)",,
