osmid,highway,oneway,reversed,length,geometry,maxspeed,name
37177037,residential,False,True,66.148,"LINESTRING (35.0755292 32.352354, 35.0757629 32.3522501, 35.0760748 32.352183, 35.0761856 32.3521481)",,
275230986,tertiary,False,False,42.747,"LINESTRING (35.0755292 32.352354, 35.0754207 32.3522213, 35.0752795 32.3520327)",40,
275230986,tertiary,False,True,60.37899999999999,"LINESTRING (35.0755292 32.352354, 35.0755318 32.3523572, 35.0756274 32.3524743, 35.0757789 32.352682, 35.075803 32.352722, 35.0758623 32.3528177)",40,
37175835,residential,False,False,25.501,"LINESTRING (35.0767317 32.3548623, 35.0766829 32.3550879)",,
37174945,residential,False,True,61.292,"LINESTRING (35.0767317 32.3548623, 35.0770186 32.3549114, 35.0773781 32.3548994)",,
37177106,residential,False,False,60.899,"LINESTRING (35.0767317 32.3548623, 35.0766848 32.3548543, 35.0763288 32.3547931, 35.0762886 32.3547811, 35.0762464 32.3547611, 35.0762101 32.3547363, 35.0761371 32.3546792)",,
37174543,residential,False,False,25.696,"LINESTRING (35.0716354 32.3508311, 35.0716244 32.3506002)",,
37175108,residential,False,False,128.381,"LINESTRING (35.0716354 32.3508311, 35.071832 32.3508643, 35.0719769 32.3509229, 35.0720571 32.3509764, 35.0720378 32.3510742, 35.0720259 32.3511841, 35.0720221 32.3513305, 35.072053 32.3514275, 35.0721832 32.351468, 35.0724051 32.35144)",,
37175346,tertiary,False,True,37.22,"LINESTRING (35.0786237 32.3523622, 35.0790199 32.3523577)",,
37174908,residential,False,True,51.75299999999999,"LINESTRING (35.0786237 32.3523622, 35.0785257 32.3521295, 35.0784345 32.3519895, 35.0784229 32.3519619, 35.0784125 32.3519339)",,
228873647,tertiary,False,False,95.16,"LINESTRING (35.0786237 32.3523622, 35.0778757 32.3524786, 35.0776295 32.3525258)",,
37174742,residential,False,True,125.969,"LINESTRING (35.077102 32.3496797, 35.076748 32.3496831, 35.0767148 32.3496767, 35.0762082 32.3494758, 35.0758385 32.3493625)",,
