osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,width
41305397,False,2,residential,40,True,98.98400000000001,"LINESTRING (34.414956 31.4680555, 34.4147345 31.4683854, 34.414438 31.4688283)",,,
41308382,False,2,residential,40,True,148.496,"LINESTRING (34.4142725 31.4674467, 34.4134765 31.4685967)",,,
41306421,False,2,tertiary,60,False,69.201,"LINESTRING (34.4132601 31.4685272, 34.4125777 31.4683069)",9,Sharia Omar Bin Al-Khattab,8
41306421,False,2,tertiary,60,True,21.93,"LINESTRING (34.4132601 31.4685272, 34.4134765 31.4685967)",9,Sharia Omar Bin Al-Khattab,8
"[41307314, 41306566]",False,2,residential,40,False,166.21800000000002,"LINESTRING (34.4129101 31.4657719, 34.4125148 31.4662164, 34.4120735 31.4659355, 34.4116313 31.4656597)",,,6
41307402,False,2,residential,40,True,271.424,"LINESTRING (34.4112788 31.4704802, 34.4115845 31.4698463, 34.412086 31.468823, 34.412347 31.4682161)",,,
41307909,False,2,residential,40,False,76.792,"LINESTRING (34.4116313 31.4656597, 34.4111398 31.4662085)",,,6
"[41307314, 41306566]",False,2,residential,40,True,166.21800000000002,"LINESTRING (34.4116313 31.4656597, 34.4120735 31.4659355, 34.4125148 31.4662164, 34.4129101 31.4657719)",,,6
41307909,False,2,residential,40,True,339.01,"LINESTRING (34.4116313 31.4656597, 34.4118409 31.4653849, 34.4123024 31.4648839, 34.4124651 31.4647263, 34.4127988 31.464403, 34.4130663 31.4641066, 34.4135748 31.4636396, 34.4139227 31.4633261)",,,6
41306421,False,2,tertiary,60,False,52.388,"LINESTRING (34.4142007 31.4687769, 34.4136678 31.4686529)",9,Sharia Omar Bin Al-Khattab,8
41306421,False,2,tertiary,60,True,23.22,"LINESTRING (34.4142007 31.4687769, 34.414438 31.4688283)",9,Sharia Omar Bin Al-Khattab,8
"[41304842, 41307844]",False,2,residential,40,True,371.025,"LINESTRING (34.4119293 31.4716413, 34.4125026 31.4705858, 34.4129781 31.4698052, 34.4136678 31.4686529)",,,6
