osmid,highway,width,oneway,reversed,length,geometry,lanes,name,maxspeed
37154902,residential,3,False,True,39.315,"LINESTRING (35.1546444 31.6191545, 35.1546365 31.6193697, 35.1546195 31.6195072)",,,
343057019,tertiary,,False,True,10.506,"LINESTRING (35.1585268 31.622577, 35.1586374 31.6225846)",2,شارع رئيسي,40
37161989,residential,3,False,False,100.565,"LINESTRING (35.1585268 31.622577, 35.158509 31.6227889, 35.1585265 31.6231674, 35.1588936 31.6231865)",,,
343057019,tertiary,,False,False,88.613,"LINESTRING (35.1585268 31.622577, 35.1584103 31.6225871, 35.1581228 31.6227175, 35.157761 31.6230027)",2,شارع رئيسي,40
37153697,residential,,False,False,98.506,"LINESTRING (35.1540525 31.6200874, 35.1534397 31.6196865, 35.1532286 31.6195465)",,,
37162954,residential,3,False,False,91.005,"LINESTRING (35.1540525 31.6200874, 35.1539997 31.6202294, 35.1538681 31.6203455, 35.1538496 31.620539, 35.1540155 31.6208194)",,,
"[37162954, 37162404]",residential,3,False,True,99.322,"LINESTRING (35.1540525 31.6200874, 35.1542373 31.6196576, 35.1543214 31.6194987, 35.1544673 31.6194723, 35.1546195 31.6195072)",,,
37162257,residential,,False,True,88.68599999999999,"LINESTRING (35.1549424 31.6228094, 35.1549911 31.6227413, 35.1550575 31.6226845, 35.1551327 31.6226164, 35.1551327 31.6225445, 35.155093 31.6224726, 35.1550355 31.6224196, 35.1549603 31.6223969, 35.1548719 31.622393, 35.154664 31.6223816)",,,
37157950,tertiary,3,False,True,37.983000000000004,"LINESTRING (35.1503461 31.6263291, 35.1504566 31.6261949, 35.1505563 31.6260388)",,شارع عروض الجمالة,
"[392811240, 37153406]",residential,3,False,"[False, True]",380.1139999999999,"LINESTRING (35.1551319 31.621762, 35.155331 31.6217756, 35.1554398 31.6217716, 35.1555939 31.6217349, 35.1557141 31.6217189, 35.1557871 31.6217489, 35.1560162 31.6218607, 35.1562731 31.6218607, 35.1564067 31.6219202, 35.1569328 31.6221477, 35.1572041 31.6221862, 35.1575288 31.6221302, 35.1577219 31.6220462, 35.1579439 31.6218117, 35.1580754 31.6215387, 35.158604 31.6216907)",,,
392811794,residential,3,False,False,72.794,"LINESTRING (35.1551319 31.621762, 35.1547347 31.621986, 35.1546167 31.6222138)",,شارع الطيبة,
37160322,residential,3,False,False,81.517,"LINESTRING (35.1515004 31.6261486, 35.1519407 31.6259888, 35.1520747 31.6256839)",,,
37160322,residential,3,False,True,45.242000000000004,"LINESTRING (35.1515004 31.6261486, 35.1512464 31.6259469, 35.1511927 31.6258456)",,,
37161090,residential,3,False,False,27.279000000000003,"LINESTRING (35.1515004 31.6261486, 35.1514983 31.6262384, 35.1515115 31.6263935)",,,
37159302,residential,,False,True,61.614000000000004,"LINESTRING (35.1497964 31.6255092, 35.1498893 31.6255092, 35.1499734 31.625513, 35.1500662 31.6255169, 35.1501768 31.6255321, 35.1503872 31.6256744)",,,
37155242,residential,2,False,False,73.419,"LINESTRING (35.1533825 31.6239791, 35.1532011 31.623979, 35.1528827 31.6239826, 35.1526305 31.6240772)",,,
37162768,residential,2,False,False,98.03699999999999,"LINESTRING (35.1533825 31.6239791, 35.1535195 31.6240675, 35.1535246 31.6243306, 35.1532617 31.624577, 35.1531848 31.6246999)",,,
37162768,residential,2,False,True,139.378,"LINESTRING (35.1533825 31.6239791, 35.1534357 31.6236877, 35.1534632 31.623322, 35.1534278 31.623275, 35.1532265 31.6231495, 35.1532157 31.6231216, 35.15333 31.6228437)",,,
37156830,residential,3,False,False,45.588,"LINESTRING (35.1533314 31.6218612, 35.1533172 31.6214514)",,شارع الهلال,
