osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,lanes,junction,bridge
14962430,False,Kocljeva ulica,residential,False,79.838,"LINESTRING (16.1635787 46.661209, 16.1635156 46.6610492, 16.1634708 46.6605632, 16.1634679 46.6605318, 16.1634771 46.6604984)",,,,,
"[32992146, 1169662900, 16594317]",True,"['Trg Zmage', 'Kardoševa ulica']",residential,False,254.94800000000004,"LINESTRING (16.1635787 46.661209, 16.1635902 46.6612548, 16.1635941 46.6613051, 16.1635993 46.66151, 16.1636029 46.6615502, 16.1636667 46.6622742, 16.1636713 46.6623434, 16.1636777 46.6624289, 16.1636966 46.6627433, 16.1637335 46.6633037, 16.1637435 46.6634086, 16.163752 46.6634982)",30,,,,
"[890992793, 308214838]",False,Trg zmage,secondary,True,34.618,"LINESTRING (16.1635787 46.661209, 16.1640129 46.6612259, 16.1640316 46.6612266)",,441,,,
424803322,False,Ulica Štefana Kovača,secondary,False,245.21699999999998,"LINESTRING (16.1635787 46.661209, 16.163278 46.661182, 16.1607987 46.6609445, 16.1603968 46.660902)",50,441,,,
32236259,False,Lendavska ulica,secondary,True,85.956,"LINESTRING (16.1689755 46.6644042, 16.1687973 46.6643694, 16.1678971 46.664181)",50,441,,,
161307032,False,Gregorčičeva ulica,tertiary,False,157.786,"LINESTRING (16.1689755 46.6644042, 16.1690097 46.6643042, 16.1691585 46.6639515, 16.1691762 46.6638994, 16.1691907 46.6638605, 16.1692115 46.6636957, 16.1691994 46.66357, 16.1691665 46.6634353, 16.1690436 46.6631333, 16.1689989 46.6630236)",30,,,,
320063579,False,Lendavska ulica,residential,True,19.567,"LINESTRING (16.1689755 46.6644042, 16.1689434 46.664483, 16.1689041 46.6645732)",,,,,
1201532916,False,Lendavska ulica,secondary,True,78.896,"LINESTRING (16.1689755 46.6644042, 16.1691292 46.6644287, 16.1699898 46.6645413)",,441,,,
161113326,False,Gregorčičeva ulica,tertiary,True,259.889,"LINESTRING (16.1688427 46.6615185, 16.1688771 46.6612104, 16.1688967 46.6609764, 16.1689151 46.6607572, 16.168983 46.6599491, 16.1689922 46.6598531, 16.1690465 46.6592851, 16.169053 46.6591858)",30,,2,,
1075258459,True,,tertiary,False,12.482,"LINESTRING (16.1688427 46.6615185, 16.1688742 46.6615245, 16.1689008 46.6615376, 16.1689194 46.661556, 16.1689278 46.6615777, 16.1689249 46.6616001)",,,,roundabout,
