osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,junction
20090280,Brdo,residential,False,True,246.077,"LINESTRING (13.5486558 46.3354527, 13.5477183 46.3350951, 13.5473077 46.3348871, 13.5459619 46.3342584)",,,,
20090474,Kot,residential,False,False,160.43600000000004,"LINESTRING (13.5486558 46.3354527, 13.5489471 46.3355677, 13.5490863 46.3356258, 13.5492156 46.3357129, 13.5492539 46.3357702, 13.5492902 46.3358412, 13.5493159 46.3359838, 13.5493509 46.3361771, 13.54936 46.3362277, 13.5494107 46.3365525, 13.549435 46.3366101, 13.5494778 46.3366618)",,,,
20579906,Brdo,residential,False,True,46.51,"LINESTRING (13.5486558 46.3354527, 13.5486706 46.3354151, 13.5487227 46.3350375)",,,,
20090474,Kot,residential,False,False,81.39699999999999,"LINESTRING (13.5494778 46.3366618, 13.549567 46.3367133, 13.5496133 46.3367377, 13.5498843 46.3368064, 13.5501887 46.3368758, 13.5502987 46.336923, 13.5504018 46.3369953)",,,,
20090474,Kot,residential,False,True,160.436,"LINESTRING (13.5494778 46.3366618, 13.549435 46.3366101, 13.5494107 46.3365525, 13.54936 46.3362277, 13.5493509 46.3361771, 13.5493159 46.3359838, 13.5492902 46.3358412, 13.5492539 46.3357702, 13.5492156 46.3357129, 13.5490863 46.3356258, 13.5489471 46.3355677, 13.5486558 46.3354527)",,,,
"[445087955, 445087956, 327235847]","['Kot', 'Klanc']",residential,False,True,155.218,"LINESTRING (13.5494778 46.3366618, 13.5494407 46.3367035, 13.5492688 46.3370216, 13.5492847 46.3371774, 13.5490165 46.3374148, 13.5489782 46.3374814, 13.5490018 46.3375721, 13.5490568 46.3376462, 13.5491372 46.337696, 13.5493232 46.3377474, 13.5494457 46.3377788)",,,,
20090474,Kot,residential,False,False,11.469,"LINESTRING (13.5504018 46.3369953, 13.5504526 46.3370923)",,,,
20090474,Kot,residential,False,True,81.39699999999999,"LINESTRING (13.5504018 46.3369953, 13.5502987 46.336923, 13.5501887 46.3368758, 13.5498843 46.3368064, 13.5496133 46.3367377, 13.549567 46.3367133, 13.5494778 46.3366618)",,,,
20592926,Kot,residential,False,True,56.415000000000006,"LINESTRING (13.5504018 46.3369953, 13.5504242 46.3369853, 13.5504824 46.3369592, 13.5508161 46.3369245, 13.5511171 46.336934)",,,,
20090474,Kot,residential,False,False,11.0,"LINESTRING (13.5507759 46.3374554, 13.5508519 46.3374974, 13.5508878 46.3375172)",,,,
