osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction
848481014,2,Ljutomerska cesta,tertiary,50,False,True,109.42500000000001,"LINESTRING (16.1512542 46.4086183, 16.1521455 46.4086156, 16.1522387 46.4086153, 16.1523234 46.408615, 16.1526814 46.4086136)",,
1101880238,1,Ljutomerska cesta,tertiary,30,True,False,26.212000000000003,"LINESTRING (16.1512542 46.4086183, 16.1510329 46.4086407, 16.1509154 46.4086496)",,
125239810,2,Lešniška cesta,tertiary,,False,True,4.808,"LINESTRING (16.1449247 46.4105912, 16.1449221 46.4106344)",,
125239810,2,Lešniška cesta,tertiary,,False,False,324.90799999999996,"LINESTRING (16.1449247 46.4105912, 16.1449568 46.410242, 16.1449805 46.4100921, 16.1450158 46.4099512, 16.1451037 46.4096373, 16.1451123 46.4096065, 16.1451213 46.4094929, 16.1451171 46.4093856, 16.1450454 46.4092101, 16.1449268 46.4090074, 16.1448018 46.4088209, 16.1446787 46.4086366, 16.144623 46.4085309, 16.144558 46.4083823, 16.1445088 46.4082356, 16.1444785 46.4080784, 16.1444556 46.4079711, 16.1444537 46.4078696, 16.1444672 46.4078016, 16.1444817 46.4077614)",,
"[127515937, 127515943]",,"['Ulica heroja Megle', 'Ulica Ksaverja Meška']",residential,,False,False,218.869,"LINESTRING (16.1449247 46.4105912, 16.144495 46.4105785, 16.1444655 46.4105743, 16.144442 46.4105646, 16.1444273 46.41055, 16.1444209 46.4105348, 16.1444192 46.4105183, 16.1444065 46.4103547, 16.1444145 46.410142, 16.1444172 46.4101198, 16.1444206 46.410094, 16.1444635 46.4099784, 16.1444702 46.4099474, 16.1444855 46.4094644, 16.1444863 46.4093972, 16.1444843 46.4093695, 16.1444729 46.4093431, 16.1444521 46.4093292, 16.1444132 46.4093205, 16.1443569 46.4093172, 16.1441845 46.4093065, 16.1439034 46.4092906)",,
848481012,2,Ptujska cesta,tertiary,,False,True,15.647,"LINESTRING (16.1444626 46.4075082, 16.1446603 46.4074733)",,
848481012,2,Ptujska cesta,tertiary,,False,False,41.03,"LINESTRING (16.1444626 46.4075082, 16.1442226 46.4075493, 16.1439412 46.4075911)",,
24791628,,Ulica dr. Hrovata,residential,,False,False,95.174,"LINESTRING (16.1439412 46.4075911, 16.143922 46.4075393, 16.1438487 46.4073201, 16.1438286 46.4071293, 16.1438278 46.4070182, 16.1438782 46.4067453)",,
848481012,2,Ptujska cesta,tertiary,,False,True,41.03,"LINESTRING (16.1439412 46.4075911, 16.1442226 46.4075493, 16.1444626 46.4075082)",,
166442685,,ulica dr. Hrovata,residential,,False,True,16.718,"LINESTRING (16.144726 46.4064042, 16.1449432 46.406391)",,
24791628,,Ulica dr. Hrovata,residential,,False,True,94.61000000000001,"LINESTRING (16.144726 46.4064042, 16.1440629 46.4064219, 16.1440239 46.4064254, 16.143984 46.4064316, 16.1439592 46.4064388, 16.1439399 46.4064489, 16.1439257 46.4064603, 16.143917 46.4064742, 16.1439123 46.4064904, 16.1439087 46.4065087, 16.1438889 46.4066689, 16.1438782 46.4067453)",,
"[24823290, 808145861]",2,"['Kerenčičev trg', 'Ptujska cesta']",tertiary,,False,True,187.066,"LINESTRING (16.146979 46.4071892, 16.147196 46.4071696, 16.1474134 46.407155, 16.1476045 46.4071439, 16.1477244 46.4071367, 16.14789 46.4071326, 16.1481625 46.4071374, 16.1485286 46.4071504, 16.1487338 46.4071562, 16.1488844 46.4071626, 16.1490083 46.4071686, 16.1491091 46.4071784, 16.1492158 46.4072035, 16.1493864 46.407262)",,
33822785,,Skolibrova ulica,residential,,False,True,89.689,"LINESTRING (16.146979 46.4071892, 16.1469961 46.4072421, 16.14704 46.407374, 16.147137 46.4076222, 16.1472348 46.4078496, 16.1472842 46.4079676)",,
1112360542,2,Ptujska cesta,tertiary,,False,False,108.14699999999999,"LINESTRING (16.146979 46.4071892, 16.1466301 46.4072071, 16.1463431 46.4072255, 16.1461871 46.4072382, 16.1460722 46.4072476, 16.1459343 46.4072672, 16.1455829 46.4073173)",,
848481013,,Vrazova ulica,residential,,True,False,50.714,"LINESTRING (16.1496828 46.4083951, 16.1495627 46.408273, 16.1495069 46.4081697, 16.1494832 46.4080966, 16.1494627 46.407974)",,
"[33822785, 1112360547]",,Skolibrova ulica,residential,,False,False,217.98100000000002,"LINESTRING (16.1496828 46.4083951, 16.1495942 46.4084171, 16.1495148 46.4084346, 16.1492037 46.4084886, 16.1488735 46.4085334, 16.1487167 46.4085492, 16.1485025 46.4085709, 16.1483426 46.4085728, 16.1481743 46.4085576, 16.1479287 46.4084998, 16.147599 46.4083555, 16.1474819 46.4082724, 16.1474278 46.4082113, 16.1473657 46.4081176, 16.1472842 46.4079676)",,
"[24823290, 808145861]",2,"['Kerenčičev trg', 'Ptujska cesta']",tertiary,,False,False,187.066,"LINESTRING (16.1493864 46.407262, 16.1492158 46.4072035, 16.1491091 46.4071784, 16.1490083 46.4071686, 16.1488844 46.4071626, 16.1487338 46.4071562, 16.1485286 46.4071504, 16.1481625 46.4071374, 16.14789 46.4071326, 16.1477244 46.4071367, 16.1476045 46.4071439, 16.1474134 46.407155, 16.147196 46.4071696, 16.146979 46.4071892)",,
"[457209524, 457209525, 1112360543]",2,"['Kerenčičev trg', 'Ptujska cesta']",tertiary,,False,True,76.045,"LINESTRING (16.1493864 46.407262, 16.1494645 46.4072884, 16.1495476 46.4073074, 16.1496005 46.4073163, 16.1497192 46.407316, 16.1499701 46.4073194, 16.1501777 46.4073228, 16.1503632 46.4073209)",building_passage,
848481012,2,Ptujska cesta,tertiary,,False,False,15.647,"LINESTRING (16.1446603 46.4074733, 16.1444626 46.4075082)",,
1112360542,2,Ptujska cesta,tertiary,,False,True,30.372,"LINESTRING (16.1446603 46.4074733, 16.1450441 46.4074057)",,
33822847,1,Lešniška cesta,tertiary,,True,False,35.924,"LINESTRING (16.1446603 46.4074733, 16.144663 46.4075384, 16.1446467 46.4075826, 16.1445597 46.407689, 16.1444817 46.4077614)",,
33822849,1,Lešniška cesta,tertiary,,True,False,28.258,"LINESTRING (16.1444817 46.4077614, 16.1444865 46.4076708, 16.1444739 46.4075672, 16.1444626 46.4075082)",,
95505351,,Cvetlična ulica,residential,,False,True,8.222999999999999,"LINESTRING (16.1444817 46.4077614, 16.1444328 46.4077699, 16.1443819 46.4077873)",,
125239810,2,Lešniška cesta,tertiary,,False,True,324.90799999999996,"LINESTRING (16.1444817 46.4077614, 16.1444672 46.4078016, 16.1444537 46.4078696, 16.1444556 46.4079711, 16.1444785 46.4080784, 16.1445088 46.4082356, 16.144558 46.4083823, 16.144623 46.4085309, 16.1446787 46.4086366, 16.1448018 46.4088209, 16.1449268 46.4090074, 16.1450454 46.4092101, 16.1451171 46.4093856, 16.1451213 46.4094929, 16.1451123 46.4096065, 16.1451037 46.4096373, 16.1450158 46.4099512, 16.1449805 46.4100921, 16.1449568 46.410242, 16.1449247 46.4105912)",,
125239810,2,Lešniška cesta,tertiary,,False,False,4.808,"LINESTRING (16.1449221 46.4106344, 16.1449247 46.4105912)",,
33915750,,Dobravska ulica,residential,,False,False,425.1259999999999,"LINESTRING (16.1449221 46.4106344, 16.1450839 46.4106455, 16.1452135 46.4106463, 16.1452688 46.4106303, 16.1453281 46.4106025, 16.1454365 46.4105369, 16.1455285 46.4104533, 16.1455965 46.4103644, 16.1456417 46.4103039, 16.145729 46.4101437, 16.1458158 46.4099958, 16.1458594 46.4099361, 16.1458931 46.4099113, 16.1459373 46.4098966, 16.1459903 46.4098873, 16.1460415 46.4098853, 16.1471175 46.4099253, 16.1475883 46.4099418, 16.1478934 46.409958, 16.1480373 46.4099599, 16.1481904 46.4099576, 16.1486913 46.4099533, 16.1488362 46.4099599, 16.1489227 46.4099705, 16.1490848 46.4100024, 16.1498036 46.4101367)",,
33915750,,Dobravska ulica,residential,,False,True,425.1259999999999,"LINESTRING (16.1498036 46.4101367, 16.1490848 46.4100024, 16.1489227 46.4099705, 16.1488362 46.4099599, 16.1486913 46.4099533, 16.1481904 46.4099576, 16.1480373 46.4099599, 16.1478934 46.409958, 16.1475883 46.4099418, 16.1471175 46.4099253, 16.1460415 46.4098853, 16.1459903 46.4098873, 16.1459373 46.4098966, 16.1458931 46.4099113, 16.1458594 46.4099361, 16.1458158 46.4099958, 16.145729 46.4101437, 16.1456417 46.4103039, 16.1455965 46.4103644, 16.1455285 46.4104533, 16.1454365 46.4105369, 16.1453281 46.4106025, 16.1452688 46.4106303, 16.1452135 46.4106463, 16.1450839 46.4106455, 16.1449221 46.4106344)",,
515011106,,Dobravska ulica,residential,,False,True,50.016000000000005,"LINESTRING (16.1498036 46.4101367, 16.1499991 46.4099726, 16.1502213 46.4097912)",,
33915754,,Raičeva ulica,residential,30,False,False,109.282,"LINESTRING (16.1526814 46.4086136, 16.1526862 46.4086648, 16.152699 46.4087167, 16.1527295 46.4087917, 16.152846 46.4091041, 16.1529492 46.4093716, 16.1529775 46.409424, 16.153007 46.4094698, 16.1530723 46.4095541)",,
848481014,2,Ljutomerska cesta,tertiary,50,False,False,109.42500000000001,"LINESTRING (16.1526814 46.4086136, 16.1523234 46.408615, 16.1522387 46.4086153, 16.1521455 46.4086156, 16.1512542 46.4086183)",,
33915754,,Raičeva ulica,residential,30,False,False,179.801,"LINESTRING (16.1530723 46.4095541, 16.1531277 46.4096191, 16.1531941 46.409688, 16.1533161 46.4097851, 16.1534167 46.4098508, 16.1535257 46.4099124, 16.1535911 46.4099428, 16.1536641 46.4099751, 16.1537413 46.4100033, 16.153826 46.4100306, 16.1539512 46.4100649, 16.154051 46.410087, 16.1541539 46.4101049, 16.1542442 46.4101134, 16.1543347 46.4101194, 16.1545493 46.4101244, 16.1551102 46.4101126)",,
33915754,,Raičeva ulica,residential,30,False,True,109.282,"LINESTRING (16.1530723 46.4095541, 16.153007 46.4094698, 16.1529775 46.409424, 16.1529492 46.4093716, 16.152846 46.4091041, 16.1527295 46.4087917, 16.152699 46.4087167, 16.1526862 46.4086648, 16.1526814 46.4086136)",,
"[1016792973, 1112360550]",,Hardek,residential,,False,False,173.087,"LINESTRING (16.1530723 46.4095541, 16.152788 46.4095702, 16.1527079 46.4095725, 16.1525947 46.4095818, 16.1525262 46.4095932, 16.1524632 46.4096071, 16.1524008 46.4096307, 16.1523482 46.4096575, 16.1523009 46.4096922, 16.1522607 46.4097449, 16.1521797 46.4098573, 16.1520766 46.4100063, 16.1520555 46.4100533, 16.1520461 46.4100875, 16.1520427 46.4101309, 16.1520522 46.4101958, 16.1521074 46.4104597, 16.1521268 46.4106398)",,
