osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,est_width,bridge,junction
24336413,Cesta Iva Slavca,residential,50,False,False,152.109,"LINESTRING (14.3546296 46.2413147, 14.3545629 46.2413879, 14.3545287 46.2414273, 14.3544055 46.2415611, 14.3543372 46.2416396, 14.3535747 46.2424718)",,,,
151086668,Ljubljanska cesta,residential,50,False,True,65.318,"LINESTRING (14.3546296 46.2413147, 14.3547063 46.2413443, 14.3548346 46.2413617, 14.3551352 46.2413756, 14.3553679 46.2413956, 14.3554571 46.2414182)",,,,
151085544,Koroška cesta,residential,50,False,False,21.842,"LINESTRING (14.3554571 46.2414182, 14.355549 46.2414547, 14.3556043 46.2415008, 14.3556559 46.241553)",2,,,
151086668,Ljubljanska cesta,residential,50,False,False,65.318,"LINESTRING (14.3554571 46.2414182, 14.3553679 46.2413956, 14.3551352 46.2413756, 14.3548346 46.2413617, 14.3547063 46.2413443, 14.3546296 46.2413147)",,,,
456753196,Jahačev prehod,residential,,False,False,80.524,"LINESTRING (14.3554571 46.2414182, 14.3555236 46.2413173, 14.3556056 46.2412781, 14.3557989 46.2412401, 14.3562262 46.241223, 14.3563759 46.2412581)",,,,
"[151085544, 514568013]",Koroška cesta,"['residential', 'unclassified']",50,False,False,80.523,"LINESTRING (14.3556785 46.2417566, 14.3556684 46.2417835, 14.3556206 46.2418453, 14.3555024 46.2420279, 14.3552641 46.2423985, 14.3552515 46.2424172)",2,,,
151085544,Koroška cesta,residential,50,False,True,22.879,"LINESTRING (14.3556785 46.2417566, 14.355686 46.2416774, 14.355676 46.2416122, 14.3556559 46.241553)",2,,,
456767295,Koroška cesta,residential,,True,False,27.108,"LINESTRING (14.3563171 46.2414346, 14.3562397 46.2414372, 14.3561802 46.2414416, 14.3561025 46.2414507, 14.3560322 46.2414779, 14.3559875 46.241501)",,,,
514568012,Maistrov trg,residential,,False,False,20.571,"LINESTRING (14.3563171 46.2414346, 14.3563172 46.2413532, 14.3563454 46.2412994, 14.3563759 46.2412581)",,,,
15501815,Gregorčičeva ulica,residential,,False,True,63.833,"LINESTRING (14.3566445 46.2424875, 14.3566981 46.2426239, 14.356753 46.2427723, 14.3567648 46.2428042, 14.3568533 46.2430431)",2,,,
161776950,Gregorčičeva ulica,residential,,True,False,117.72500000000002,"LINESTRING (14.3566445 46.2424875, 14.3566109 46.2423772, 14.3566064 46.2423001, 14.3566029 46.242239, 14.356622 46.2420326, 14.3566525 46.2417019, 14.35665 46.2416769, 14.3566458 46.2416361, 14.356517 46.2414531)",,,,
"[623731488, 14201546, 623731492, 623731490]",Slovenski trg,residential,,True,False,107.569,"LINESTRING (14.3552515 46.2424172, 14.3554035 46.2424376, 14.3554442 46.242443, 14.3555739 46.2424515, 14.3556561 46.2424569, 14.3557902 46.2424662, 14.3563952 46.2424799, 14.3564326 46.242481, 14.3566445 46.2424875)",,,,
