osmid,oneway,lanes,name,highway,reversed,length,geometry,tunnel,junction,bridge,maxspeed,access
766741413,True,2,Via Quattro Giugno,primary,False,192.189,"LINESTRING (12.4812126 43.971504, 12.4813284 43.9715725, 12.4814181 43.971589, 12.4815179 43.9715832, 12.4816163 43.9715515, 12.4817172 43.9714684, 12.4820184 43.9711323, 12.4823255 43.9707854, 12.4823693 43.9707347, 12.4823928 43.9707075, 12.482503 43.9706386, 12.4825951 43.9706183, 12.4827179 43.9706108, 12.4828339 43.9706328, 12.4828806 43.9706571)",,,,,
818513283,False,,Via Nicolo' Tommaseo,unclassified,True,91.678,"LINESTRING (12.4835252 43.9695613, 12.4836804 43.9689741, 12.4836739 43.9687474)",,,,,
1041627528,False,,Via Nicolo' Tommaseo,unclassified,False,57.439,"LINESTRING (12.4835252 43.9695613, 12.4833951 43.9699896, 12.4833656 43.9700648)",,,,,
25763499,False,,Via Ca' Pontoso,unclassified,False,29.32,"LINESTRING (12.4799906 43.9680972, 12.4796527 43.9679953)",,,,,
32473551,False,,Via Flavio Biondo,unclassified,True,31.029,"LINESTRING (12.4799906 43.9680972, 12.4796101 43.9681508)",,,,,
32473551,False,,Via Flavio Biondo,unclassified,False,138.118,"LINESTRING (12.4799906 43.9680972, 12.4802936 43.9681198, 12.4805977 43.9681047, 12.4807763 43.9680771, 12.4811214 43.9680193, 12.4814279 43.9680106, 12.4816989 43.9680322)",,,,,
226980693,False,,,unclassified,False,34.299,"LINESTRING (12.4761924 43.9668403, 12.4758044 43.9667093)",,,,,
25763499,False,,Via Ca' Pontoso,unclassified,True,87.09,"LINESTRING (12.4761924 43.9668403, 12.4762799 43.9668094, 12.4764687 43.9668094, 12.47677 43.9669216, 12.4771809 43.9670747)",,,,,
199330182,True,,Via Ca' Pontoso,unclassified,False,126.264,"LINESTRING (12.4761924 43.9668403, 12.4761254 43.966925, 12.476151 43.9670175, 12.476216 43.9670861, 12.4767343 43.9673802, 12.4771054 43.9676584)",,,,,
32473551,False,,Via Flavio Biondo,unclassified,False,11.512,"LINESTRING (12.4781493 43.9682148, 12.478168 43.9681669, 12.4782363 43.9681451)",,,,,
32473551,False,,Via Flavio Biondo,unclassified,True,76.53800000000001,"LINESTRING (12.4781493 43.9682148, 12.4781635 43.9682536, 12.4782247 43.9683213, 12.4782605 43.9683584, 12.4784239 43.968528, 12.4785316 43.9686653, 12.4785443 43.9687177, 12.4784562 43.9688014)",,,,,
25785645,False,,Via Rancaglia,unclassified,False,17.774,"LINESTRING (12.4819228 43.972646, 12.4817143 43.9725909)",,,,,
25785645,False,,Via Rancaglia,unclassified,True,20.157,"LINESTRING (12.4819228 43.972646, 12.4821655 43.9726945)",,,,,
226980802,True,,,unclassified,False,19.866999999999997,"LINESTRING (12.4819228 43.972646, 12.481924 43.9727411, 12.4818842 43.9728196)",,,,,
25763619,False,,Via Ponte Mellini,residential,False,59.607,"LINESTRING (12.4817259 43.9722913, 12.4819821 43.9724713, 12.4822846 43.9726448)",,,,,
"[211513984, 820118954, 25763619, 820118955]",False,,Via Ponte Mellini,residential,True,313.2129999999999,"LINESTRING (12.4817259 43.9722913, 12.4815522 43.9721384, 12.481321 43.9719134, 12.4811744 43.971747, 12.4810051 43.9716087, 12.480854 43.9714928, 12.4806726 43.9713867, 12.4800639 43.9710298, 12.47952 43.9706642, 12.4790243 43.9703374, 12.4789767 43.970306)",yes,,,,
364810762,False,,Via Piandolano,residential,False,166.258,"LINESTRING (12.4817259 43.9722913, 12.4821948 43.971515, 12.4822497 43.9714508, 12.4824442 43.9713567, 12.4825878 43.9712662, 12.4827248 43.9711341, 12.4827741 43.971129, 12.4828655 43.9711395)",,,,,
226980681,False,,Strada della Cava,residential,True,151.003,"LINESTRING (12.4836284 43.9679734, 12.4835387 43.9678459, 12.4831057 43.9673072, 12.4830321 43.9672142, 12.4829766 43.9671919, 12.4829063 43.967199, 12.4828589 43.9672201, 12.4827756 43.9672931, 12.4826742 43.9674001, 12.4825892 43.9674177, 12.4825043 43.9674189)",,,,,
818513283,False,,Via Nicolo' Tommaseo,unclassified,False,83.231,"LINESTRING (12.4836284 43.9679734, 12.4836062 43.9681976, 12.4836704 43.9687193)",,,,,
"[1041627529, 770054612]",False,,"[""Via Nicolo' Tommaseo"", 'Via dei Dativi']",unclassified,True,424.10999999999996,"LINESTRING (12.4836284 43.9679734, 12.4837488 43.9676874, 12.4838235 43.9674945, 12.4838602 43.9674293, 12.4839616 43.9673272, 12.4840562 43.967239, 12.4841031 43.9671668, 12.4841362 43.9670707, 12.484185 43.9668328, 12.484253 43.9664492, 12.4842792 43.966179, 12.4843599 43.9660933, 12.4844728 43.9660091, 12.4845798 43.9659413, 12.4847431 43.9658378, 12.4848278 43.9657957, 12.4849226 43.9657812, 12.4850296 43.9657855, 12.4851082 43.9658088, 12.4851768 43.9658509, 12.4852171 43.965906, 12.4852272 43.9659685, 12.4852171 43.9660222, 12.4848581 43.9665521, 12.4848359 43.9666044, 12.484844 43.9666581, 12.4848984 43.9667002, 12.4849731 43.9667147, 12.4850558 43.9667089, 12.4851183 43.9666798)",,,,,
818513283,False,,Via Nicolo' Tommaseo,unclassified,True,3.137,"LINESTRING (12.4836739 43.9687474, 12.4836704 43.9687193)",,,,,
818513283,False,,Via Nicolo' Tommaseo,unclassified,False,91.678,"LINESTRING (12.4836739 43.9687474, 12.4836804 43.9689741, 12.4835252 43.9695613)",,,,,
768109810,True,1,Via Quattro Giugno,primary,False,2.667,"LINESTRING (12.4789842 43.9701416, 12.4789548 43.9701529)",,roundabout,,,
25785376,True,1,Via Quattro Giugno,primary,False,16.585,"LINESTRING (12.4787603 43.9701408, 12.4787082 43.9701056, 12.4786795 43.9700672, 12.4786673 43.9700138)",,roundabout,,,
226980787,True,,,unclassified,False,32.389,"LINESTRING (12.4787603 43.9701408, 12.4785957 43.9701115, 12.4784568 43.9700832, 12.4783877 43.9700408)",,,,,
768121949,True,1,Via Quattro Giugno,primary,False,15.856,"LINESTRING (12.4788845 43.969869, 12.4789819 43.9698911, 12.4790493 43.9699403)",,roundabout,,,
766733175,True,1,Via Quattro Giugno,primary,False,9.725,"LINESTRING (12.4790493 43.9699403, 12.4790751 43.9699883, 12.4790787 43.9700242)",,roundabout,,,
