osmid,highway,oneway,reversed,length,geometry,lanes,bridge
969646559,residential,False,False,1.85,"LINESTRING (4.0293627 13.6411218, 4.0293533 13.6411357)",,
203785567,residential,False,False,148.495,"LINESTRING (4.024846 13.6418684, 4.024895 13.6405338)",,
203785567,residential,False,True,141.456,"LINESTRING (4.024846 13.6418684, 4.0248262 13.6431404)",,
203785578,residential,False,False,77.117,"LINESTRING (4.024846 13.6418684, 4.0255577 13.6419198)",,
417422816,unclassified,False,False,84.69,"LINESTRING (4.0266617 13.6451693, 4.0269873 13.6444765)",,
445960151,residential,False,False,148.519,"LINESTRING (4.0266617 13.6451693, 4.0257516 13.6441684)",,
445960153,residential,False,True,64.883,"LINESTRING (4.0266617 13.6451693, 4.0272077 13.6454121)",,
203785580,unclassified,False,False,59.825,"LINESTRING (4.0285007 13.6413577, 4.0287231 13.640865)",,
203785579,unclassified,True,False,76.627,"LINESTRING (4.0285007 13.6413577, 4.0288011 13.6417382, 4.0287931 13.6419476)",,
25501958,secondary,False,True,96.515,"LINESTRING (4.0256792 13.6376276, 4.0263508 13.6370554)",2,
255660183,residential,False,False,69.612,"LINESTRING (4.0256792 13.6376276, 4.0252585 13.6371535)",,
25501958,secondary,False,False,129.97299999999998,"LINESTRING (4.0256792 13.6376276, 4.0253252 13.6379587, 4.0251696 13.6381281, 4.025073 13.6382819, 4.0249555 13.6385421)",2,
203785581,unclassified,False,False,63.663,"LINESTRING (4.0275351 13.6421657, 4.0269826 13.6423645)",,
562889716,unclassified,True,False,55.669,"LINESTRING (4.0275351 13.6421657, 4.0275512 13.6416653)",,
445526070,unclassified,False,True,61.026,"LINESTRING (4.0275512 13.6416653, 4.0270339 13.6414451)",,
203785579,unclassified,True,False,54.595,"LINESTRING (4.0275512 13.6416653, 4.0275744 13.641645, 4.0279267 13.6413368)",,
203785580,unclassified,False,False,82.113,"LINESTRING (4.0296701 13.6387668, 4.0299792 13.6380922)",,
203785580,unclassified,False,True,84.17,"LINESTRING (4.0296701 13.6387668, 4.0293572 13.63946)",,
445960152,residential,False,False,116.241,"LINESTRING (4.0296701 13.6387668, 4.0306518 13.6391942)",,
445960155,residential,False,True,152.033,"LINESTRING (4.0296701 13.6387668, 4.0282637 13.6387291)",,
203785568,unclassified,False,False,85.97,"LINESTRING (4.026945 13.6386938, 4.0266806 13.6379646)",,
203785568,unclassified,False,True,83.414,"LINESTRING (4.026945 13.6386938, 4.0272212 13.6393943)",,
445960154,residential,False,True,146.672,"LINESTRING (4.026945 13.6386938, 4.0259184 13.6395567)",,
445960155,residential,False,False,142.552,"LINESTRING (4.026945 13.6386938, 4.0282637 13.6387291)",,
25501958,secondary,False,False,96.515,"LINESTRING (4.0263508 13.6370554, 4.0256792 13.6376276)",2,
203785568,unclassified,False,True,24.66,"LINESTRING (4.0263508 13.6370554, 4.0264201 13.6372667)",,
203785567,residential,False,True,148.495,"LINESTRING (4.024895 13.6405338, 4.024846 13.6418684)",,
445526070,unclassified,False,False,87.127,"LINESTRING (4.024895 13.6405338, 4.0256325 13.6408505)",,
445960154,residential,False,False,155.03,"LINESTRING (4.024895 13.6405338, 4.0259184 13.6395567)",,
203785579,unclassified,True,False,38.829,"LINESTRING (4.0287931 13.6419476, 4.0287689 13.642296)",,
203785574,unclassified,False,True,80.221,"LINESTRING (4.0287931 13.6419476, 4.0289529 13.6419402, 4.0290856 13.6419246, 4.0291741 13.6418998, 4.0292399 13.6418737, 4.0294887 13.6417375)",,
203785567,residential,False,False,141.456,"LINESTRING (4.0248262 13.6431404, 4.024846 13.6418684)",,
203785581,unclassified,False,True,80.67,"LINESTRING (4.0248262 13.6431404, 4.0255263 13.6428885)",,
445960150,residential,False,True,151.874,"LINESTRING (4.0248262 13.6431404, 4.0257516 13.6441684)",,
255658375,residential,False,False,84.448,"LINESTRING (4.0306518 13.6391942, 4.0309593 13.638496)",,
346843681,residential,False,False,86.324,"LINESTRING (4.0306518 13.6391942, 4.0303191 13.6399)",,
445960152,residential,False,True,116.241,"LINESTRING (4.0306518 13.6391942, 4.0296701 13.6387668)",,
255662079,unclassified,False,False,84.996,"LINESTRING (4.0272077 13.6454121, 4.0276855 13.6448049)",,
