osmid,highway,oneway,reversed,length,name,geometry,junction
181422355,residential,False,False,21.362,,"LINESTRING (16.1455491 29.1610274, 16.1457691 29.1610274)",
181422355,residential,False,True,120.453,,"LINESTRING (16.1455491 29.1610274, 16.1449161 29.1610786, 16.1446694 29.1611395, 16.1443348 29.1612243)",
671759712,residential,False,True,55.754,,"LINESTRING (16.1455491 29.1610274, 16.1455277 29.1608233, 16.1455156 29.1607847, 16.1454928 29.1607495, 16.1454794 29.1607214, 16.1454713 29.1606453, 16.1454633 29.1605364)",
174188437,tertiary,False,False,15.739,,"LINESTRING (16.1441812 29.1612695, 16.1443348 29.1612243)",
174188437,tertiary,False,True,64.716,,"LINESTRING (16.1441812 29.1612695, 16.1435405 29.1614298)",
174188306,primary,True,False,80.61500000000001,طريق ودان,"LINESTRING (16.1441812 29.1612695, 16.1440672 29.1611688, 16.1439022 29.1610528, 16.1435576 29.1607917)",
172952464,tertiary,False,False,68.213,,"LINESTRING (16.1379464 29.1617239, 16.1376178 29.1611817)",
181422341,residential,False,True,98.588,,"LINESTRING (16.1379464 29.1617239, 16.1370038 29.1620534)",
172952464,tertiary,False,True,108.601,,"LINESTRING (16.1379464 29.1617239, 16.1382025 29.1621619, 16.1384551 29.1625937)",
172952464,tertiary,False,False,81.787,,"LINESTRING (16.1396241 29.1645697, 16.1392325 29.1639185)",
172952464,tertiary,False,True,63.389,,"LINESTRING (16.1396241 29.1645697, 16.1399326 29.1650721)",
181422349,residential,False,True,95.453,,"LINESTRING (16.1396241 29.1645697, 16.138784 29.1650155)",
181422326,residential,False,False,96.467,,"LINESTRING (16.138784 29.1650155, 16.1383165 29.16425)",
181422349,residential,False,False,95.453,,"LINESTRING (16.138784 29.1650155, 16.1396241 29.1645697)",
181422349,residential,False,True,156.764,,"LINESTRING (16.138784 29.1650155, 16.1373858 29.1657204)",
181422345,residential,False,False,65.322,,"LINESTRING (16.1371677 29.1651629, 16.1369795 29.1645989)",
181422345,residential,False,True,65.509,,"LINESTRING (16.1371677 29.1651629, 16.1373858 29.1657204)",
181422345,residential,False,False,65.509,,"LINESTRING (16.1373858 29.1657204, 16.1371677 29.1651629)",
181422349,residential,False,False,156.764,,"LINESTRING (16.1373858 29.1657204, 16.138784 29.1650155)",
181422356,residential,False,False,204.272,,"LINESTRING (16.1431968 29.1592165, 16.1431706 29.159076, 16.1431371 29.1588775, 16.14306 29.1586116, 16.1429848 29.1584798, 16.1429266 29.1583938, 16.1426101 29.1579809, 16.1423667 29.157701, 16.1422694 29.1576103)",
181422356,residential,False,True,89.676,,"LINESTRING (16.1431968 29.1592165, 16.1432759 29.159521, 16.1433634 29.1600093)",
181424299,residential,False,True,79.67,,"LINESTRING (16.1431968 29.1592165, 16.1433678 29.1592634, 16.1435978 29.1593641, 16.1439132 29.1595553)",
181424267,residential,False,False,21.513,,"LINESTRING (16.1443488 29.1599836, 16.144542 29.1600783)",
671940571,residential,False,True,19.784,,"LINESTRING (16.1443488 29.1599836, 16.1443414 29.1601614)",
181424299,residential,False,False,63.794,,"LINESTRING (16.1443488 29.1599836, 16.1441026 29.1597181, 16.1439132 29.1595553)",
181424284,residential,False,True,23.024,,"LINESTRING (16.1443414 29.1601614, 16.1442006 29.160328)",
671940571,residential,False,False,19.784,,"LINESTRING (16.1443414 29.1601614, 16.1443488 29.1599836)",
671941165,residential,False,False,21.559,,"LINESTRING (16.1443414 29.1601614, 16.144542 29.1600783)",
181422358,residential,False,False,39.298,,"LINESTRING (16.1422864 29.160348, 16.142415 29.1600129)",
181422358,residential,False,True,28.399,,"LINESTRING (16.1422864 29.160348, 16.1422648 29.1604778, 16.1422259 29.1605973)",
181424300,residential,False,True,115.679,,"LINESTRING (16.1422864 29.160348, 16.1420193 29.1603209, 16.1417216 29.1603595, 16.1416358 29.160383, 16.141566 29.1604415, 16.1415499 29.1605516, 16.1415012 29.1608169)",
181252237,primary,True,False,33.336,طريق ودان,"LINESTRING (16.1435258 29.160646, 16.1436501 29.160746, 16.1437815 29.160846)",
181424281,unclassified,True,False,66.813,,"LINESTRING (16.1435258 29.160646, 16.1436657 29.1606377, 16.1437366 29.1606154, 16.1437935 29.1605838, 16.1440946 29.1603472)",
181422358,residential,False,False,16.769,,"LINESTRING (16.1421508 29.1607331, 16.1422259 29.1605973)",
181422358,residential,False,True,40.091,,"LINESTRING (16.1421508 29.1607331, 16.1419429 29.1610446)",
181424301,residential,False,True,63.762,,"LINESTRING (16.1421508 29.1607331, 16.1415012 29.1608169)",
181424290,residential,False,True,23.39,,"LINESTRING (16.1435576 29.1607917, 16.1433438 29.1608886)",
174188306,primary,True,False,141.105,طريق ودان,"LINESTRING (16.1435576 29.1607917, 16.1432907 29.1605844, 16.142997 29.1603607, 16.1426952 29.1601604, 16.142415 29.1600129)",
181252237,primary,True,False,68.266,طريق ودان,"LINESTRING (16.1437815 29.160846, 16.1440873 29.1610669, 16.1443348 29.1612243)",
181424301,residential,False,False,63.762,,"LINESTRING (16.1415012 29.1608169, 16.1421508 29.1607331)",
181424301,residential,False,True,20.735,,"LINESTRING (16.1415012 29.1608169, 16.1412898 29.1608432)",
181424300,residential,False,False,115.679,,"LINESTRING (16.1415012 29.1608169, 16.1415499 29.1605516, 16.141566 29.1604415, 16.1416358 29.160383, 16.1417216 29.1603595, 16.1420193 29.1603209, 16.1422864 29.160348)",
181424278,residential,False,True,63.137,,"LINESTRING (16.1433438 29.1608886, 16.1435405 29.1614298)",
181424290,residential,False,False,23.39,,"LINESTRING (16.1433438 29.1608886, 16.1435576 29.1607917)",
181424290,residential,False,True,61.039,,"LINESTRING (16.1433438 29.1608886, 16.1427952 29.1611566)",
181422358,residential,False,False,40.091,,"LINESTRING (16.1419429 29.1610446, 16.1421508 29.1607331)",
181424286,residential,False,True,15.078,,"LINESTRING (16.1419429 29.1610446, 16.1420474 29.1611449)",
181422358,residential,False,True,97.672,,"LINESTRING (16.1419429 29.1610446, 16.1419053 29.1611079, 16.1418369 29.1612203, 16.141794 29.1613527, 16.1417927 29.1618949)",
174188437,tertiary,False,False,64.716,,"LINESTRING (16.1435405 29.1614298, 16.1441812 29.1612695)",
174188437,tertiary,False,True,111.528,,"LINESTRING (16.1435405 29.1614298, 16.1424423 29.1617236)",
181424278,residential,False,False,63.137,,"LINESTRING (16.1435405 29.1614298, 16.1433438 29.1608886)",
181424286,residential,False,False,35.718,,"LINESTRING (16.1422519 29.1614119, 16.1420474 29.1611449)",
181424286,residential,False,True,39.282,,"LINESTRING (16.1422519 29.1614119, 16.1424423 29.1617236)",
181424290,residential,False,False,59.908,,"LINESTRING (16.1422519 29.1614119, 16.1427952 29.1611566)",
174188306,primary,True,False,71.497,طريق ودان,"LINESTRING (16.1447485 29.1616794, 16.1441812 29.1612695)",
181424295,residential,False,True,7.419,,"LINESTRING (16.1447485 29.1616794, 16.1446923 29.1617246)",
181424295,residential,False,False,7.419,,"LINESTRING (16.1446923 29.1617246, 16.1447485 29.1616794)",
181424277,residential,False,True,223.498,,"LINESTRING (16.1446923 29.1617246, 16.1434768 29.1620534, 16.1430117 29.162224, 16.1425316 29.162409)",
181424295,residential,False,True,42.857,,"LINESTRING (16.1446923 29.1617246, 16.1445835 29.1618281, 16.1445299 29.1618797, 16.1444682 29.1619429, 16.1444199 29.1620249)",
174188437,tertiary,False,False,111.528,,"LINESTRING (16.1424423 29.1617236, 16.1435405 29.1614298)",
181424286,residential,False,False,39.282,,"LINESTRING (16.1424423 29.1617236, 16.1422519 29.1614119)",
174188437,tertiary,False,True,65.911,,"LINESTRING (16.1424423 29.1617236, 16.1418892 29.161875, 16.1417927 29.1618949)",
181424293,residential,False,True,111.598,,"LINESTRING (16.1444199 29.1620249, 16.1448437 29.1624301, 16.1449692 29.1625578, 16.1450836 29.1628264)",
181424295,residential,False,False,42.857,,"LINESTRING (16.1444199 29.1620249, 16.1444682 29.1619429, 16.1445299 29.1618797, 16.1445835 29.1618281, 16.1446923 29.1617246)",
