osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge
129593260,King Street,residential,50,False,True,231.652,,"LINESTRING (146.2416516 -26.4072857, 146.2397853 -26.4085291)",
372003395,Sturt Street,trunk,60,False,True,128.683,A2,"LINESTRING (146.2416516 -26.4072857, 146.2409067 -26.4063401)",
75530220,Sturt Street,trunk,60,False,True,99.469,A71,"LINESTRING (146.2416516 -26.4072857, 146.2419976 -26.4077409, 146.2422248 -26.4080181)",
625705545,Warrego Highway,trunk,50,True,False,228.128,A2,"LINESTRING (146.2416516 -26.4072857, 146.2417978 -26.4071423, 146.2433454 -26.4061622, 146.2435158 -26.4061149)",
75530223,Warrego Highway,trunk,50,False,False,12.134,A2,"LINESTRING (146.2436156 -26.4060523, 146.2435518 -26.4060923, 146.2435158 -26.4061149)",
75530223,Warrego Highway,trunk,50,False,True,221.497,A2,"LINESTRING (146.2436156 -26.4060523, 146.244248 -26.4056436, 146.2454191 -26.4048867)",
75530223,Warrego Highway,trunk,50,False,False,165.458,A2,"LINESTRING (146.2467663 -26.404016, 146.2454191 -26.4048867)",
1068712255,Burke Street,residential,50,False,False,132.968,,"LINESTRING (146.2467663 -26.404016, 146.2459826 -26.4030479)",
42361429,Galatea Street,residential,50,False,False,228.213,,"LINESTRING (146.2386096 -26.403501, 146.2404531 -26.4022821)",
172230628,Sturt Street,trunk,60,False,False,129.892,A2,"LINESTRING (146.2386096 -26.403501, 146.2393845 -26.4044406)",
172230628,Sturt Street,trunk,60,False,True,133.201,A2,"LINESTRING (146.2386096 -26.403501, 146.237837 -26.4025232)",
172230628,Sturt Street,trunk,60,False,False,133.201,A2,"LINESTRING (146.237837 -26.4025232, 146.2386096 -26.403501)",
762921803,Sturt Street,trunk,60,False,True,99.382,A2,"LINESTRING (146.237837 -26.4025232, 146.2372809 -26.4017811)",
75530220,Sturt Street,trunk,60,False,False,101.87,A71,"LINESTRING (146.243015 -26.4090203, 146.2424233 -26.408273)",
173015592,Chester Street,residential,50,False,False,229.073,,"LINESTRING (146.243015 -26.4090203, 146.2411596 -26.4102379)",
75530220,Sturt Street,trunk,60,False,True,122.057,A71,"LINESTRING (146.243015 -26.4090203, 146.2434144 -26.4095318, 146.2437242 -26.4099155)",
75530220,Sturt Street,trunk,60,False,False,10.869,A71,"LINESTRING (146.243792 -26.4099921, 146.2437242 -26.4099155)",
75530220,Sturt Street,trunk,60,False,True,10.869,A71,"LINESTRING (146.2437242 -26.4099155, 146.243792 -26.4099921)",
173015596,Sturt Lane,residential,50,False,False,125.899,,"LINESTRING (146.2437242 -26.4099155, 146.2447513 -26.4092554)",
75530220,Sturt Street,trunk,60,False,False,122.057,A71,"LINESTRING (146.2437242 -26.4099155, 146.2434144 -26.4095318, 146.243015 -26.4090203)",
172231468,Parry Street,residential,,False,False,225.32,,"LINESTRING (146.2409067 -26.4063401, 146.2427456 -26.4051597)",
172231468,Parry Street,residential,,False,True,237.574,,"LINESTRING (146.2409067 -26.4063401, 146.2389785 -26.407598)",
372003395,Sturt Street,trunk,60,False,False,128.683,A2,"LINESTRING (146.2409067 -26.4063401, 146.2416516 -26.4072857)",
