osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,tunnel,bridge
31852487,Peel Street South,tertiary,40,False,True,148.73500000000004,"LINESTRING (143.8636844 -37.5633349, 143.8637014 -37.563244, 143.8638084 -37.5626748, 143.8638809 -37.5622809, 143.8639022 -37.5621679, 143.8639173 -37.5621039, 143.8639316 -37.5620118)",,,,,
"[148429215, 148603671]",Little Bridge Street,tertiary,40,True,False,277.696,"LINESTRING (143.8636844 -37.5633349, 143.8635892 -37.5633215, 143.862892 -37.5632452, 143.8627931 -37.5632333, 143.8626762 -37.5632192, 143.8624719 -37.5631946, 143.8621028 -37.5631502, 143.8616852 -37.5630979, 143.8616651 -37.5630954, 143.8613289 -37.5630534, 143.8607334 -37.5629789, 143.8607078 -37.562975, 143.8606724 -37.5629697, 143.8605735 -37.5629459)",2,,,,
"[148603674, 851340518]",Peel Street South,tertiary,"['60', '40']",False,False,173.792,"LINESTRING (143.8636844 -37.5633349, 143.863676 -37.5633947, 143.8636431 -37.563644, 143.863516 -37.564276, 143.8634395 -37.5647535, 143.8634213 -37.5648835)",,,,,
142217924,Grenville Street North,tertiary,40,True,False,58.565000000000005,"LINESTRING (143.8605735 -37.5629459, 143.8605519 -37.5628242, 143.8606023 -37.562542, 143.8606074 -37.5625101, 143.8606224 -37.5624243)",3,,,,
"[1256347497, 148345190, 976666654]",Grenville Street South,tertiary,50,False,False,142.979,"LINESTRING (143.8605735 -37.5629459, 143.8605624 -37.5630189, 143.8605581 -37.5630414, 143.8605336 -37.563171, 143.8604933 -37.5634109, 143.8604753 -37.563522, 143.8604581 -37.5636076, 143.860347 -37.5642191)",,,,,
32326628,Sturt Street,tertiary,40,True,False,7.501,"LINESTRING (143.8607066 -37.5624341, 143.8606224 -37.5624243)",2,,,,
173256635,Grenville Street South,tertiary,40,True,False,58.45,"LINESTRING (143.8607066 -37.5624341, 143.8606957 -37.5624936, 143.860692 -37.5625226, 143.860631 -37.5628402, 143.8605735 -37.5629459)",2,,,,
506441429,Curtis Street,tertiary,40,True,False,7.26,"LINESTRING (143.8607485 -37.5616857, 143.8608303 -37.5616933)",1,,,,
148345188,Grenville Street North,tertiary,40,True,False,62.304,"LINESTRING (143.8607485 -37.5616857, 143.860756 -37.5616335, 143.8608031 -37.5613457, 143.8608157 -37.5612882, 143.8608599 -37.5611329)",1,,,,
506658040,Lydiard Street North,tertiary,50,True,False,9.719,"LINESTRING (143.8580997 -37.5598025, 143.8581323 -37.559719)",1,,,,
