osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,ref,bridge
10046167,False,William Street,residential,True,125.121,,,"LINESTRING (138.8793941 -34.9543561, 138.8798829 -34.9533046)",,
790385227,False,Nairne Road,secondary,False,187.368,2,50,"LINESTRING (138.8793941 -34.9543561, 138.8774832 -34.9537345)",,
10046128,False,Tolmer Road,residential,True,158.26600000000002,,,"LINESTRING (138.8793941 -34.9543561, 138.8801193 -34.954583, 138.8810165 -34.9548637)",,
10046128,False,Tolmer Road,residential,False,158.26600000000002,,,"LINESTRING (138.8810165 -34.9548637, 138.8801193 -34.954583, 138.8793941 -34.9543561)",,
10046180,False,Robert Street,residential,True,123.968,,,"LINESTRING (138.8774832 -34.9537345, 138.87799 -34.9526999)",,
790385227,False,Nairne Road,secondary,True,187.368,2,50,"LINESTRING (138.8774832 -34.9537345, 138.8793941 -34.9543561)",,
"[790385227, 181690925]",False,Nairne Road,secondary,False,233.286,2,50,"LINESTRING (138.8774832 -34.9537345, 138.8771063 -34.9536109, 138.8762943 -34.9533487, 138.87585 -34.9532052, 138.8754743 -34.9530877, 138.8750993 -34.9529705)",,
10046167,False,William Street,residential,False,125.121,,,"LINESTRING (138.8798829 -34.9533046, 138.8793941 -34.9543561)",,
10046167,False,William Street,residential,True,117.987,,,"LINESTRING (138.8798829 -34.9533046, 138.8803216 -34.9523063)",,
10046180,False,Robert Street,residential,False,121.167,,,"LINESTRING (138.8789207 -34.950664, 138.8784621 -34.9516868)",,
10046217,False,John Street,residential,False,233.983,2,,"LINESTRING (138.8789207 -34.950664, 138.8777221 -34.9502696, 138.8765357 -34.9498853)",,
10046217,False,John Street,residential,True,183.964,2,,"LINESTRING (138.8789207 -34.950664, 138.8803005 -34.9511329, 138.8807716 -34.9513224)",,
10046180,False,Robert Street,residential,False,120.589,,,"LINESTRING (138.8784621 -34.9516868, 138.87799 -34.9526999)",,
10046180,False,Robert Street,residential,True,121.167,,,"LINESTRING (138.8784621 -34.9516868, 138.8789207 -34.950664)",,
15242275,False,Elizabeth Street,residential,False,182.938,2,,"LINESTRING (138.8784621 -34.9516868, 138.8803216 -34.9523063)",,
15242275,False,Elizabeth Street,residential,True,235.834,2,,"LINESTRING (138.8784621 -34.9516868, 138.876051 -34.9509169)",,
10046180,False,Robert Street,residential,False,123.968,,,"LINESTRING (138.87799 -34.9526999, 138.8774832 -34.9537345)",,
10046180,False,Robert Street,residential,True,120.589,,,"LINESTRING (138.87799 -34.9526999, 138.8784621 -34.9516868)",,
15242267,False,Moffett Street,residential,False,236.347,,,"LINESTRING (138.87799 -34.9526999, 138.8755646 -34.9519476)",,
15242267,False,Moffett Street,residential,True,114.046,,,"LINESTRING (138.87799 -34.9526999, 138.879155 -34.9530743)",,
10046167,False,William Street,residential,False,116.839,,,"LINESTRING (138.8807716 -34.9513224, 138.8803216 -34.9523063)",,
10046217,False,John Street,residential,False,183.964,2,,"LINESTRING (138.8807716 -34.9513224, 138.8803005 -34.9511329, 138.8789207 -34.950664)",,
198025512,False,Onkaparinga Valley Scenic Drive,primary,False,22.532,,50,"LINESTRING (138.8765357 -34.9498853, 138.8766151 -34.9496934)",B34,
10046217,False,John Street,residential,True,233.983,2,,"LINESTRING (138.8765357 -34.9498853, 138.8777221 -34.9502696, 138.8789207 -34.950664)",,
198025512,False,Onkaparinga Valley Scenic Drive,primary,True,91.81700000000001,,50,"LINESTRING (138.8765357 -34.9498853, 138.8762122 -34.9505751, 138.8761741 -34.950656)",B34,
15242267,False,Moffett Street,residential,True,236.347,,,"LINESTRING (138.8755646 -34.9519476, 138.87799 -34.9526999)",,
198025512,False,Onkaparinga Valley Scenic Drive,primary,False,44.723,,50,"LINESTRING (138.8755646 -34.9519476, 138.8756569 -34.9517648, 138.8757453 -34.9515737)",B34,
740805909,False,Onkaparinga Valley Scenic Drive,primary,True,77.178,,50,"LINESTRING (138.8755646 -34.9519476, 138.8755291 -34.9520259, 138.8752696 -34.9525982)",B34,
15242275,False,Elizabeth Street,residential,False,235.834,2,,"LINESTRING (138.876051 -34.9509169, 138.8784621 -34.9516868)",,
198025512,False,Onkaparinga Valley Scenic Drive,primary,False,31.105,,50,"LINESTRING (138.876051 -34.9509169, 138.8761741 -34.950656)",B34,
198025512,False,Onkaparinga Valley Scenic Drive,primary,True,78.167,,50,"LINESTRING (138.876051 -34.9509169, 138.8757453 -34.9515737)",B34,
10046167,False,William Street,residential,False,117.987,,,"LINESTRING (138.8803216 -34.9523063, 138.8798829 -34.9533046)",,
10046167,False,William Street,residential,True,116.839,,,"LINESTRING (138.8803216 -34.9523063, 138.8807716 -34.9513224)",,
15242275,False,Elizabeth Street,residential,True,182.938,2,,"LINESTRING (138.8803216 -34.9523063, 138.8784621 -34.9516868)",,
15242285,False,Jacaranda Drive,residential,False,224.818,,,"LINESTRING (138.8802266 -34.9473739, 138.8797564 -34.9474482, 138.8795839 -34.9474419, 138.8778827 -34.9469232)",,
475101539,False,Onkaparinga Valley Scenic Drive,primary,True,125.726,,60,"LINESTRING (138.8778827 -34.9469232, 138.8774106 -34.9479856)",B34,
15242285,False,Jacaranda Drive,residential,True,224.818,,,"LINESTRING (138.8778827 -34.9469232, 138.8795839 -34.9474419, 138.8797564 -34.9474482, 138.8802266 -34.9473739)",,
198025512,False,Onkaparinga Valley Scenic Drive,primary,False,78.167,,50,"LINESTRING (138.8757453 -34.9515737, 138.876051 -34.9509169)",B34,
181690677,True,Post Office Road,unclassified,False,97.025,,,"LINESTRING (138.8757453 -34.9515737, 138.8752771 -34.9514222, 138.8747566 -34.9512502)",,
