osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,ref
421964721,True,Alfred Street North,residential,50,False,78.193,"LINESTRING (151.2126923 -33.8329087, 151.2129385 -33.8325227, 151.2131063 -33.8322957)",,,
4354225,False,Walker Street,tertiary,40,True,222.35,"LINESTRING (151.2100092 -33.8331646, 151.2099988 -33.8332181, 151.2099923 -33.8332456, 151.2099167 -33.8336198, 151.2098444 -33.8339772, 151.209614 -33.8351371)",,,
"[46978588, 504205023]",False,Ridge Street,residential,50,False,113.404,"LINESTRING (151.2100092 -33.8331646, 151.2101633 -33.8331894, 151.2102136 -33.8331973, 151.2110753 -33.8333203, 151.2112196 -33.8333344)",,,
46978588,False,Ridge Street,residential,50,True,104.196,"LINESTRING (151.2100092 -33.8331646, 151.209916 -33.8331512, 151.2089013 -33.8329882)",,,
44674788,True,Berry Street,primary,40,False,54.548,"LINESTRING (151.2092398 -33.8371022, 151.2098215 -33.837187)",4,,
"[485113017, 785931817]",False,Walker Street,tertiary,40,True,227.47300000000004,"LINESTRING (151.2092398 -33.8371022, 151.2092186 -33.8371998, 151.2092118 -33.8372309, 151.2090149 -33.838138, 151.2089007 -33.8386639, 151.20889 -33.8387134, 151.2088412 -33.8389896, 151.208836 -33.8390189, 151.2088186 -33.8391176)",4,,
"[4354225, 485113020]",False,Walker Street,tertiary,40,False,64.349,"LINESTRING (151.2092398 -33.8371022, 151.2092529 -33.837031, 151.2092574 -33.8370066, 151.2093356 -33.8365827, 151.2093309 -33.8365297)",4,,
"[46978588, 504205023]",False,Ridge Street,residential,50,True,113.404,"LINESTRING (151.2112196 -33.8333344, 151.2110753 -33.8333203, 151.2102136 -33.8331973, 151.2101633 -33.8331894, 151.2100092 -33.8331646)",,,
134079378,True,Alfred Street,residential,50,False,193.6,"LINESTRING (151.2118152 -33.8365299, 151.2118056 -33.836603, 151.2115275 -33.8382328, 151.2115235 -33.838254)",,,
79617054,True,Mount Street,primary,,False,4.725,"LINESTRING (151.2102007 -33.8392706, 151.2102514 -33.8392763)",2,yes,
"[785931817, 485113017]",False,Walker Street,tertiary,40,False,227.47299999999998,"LINESTRING (151.2088186 -33.8391176, 151.208836 -33.8390189, 151.2088412 -33.8389896, 151.20889 -33.8387134, 151.2089007 -33.8386639, 151.2090149 -33.838138, 151.2092118 -33.8372309, 151.2092186 -33.8371998, 151.2092398 -33.8371022)",4,,
79617021,True,Mount Street,tertiary,40,False,32.049,"LINESTRING (151.2099345 -33.8394429, 151.2099405 -33.8394064, 151.2099455 -33.8393812, 151.2099483 -33.8393552, 151.209947 -33.8393389, 151.2099425 -33.8393247, 151.2099382 -33.8393149, 151.209931 -33.8393074, 151.2099187 -33.8392993, 151.2098926 -33.8392873, 151.2098445 -33.8392686, 151.2097986 -33.8392539, 151.2097684 -33.8392474)",1,,
"[1160675816, 1082469789, 205723110]",True,Arthur Street,primary,40,False,35.94799999999999,"LINESTRING (151.2099345 -33.8394429, 151.2099424 -33.8394179, 151.2099666 -33.839355, 151.2099839 -33.8393256, 151.2100008 -33.8393097, 151.2100204 -33.8392935, 151.2100413 -33.8392841, 151.2100561 -33.8392797, 151.2100709 -33.8392752, 151.2100997 -33.8392694, 151.2101451 -33.8392679, 151.2102007 -33.8392706)",2,yes,
2035357,True,Mount Street,tertiary,,False,58.607,"LINESTRING (151.2100788 -33.8388384, 151.2099698 -33.8391466, 151.2099589 -33.8391648, 151.2099423 -33.8391827, 151.2099354 -33.839188, 151.2098873 -33.8392194, 151.2098601 -33.8392318, 151.2098316 -33.8392413, 151.2098029 -33.8392463, 151.2097684 -33.8392474)",1,,
"[34554856, 1082469788]",True,Arthur Street,primary,,False,53.726,"LINESTRING (151.2100788 -33.8388384, 151.2100554 -33.8390451, 151.210053 -33.839083, 151.210058 -33.8391221, 151.2100659 -33.8391535, 151.2100707 -33.8391629, 151.2100797 -33.8391796, 151.2100881 -33.8391914, 151.2100976 -33.839202, 151.2101145 -33.8392194, 151.2101415 -33.8392404, 151.2102007 -33.8392706)",2,yes,
173538329,True,Mount Street,tertiary,,False,32.722,"LINESTRING (151.2097684 -33.8392474, 151.2094191 -33.8391982)",,,
62202827,False,Miller Street,secondary,40,False,19.782,"LINESTRING (151.2068652 -33.8389044, 151.206893 -33.838728)",,,
4354224,False,Miller Street,secondary,40,True,34.114000000000004,"LINESTRING (151.2068652 -33.8389044, 151.2068458 -33.8390017, 151.2068335 -33.8390577, 151.2067972 -33.8392059)",4,,
595870897,True,Pacific Highway,primary,60,False,122.284,"LINESTRING (151.2068652 -33.8389044, 151.2067487 -33.8387106, 151.2062209 -33.837944)",3,,
942754305,True,Mount Street,living_street,40,False,34.42700000000001,"LINESTRING (151.2068652 -33.8389044, 151.2067558 -33.8388351, 151.2066984 -33.8388246, 151.206525 -33.8387977)",1,,
1162944175,False,Bay Road,tertiary,40,True,8.857,"LINESTRING (151.205181 -33.8350061, 151.2050875 -33.8350238)",2,,
"[1162947568, 595870901, 595870904]",True,Pacific Highway,primary,60,False,173.56300000000002,"LINESTRING (151.205181 -33.8350061, 151.2052157 -33.8350782, 151.2052752 -33.8352243, 151.2055308 -33.8358847, 151.2056743 -33.8362464, 151.205758 -33.8364912)","['2', '3']",,
"[608805672, 2063590]",False,Miller Street,secondary,40,False,223.44500000000002,"LINESTRING (151.2072726 -33.8368144, 151.2072868 -33.8367466, 151.2072932 -33.8367157, 151.2073971 -33.8361502, 151.2075898 -33.8352746, 151.2076582 -33.8349408, 151.2076632 -33.8349163, 151.2076772 -33.8348334)",4,,
73552747,True,Miller Street,secondary,40,False,216.71800000000002,"LINESTRING (151.2072726 -33.8368144, 151.2072833 -33.8369161, 151.2072707 -33.8369734, 151.2070211 -33.8383341, 151.2069695 -33.8385868, 151.2069634 -33.8386156, 151.206893 -33.838728)",2,,
780154173,True,Berry Street,primary,40,False,184.493,"LINESTRING (151.2072726 -33.8368144, 151.2073731 -33.8368299, 151.207867 -33.836902, 151.2081923 -33.8369494, 151.2084045 -33.8369803, 151.2086859 -33.8370228, 151.2090849 -33.837079, 151.209122 -33.8370843, 151.2092398 -33.8371022)",4,,
173538329,True,Mount Street,tertiary,,False,56.182,"LINESTRING (151.2094191 -33.8391982, 151.2089553 -33.8391368, 151.2089181 -33.8391319, 151.2088186 -33.8391176)",,,
62202768,False,Mount Street,unclassified,40,False,162.82299999999998,"LINESTRING (151.2042665 -33.8384539, 151.2045666 -33.8384937, 151.2050941 -33.8385698, 151.2060024 -33.838709)",,,
172743731,False,Edward Street,residential,40,False,78.403,"LINESTRING (151.2042665 -33.8384539, 151.2042254 -33.8383695, 151.2040455 -33.8377739)",,,
"[1107021926, 48276750]",False,Edward Street,residential,,False,77.172,"LINESTRING (151.2042665 -33.8384539, 151.2041691 -33.8385018, 151.2041199 -33.8387335, 151.2040788 -33.8389275, 151.2040437 -33.8390927)",,,
4574806,True,William Street,residential,40,False,88.308,"LINESTRING (151.2060024 -33.838709, 151.2060229 -33.8386309, 151.2061429 -33.8380455, 151.2061617 -33.838021, 151.2062209 -33.837944)",,,
62202768,False,Mount Street,unclassified,40,False,49.269999999999996,"LINESTRING (151.2060024 -33.838709, 151.206061 -33.8387211, 151.206525 -33.8387977)",,,
62202768,False,Mount Street,unclassified,40,True,162.823,"LINESTRING (151.2060024 -33.838709, 151.2050941 -33.8385698, 151.2045666 -33.8384937, 151.2042665 -33.8384539)",,,
"[172903347, 942233885]",False,West Street,tertiary,50,True,53.339,"LINESTRING (151.2048169 -33.8336935, 151.2048709 -33.8336815, 151.2051408 -33.8335522, 151.2052415 -33.8335052, 151.2052758 -33.8334778, 151.2052957 -33.8334425)",,,
"[1162947569, 1162947574, 1162947567]",True,Pacific Highway,primary,60,False,76.836,"LINESTRING (151.2048169 -33.8336935, 151.2048405 -33.8338246, 151.2048588 -33.8339349, 151.2049516 -33.8343191, 151.2049638 -33.8343734)","['2', '3']",,
9921934,False,McLaren Street,tertiary,40,False,176.88099999999997,"LINESTRING (151.2076772 -33.8348334, 151.2075892 -33.8348215, 151.2075613 -33.8348177, 151.2065598 -33.834663, 151.2061162 -33.8345939, 151.2059029 -33.8345634, 151.205794 -33.8345448)",4,,
"[608805672, 2063590]",False,Miller Street,secondary,40,True,223.445,"LINESTRING (151.2076772 -33.8348334, 151.2076632 -33.8349163, 151.2076582 -33.8349408, 151.2075898 -33.8352746, 151.2073971 -33.8361502, 151.2072932 -33.8367157, 151.2072868 -33.8367466, 151.2072726 -33.8368144)",4,,
"[693726688, 172903346]",False,Miller Street,secondary,40,False,222.017,"LINESTRING (151.2076772 -33.8348334, 151.2076933 -33.8347539, 151.2076972 -33.8347351, 151.2077204 -33.8346367, 151.2077537 -33.834481, 151.2077922 -33.8342964, 151.2079102 -33.8337246, 151.2079701 -33.8334354, 151.2080055 -33.8332574, 151.2080654 -33.832969, 151.2080713 -33.8329406, 151.2080876 -33.8328661)",4,,
693726689,False,McLaren Street,tertiary,40,True,133.362,"LINESTRING (151.2076772 -33.8348334, 151.2077758 -33.834848, 151.2078126 -33.8348539, 151.2086679 -33.83499, 151.2090955 -33.8350581)",2,,
133144173,True,Pacific Highway,primary,60,False,41.551,"LINESTRING (151.2062209 -33.837944, 151.2061583 -33.8378149, 151.2060744 -33.837591)",4,,
781068627,True,Mount Street,primary,,False,42.593,"LINESTRING (151.2102514 -33.8392763, 151.210529 -33.8393081, 151.2107079 -33.8393306)",3,yes,
2035327,False,Ridge Street,residential,50,True,110.94800000000002,"LINESTRING (151.2080876 -33.8328661, 151.2079701 -33.8328507, 151.2079371 -33.8328459, 151.2077728 -33.8328219, 151.2073783 -33.8327635, 151.2072188 -33.8327414, 151.2071114 -33.8327233, 151.2069045 -33.8326939)",,,
"[693726688, 172903346]",False,Miller Street,secondary,40,True,222.01700000000002,"LINESTRING (151.2080876 -33.8328661, 151.2080713 -33.8329406, 151.2080654 -33.832969, 151.2080055 -33.8332574, 151.2079701 -33.8334354, 151.2079102 -33.8337246, 151.2077922 -33.8342964, 151.2077537 -33.834481, 151.2077204 -33.8346367, 151.2076972 -33.8347351, 151.2076933 -33.8347539, 151.2076772 -33.8348334)",4,,
"[46978588, 504205021]",False,Ridge Street,residential,50,False,76.374,"LINESTRING (151.2080876 -33.8328661, 151.2082085 -33.8328837, 151.2082414 -33.8328887, 151.2083919 -33.8329118, 151.2089013 -33.8329882)",,,
6111030,False,Church Street,tertiary,40,True,131.508,"LINESTRING (151.205794 -33.8345448, 151.2057893 -33.8344527, 151.2057683 -33.8343974, 151.2056503 -33.8341716, 151.2053254 -33.8335035, 151.2052957 -33.8334425)",,,
9921934,False,McLaren Street,tertiary,40,True,176.88099999999997,"LINESTRING (151.205794 -33.8345448, 151.2059029 -33.8345634, 151.2061162 -33.8345939, 151.2065598 -33.834663, 151.2075613 -33.8348177, 151.2075892 -33.8348215, 151.2076772 -33.8348334)",4,,
"[1162944159, 1162947575]",True,McLaren Street,tertiary,,False,39.513,"LINESTRING (151.205794 -33.8345448, 151.2056545 -33.8345549, 151.2053719 -33.8345098)",2,,
133116363,True,Pacific Highway,primary,60,False,41.141999999999996,"LINESTRING (151.2058624 -33.8370236, 151.2057769 -33.8367956, 151.2057664 -33.8367677, 151.2057297 -33.8366704)",3,,
499463592,True,,primary,60,False,35.477000000000004,"LINESTRING (151.2058624 -33.8370236, 151.2058798 -33.8369102, 151.2058336 -33.8367827, 151.2058298 -33.8367565, 151.2058427 -33.8367126)",1,,
6111352,False,Doohat Avenue,residential,40,False,42.078,"LINESTRING (151.2054094 -33.8358449, 151.205342 -33.835861, 151.204972 -33.8359507)",,,
1162944162,True,Pacific Highway,primary,60,False,96.02399999999999,"LINESTRING (151.2054094 -33.8358449, 151.2051318 -33.8351295, 151.2051201 -33.8351012, 151.2050875 -33.8350238)",,,
6111352,False,Doohat Avenue,residential,40,True,44.108999999999995,"LINESTRING (151.2045118 -33.8360567, 151.2048776 -33.8359724, 151.204972 -33.8359507)",,,
6111352,False,Doohat Avenue,residential,40,False,44.108999999999995,"LINESTRING (151.204972 -33.8359507, 151.2048776 -33.8359724, 151.2045118 -33.8360567)",,,
6111352,False,Doohat Avenue,residential,40,True,42.078,"LINESTRING (151.204972 -33.8359507, 151.205342 -33.835861, 151.2054094 -33.8358449)",,,
554782081,False,Doohat Lane,residential,40,False,44.316,"LINESTRING (151.204972 -33.8359507, 151.2049944 -33.8360124, 151.2051108 -33.8363322)",,,
2035355,True,Arthur Street,primary,40,False,198.75199999999998,"LINESTRING (151.2098215 -33.837187, 151.2099023 -33.8372303, 151.2099856 -33.8372788, 151.2100209 -33.8373022, 151.2100593 -33.8373332, 151.2100987 -33.8373711, 151.2101349 -33.8374278, 151.2101723 -33.8374958, 151.2101892 -33.8375391, 151.2102 -33.8375907, 151.2102056 -33.8376474, 151.2102096 -33.8377097, 151.2102077 -33.8377618, 151.2101744 -33.8380738, 151.2101623 -33.8383128, 151.2101411 -33.8384948, 151.2100788 -33.8388384)",3,,
