osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,width
488859263,True,1,Lowe Street,tertiary,50,False,18.659,"LINESTRING (149.229627 -35.3510436, 149.2296287 -35.3508758)",,,
5170600,False,,Campbell Street,residential,50,False,47.891,"LINESTRING (149.229627 -35.3510436, 149.2295789 -35.3510756, 149.2295082 -35.3511227, 149.2294546 -35.3512802, 149.229425 -35.3514203)",,,
4928363,False,2,Campbell Street,tertiary,50,False,29.487,"LINESTRING (149.2296287 -35.3508758, 149.229637 -35.3506107)",,,
"[5057817, 5057687]",True,1,Lowe Street,tertiary,50,False,210.05700000000002,"LINESTRING (149.2296287 -35.3508758, 149.2297092 -35.3509386, 149.2297937 -35.3510535, 149.2308061 -35.3524154, 149.2308412 -35.352481)",,,
4928363,False,2,Campbell Street,tertiary,50,True,52.137,"LINESTRING (149.2297049 -35.3501451, 149.229637 -35.3506107)",,,
4928363,False,2,Campbell Street,tertiary,50,False,101.86,"LINESTRING (149.2297049 -35.3501451, 149.229844 -35.3494842, 149.2298993 -35.3492752, 149.2299083 -35.3492444)",,,
4928363,False,2,Campbell Street,tertiary,50,True,101.85999999999999,"LINESTRING (149.2299083 -35.3492444, 149.2298993 -35.3492752, 149.229844 -35.3494842, 149.2297049 -35.3501451)",,,
147080743,True,2,Monaro Street,primary,50,False,10.211,"LINESTRING (149.2320658 -35.3543983, 149.2321626 -35.3543514)",B52,,
443030902,True,1,Lowe Street,tertiary,50,False,219.979,"LINESTRING (149.2320658 -35.3543983, 149.2320151 -35.3543348, 149.2317518 -35.3539907, 149.2310693 -35.3530281, 149.2310143 -35.3528591, 149.2309753 -35.3528028, 149.2309345 -35.3527603, 149.2308603 -35.3526917)",,,
4928429,True,1,Monaro Street,primary,50,False,43.198,"LINESTRING (149.2359938 -35.3525593, 149.2356146 -35.3527944)",B52,,
4928438,True,2,Farrer Place,primary,50,False,10.209,"LINESTRING (149.2322286 -35.3544392, 149.2321296 -35.3544829)",B52,,
6906468,True,1,Lowe Street,secondary,,False,216.65499999999997,"LINESTRING (149.2322286 -35.3544392, 149.2322649 -35.3544947, 149.2325252 -35.3548863, 149.2325762 -35.3549607, 149.2328287 -35.3552974, 149.2329454 -35.3554614, 149.2332885 -35.3559613, 149.233331 -35.3560132, 149.2333865 -35.356059, 149.2334621 -35.3560939)",,,
"[5057680, 666910473, 666910489]",True,"['1', '2']",Morisset Street,tertiary,50,False,216.327,"LINESTRING (149.2373739 -35.3493788, 149.2371677 -35.3495152, 149.2367251 -35.3497348, 149.2362712 -35.3499941, 149.2361014 -35.3500922, 149.2358273 -35.3502304, 149.2355725 -35.3503462, 149.2355158 -35.3503817, 149.2354691 -35.3504208, 149.2354197 -35.3504793)",,,
5057678,True,2,,tertiary,50,False,22.218,"LINESTRING (149.2353034 -35.3503256, 149.2353363 -35.3503354, 149.2353657 -35.3503509, 149.2353902 -35.3503713, 149.2354085 -35.3503956, 149.2354199 -35.3504226, 149.2354237 -35.3504509, 149.2354197 -35.3504793)",,roundabout,
"[488682308, 666910484, 666910479, 5057679]",True,"['1', '2']",Morisset Street,tertiary,50,False,216.324,"LINESTRING (149.2353034 -35.3503256, 149.2354018 -35.3503115, 149.2354701 -35.3502912, 149.2355316 -35.3502646, 149.2357388 -35.3501638, 149.2360448 -35.3500104, 149.236274 -35.3498661, 149.2366138 -35.3496965, 149.2371426 -35.3494627, 149.2373739 -35.3493788)",,,
5057678,True,2,,tertiary,50,False,4.4670000000000005,"LINESTRING (149.2354197 -35.3504793, 149.2354124 -35.3504985, 149.2354015 -35.3505165)",,roundabout,
5057678,True,2,,tertiary,50,False,6.093,"LINESTRING (149.2352367 -35.3503241, 149.2352589 -35.350322, 149.2352813 -35.3503225, 149.2353034 -35.3503256)",,roundabout,
5057678,True,2,,tertiary,50,False,6.3759999999999994,"LINESTRING (149.2351092 -35.350434, 149.2351152 -35.350412, 149.2351202 -35.3503982, 149.235132 -35.3503802)",,roundabout,
5057678,True,2,,tertiary,50,False,18.645,"LINESTRING (149.2352049 -35.3505694, 149.2351773 -35.3505571, 149.235159 -35.3505455, 149.2351388 -35.3505272, 149.2351233 -35.3505061, 149.235113 -35.3504829, 149.2351082 -35.3504586, 149.2351092 -35.350434)",,roundabout,
"[666909568, 5057766]",True,"['2', '3']",Morisset Street,tertiary,50,False,167.089,"LINESTRING (149.2352049 -35.3505694, 149.2351252 -35.3505879, 149.2351073 -35.3505944, 149.2350367 -35.3506202, 149.2346506 -35.350798, 149.2343459 -35.3509467, 149.2340943 -35.3510697, 149.2337964 -35.3512152, 149.2336046 -35.3513088)",,,
5057686,True,1,,tertiary,50,False,7.579000000000001,"LINESTRING (149.2308412 -35.352481, 149.2308862 -35.3524827, 149.2309221 -35.3524941)",,roundabout,
5057686,True,1,,tertiary,50,False,12.300999999999998,"LINESTRING (149.2309716 -35.3526363, 149.2309436 -35.3526651, 149.2309231 -35.3526772, 149.2308603 -35.3526917)",,roundabout,
"[5057688, 667138832, 667138833]",True,"['1', '3']",Lowe Street,tertiary,50,False,219.27599999999998,"LINESTRING (149.2309716 -35.3526363, 149.2310193 -35.3527216, 149.2315403 -35.3534767, 149.2317246 -35.3537466, 149.2318844 -35.3539874, 149.232098 -35.3542602, 149.2321165 -35.3542838, 149.2321626 -35.3543514)",,,
443030774,True,2,Lowe Street,secondary,50,False,11.452,"LINESTRING (149.2321626 -35.3543514, 149.2322286 -35.3544392)",,,
"[667113202, 443030775]",True,"['2', '4']",Monaro Street,primary,50,False,228.15899999999996,"LINESTRING (149.2321626 -35.3543514, 149.2322537 -35.3543068, 149.2332409 -35.3538238, 149.2335525 -35.3536758, 149.2337501 -35.3535782, 149.234167 -35.3533793, 149.2341892 -35.3533687, 149.2343256 -35.3533036)",B52,,
5057686,True,1,,tertiary,50,False,11.082,"LINESTRING (149.2309221 -35.3524941, 149.2309667 -35.3525287, 149.2309867 -35.3525754)",,roundabout,
