osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction
7980072,Wharf Street,residential,50,False,False,289.28700000000003,"LINESTRING (150.1299086 -36.2159623, 150.1298898 -36.2159033, 150.1298618 -36.2158231, 150.1298487 -36.2157656, 150.1298438 -36.2157183, 150.1298506 -36.2156802, 150.1298687 -36.2156244, 150.1299235 -36.2155688, 150.1300242 -36.2155129, 150.1301294 -36.2154764, 150.1302653 -36.2154586, 150.1304118 -36.2154507, 150.1305493 -36.2154712, 150.1307432 -36.2155341, 150.1309549 -36.2156388, 150.1311564 -36.2157728, 150.1313659 -36.2159086, 150.1316121 -36.2160671, 150.1318515 -36.2162334, 150.1321991 -36.2164351)",,,,
15091276,Campbell Street,trunk,50,False,False,131.09300000000002,"LINESTRING (150.1299086 -36.2159623, 150.1299604 -36.2159561, 150.1300392 -36.2159639, 150.1300921 -36.2159816, 150.1301417 -36.2160029, 150.1303304 -36.2161118, 150.1304841 -36.2162127, 150.1309002 -36.2164911, 150.1310908 -36.2166157)",2,A1,,
384469572,Princes Highway,trunk,50,False,True,53.093,"LINESTRING (150.1299086 -36.2159623, 150.1298449 -36.215981, 150.1298001 -36.2160049, 150.1297615 -36.2160346, 150.1297257 -36.2160747, 150.1297079 -36.2161023, 150.1296939 -36.216132, 150.1296815 -36.2161686, 150.1296744 -36.2162108, 150.1296597 -36.2163539)",2,A1,,
15091274,Wagonga Street,trunk,50,False,False,61.83,"LINESTRING (150.1323139 -36.217521, 150.1323485 -36.2176061, 150.1323674 -36.2176673, 150.1323729 -36.2177548, 150.1323667 -36.2178526, 150.1323193 -36.2180671)",2,A1,,
15091276,Campbell Street,trunk,50,False,True,149.787,"LINESTRING (150.1323139 -36.217521, 150.1322387 -36.2174201, 150.1321498 -36.2173318, 150.1320679 -36.2172615, 150.1319604 -36.2171876, 150.1315662 -36.21693, 150.1310908 -36.2166157)",2,A1,,
15091274,Wagonga Street,trunk,50,False,False,5.083,"LINESTRING (150.1322863 -36.2184098, 150.1322917 -36.2184553)",2,A1,,
"[10564660, 580838349]","['Wagonga Street', 'Bowen Street']",unclassified,50,False,"[False, True]",202.991,"LINESTRING (150.1322863 -36.2184098, 150.1321572 -36.2182832, 150.1320499 -36.2175971, 150.1320139 -36.2175118, 150.1319588 -36.2174716, 150.1318678 -36.2174585, 150.1313262 -36.2175029, 150.1310805 -36.217523, 150.1309481 -36.2175169)",,,,
15091274,Wagonga Street,trunk,50,False,True,38.337,"LINESTRING (150.1322863 -36.2184098, 150.1322839 -36.2183182, 150.1322922 -36.2181941, 150.1323193 -36.2180671)",2,A1,,
15091274,Wagonga Street,trunk,50,False,True,69.97,"LINESTRING (150.1325795 -36.219906, 150.1324427 -36.2192865)",2,A1,,
5551742,Tilba Street,residential,50,False,False,200.03,"LINESTRING (150.1325795 -36.219906, 150.1326927 -36.2198966, 150.132862 -36.2198998, 150.1333179 -36.2199594, 150.1347836 -36.220151)",,,,
