osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref,junction
1027717614,Turton Street,residential,False,False,8.135,,"LINESTRING (138.4859359 -34.8392947, 138.4859542 -34.8392231)",,,
181066473,Turton Street,residential,False,True,173.64000000000001,2,"LINESTRING (138.4859359 -34.8392947, 138.4859099 -34.8393922, 138.4855366 -34.8408215)",,,
1027717608,Semaphore Road,secondary,True,False,58.016,1,"LINESTRING (138.4886984 -34.8398121, 138.4880782 -34.8396976)",50,,
166235516,Swan Terrace,residential,False,True,149.981,2,"LINESTRING (138.4886984 -34.8398121, 138.4886794 -34.8398826, 138.4883767 -34.8411348)",50,,
1027717607,Swan Terrace,residential,False,False,7.892,2,"LINESTRING (138.4886984 -34.8398121, 138.4887101 -34.8397645, 138.4887159 -34.8397426)",50,,
"[86480718, 1027717593, 32486998]",Semaphore Road,secondary,True,False,130.289,1,"LINESTRING (138.4916074 -34.8403601, 138.4914762 -34.8403028, 138.491077 -34.840237, 138.4908903 -34.8402115, 138.490835 -34.8402043, 138.4907486 -34.8401888, 138.4903507 -34.8401165, 138.4902232 -34.8400933)",50,,
55444149,Montpelier Street,residential,False,True,154.505,2,"LINESTRING (138.4916074 -34.8403601, 138.4915903 -34.8404233, 138.4915815 -34.8404583, 138.4912468 -34.8417177)",50,,
579648014,Mead Street,residential,False,True,14.452,,"LINESTRING (138.4941536 -34.8406514, 138.4941671 -34.8407809)",50,,
273030110,Mead Street,residential,False,False,76.775,,"LINESTRING (138.4941536 -34.8406514, 138.4941465 -34.8406192, 138.494034 -34.8401121, 138.494003 -34.8399721)",50,,
"[782101946, 579648015]",Semaphore Road,primary,True,False,122.64699999999999,2,"LINESTRING (138.4941536 -34.8406514, 138.4945167 -34.8406054, 138.4945818 -34.8405912, 138.4947662 -34.8405511, 138.4950359 -34.8404821, 138.4952964 -34.8404101, 138.4954513 -34.8403741)",60,A16,
273030110,Mead Street,residential,False,False,48.208,,"LINESTRING (138.4935248 -34.837845, 138.4934421 -34.8374168)",50,,
273030110,Mead Street,residential,False,True,119.451,,"LINESTRING (138.4935248 -34.837845, 138.4937617 -34.8389015)",50,,
7733229,Harris Street,residential,False,True,57.659,,"LINESTRING (138.4935248 -34.837845, 138.4931376 -34.8379024, 138.4930697 -34.8379125, 138.4930168 -34.8379204, 138.492943 -34.8379313, 138.4929031 -34.8379372)",50,,
5723292,Rose Street,residential,False,False,66.013,2,"LINESTRING (138.4931252 -34.8359554, 138.4938368 -34.8358491)",50,,
273030110,Mead Street,residential,False,True,165.054,,"LINESTRING (138.4931252 -34.8359554, 138.4934421 -34.8374168)",50,,
273030110,Mead Street,residential,False,False,108.432,,"LINESTRING (138.4931252 -34.8359554, 138.493029 -34.8355366, 138.4929099 -34.8349964)",50,,
5723290,Hughes Street,residential,False,False,64.746,,"LINESTRING (138.4937617 -34.8389015, 138.4944575 -34.8387879)",50,,
273030110,Mead Street,residential,False,False,119.451,,"LINESTRING (138.4937617 -34.8389015, 138.4935248 -34.837845)",50,,
273030110,Mead Street,residential,False,True,95.423,,"LINESTRING (138.4937617 -34.8389015, 138.4939528 -34.8397452)",50,,
5723291,Darton Street,residential,False,False,65.543,,"LINESTRING (138.4934421 -34.8374168, 138.4941506 -34.8373205)",50,,
273030110,Mead Street,residential,False,False,165.054,,"LINESTRING (138.4934421 -34.8374168, 138.4931252 -34.8359554)",50,,
273030110,Mead Street,residential,False,True,48.208,,"LINESTRING (138.4934421 -34.8374168, 138.4935248 -34.837845)",50,,
5723290,Hughes Street,residential,False,False,59.703,,"LINESTRING (138.4944575 -34.8387879, 138.495102 -34.8386959)",50,,
5723290,Hughes Street,residential,False,True,64.746,,"LINESTRING (138.4944575 -34.8387879, 138.4937617 -34.8389015)",50,,
5723293,Emily Street,residential,False,False,122.476,,"LINESTRING (138.4944575 -34.8387879, 138.4946865 -34.8398732)",50,,
5723293,Emily Street,residential,False,True,165.554,,"LINESTRING (138.4944575 -34.8387879, 138.4941506 -34.8373205)",50,,
5723290,Hughes Street,residential,False,False,63.822,,"LINESTRING (138.495102 -34.8386959, 138.4957917 -34.8386011)",50,,
5723290,Hughes Street,residential,False,True,59.703,,"LINESTRING (138.495102 -34.8386959, 138.4944575 -34.8387879)",50,,
711806499,Roberts Street,residential,False,False,165.598,2,"LINESTRING (138.495102 -34.8386959, 138.4947944 -34.8372282)",50,,
