osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction
219048291,True,2,A300,Barker Street,trunk,60,False,13.226,"LINESTRING (144.2166433 -37.0667505, 144.2166278 -37.0668688)",,
784212124,True,,B180,Forest Street,primary,,False,93.297,"LINESTRING (144.2166433 -37.0667505, 144.2167444 -37.0667612, 144.2176837 -37.0668721)",,
201104827,True,1,,Forest Street,residential,,False,16.537,"LINESTRING (144.222706 -37.0675988, 144.2228324 -37.0674895)",,
219077508,False,,B180,Duke Street,primary,,True,12.947,"LINESTRING (144.222706 -37.0675988, 144.222814 -37.0676771)",,
219077508,False,,B180,Duke Street,primary,,False,41.946,"LINESTRING (144.222706 -37.0675988, 144.2226343 -37.0675535, 144.2225589 -37.0675155, 144.2224853 -37.0674847, 144.2223978 -37.0674569, 144.2222868 -37.0674334)",,
29475493,False,,,,primary_link,,False,11.536,"LINESTRING (144.2176704 -37.0669753, 144.2176837 -37.0668721)",,
784212123,True,2,B180,Forest Street,primary,,False,93.26100000000001,"LINESTRING (144.2176704 -37.0669753, 144.2167647 -37.0668828, 144.2167246 -37.0668787, 144.2166278 -37.0668688)",,
1041357577,False,,,Hargraves Street,residential,,True,11.396,"LINESTRING (144.2193929 -37.0658578, 144.219369 -37.0659585)",,
219064774,True,1,,Mostyn Street,tertiary,,False,20.144,"LINESTRING (144.2193929 -37.0658578, 144.2195327 -37.0658741, 144.2196177 -37.0658831)",,
315705885,False,,,Hargraves Street,residential,,False,119.90800000000002,"LINESTRING (144.2193929 -37.0658578, 144.2194025 -37.0658049, 144.2194463 -37.0655633, 144.2195296 -37.0651041, 144.219572 -37.0648526, 144.2195823 -37.0647901)",,
31929285,False,,,Urquhart Street,residential,,True,122.11900000000001,"LINESTRING (144.2219658 -37.0662054, 144.221987 -37.066098, 144.222158 -37.0651489, 144.2221604 -37.0651183)",,
403057877,False,1,,Mostyn Street,tertiary,,True,79.58200000000001,"LINESTRING (144.2219658 -37.0662054, 144.2218335 -37.066188, 144.2218128 -37.0661857, 144.2210779 -37.0661043)",,
682034204,False,1,,Mostyn Street,residential,,False,237.861,"LINESTRING (144.2219658 -37.0662054, 144.2220625 -37.0662194, 144.2245463 -37.0664976, 144.2246198 -37.0665068)",,
682034213,False,,,Urquhart Street,tertiary,,False,131.73,"LINESTRING (144.2219658 -37.0662054, 144.2219415 -37.066348, 144.2217855 -37.0672648, 144.221766 -37.0673793)",,
219064594,True,1,,Mostyn Street,tertiary,,False,14.946,"LINESTRING (144.2168447 -37.0655746, 144.2170114 -37.0655939)",,
219064601,False,2,A300,Barker Street,trunk,,False,11.923,"LINESTRING (144.2168447 -37.0655746, 144.2168291 -37.0656811)",,
24926116,False,,,Andrew Street,residential,,False,123.96000000000001,"LINESTRING (144.2247709 -37.065399, 144.2247672 -37.0654569, 144.224757 -37.0656172, 144.2246198 -37.0665068)",,
175517662,False,,,Lyttleton Street,residential,,True,226.06400000000002,"LINESTRING (144.2247709 -37.065399, 144.2238895 -37.0653031, 144.2232177 -37.0652058, 144.2222579 -37.0650667)",,
24926116,False,,,Andrew Street,residential,,True,141.931,"LINESTRING (144.2241085 -37.0689159, 144.2241516 -37.0688847, 144.2241725 -37.0688455, 144.2242069 -37.0687376, 144.2242276 -37.0686385, 144.224395 -37.0676721)",,
28968173,False,2,B180,Duke Street,primary,,False,179.416,"LINESTRING (144.2241085 -37.0689159, 144.2239402 -37.0687769, 144.2236571 -37.068504, 144.2235103 -37.0683603, 144.222814 -37.0676771)",,
24926116,False,,,Andrew Street,residential,,False,131.102,"LINESTRING (144.2246198 -37.0665068, 144.224395 -37.0676721)",,
24926116,False,,,Andrew Street,residential,,True,123.96000000000001,"LINESTRING (144.2246198 -37.0665068, 144.224757 -37.0656172, 144.2247672 -37.0654569, 144.2247709 -37.065399)",,
682034204,False,1,,Mostyn Street,residential,,True,237.861,"LINESTRING (144.2246198 -37.0665068, 144.2245463 -37.0664976, 144.2220625 -37.0662194, 144.2219658 -37.0662054)",,
26492329,False,,,Fletcher Street,residential,,False,104.525,"LINESTRING (144.2248991 -37.0638613, 144.2250153 -37.0637117, 144.2250959 -37.063549, 144.2251013 -37.0635203, 144.2252049 -37.0629664)",,
219735427,False,,,Campbell Street,trunk,,False,9.891,"LINESTRING (144.2174484 -37.0621147, 144.2173378 -37.0621036)",,
682034223,True,2,A300,Barker Street,trunk,,False,132.68,"LINESTRING (144.2174484 -37.0621147, 144.217242 -37.0632965)",,
26492332,False,,,Campbell Street,residential,,True,228.07,"LINESTRING (144.2174484 -37.0621147, 144.2175002 -37.0621221, 144.2198925 -37.0623715, 144.2199967 -37.0623824)",,
