osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction
36927877,Peel Street,residential,50,False,False,113.272,,"LINESTRING (148.1143379 -30.021225, 148.1145078 -30.020217)",
801405088,Kamilaroi Highway,primary,,False,True,125.075,B76,"LINESTRING (148.1143379 -30.021225, 148.1156241 -30.0213832)",
36927877,Peel Street,residential,50,False,True,234.076,,"LINESTRING (148.1143379 -30.021225, 148.1141603 -30.0222861, 148.1139882 -30.0233082)",
36927877,Peel Street,residential,50,False,True,115.272,,"LINESTRING (148.1139882 -30.0233082, 148.1138201 -30.0243346)",
36927877,Peel Street,residential,50,False,False,234.076,,"LINESTRING (148.1139882 -30.0233082, 148.1141603 -30.0222861, 148.1143379 -30.021225)",
172280298,Euroka Street,residential,,False,False,227.405,,"LINESTRING (148.1139882 -30.0233082, 148.1141484 -30.023304, 148.116327 -30.0235798)",
250066990,Pitt Street,residential,,False,True,123.154,,"LINESTRING (148.1191835 -30.0186531, 148.118979 -30.0197464)",
451954154,Keepit Street,residential,,False,True,185.745,,"LINESTRING (148.1191835 -30.0186531, 148.1172721 -30.0184266)",
30324144,Warrena Street,residential,,False,False,183.928,,"LINESTRING (148.118979 -30.0197464, 148.1170973 -30.0194609)",
250066990,Pitt Street,residential,,False,False,123.154,,"LINESTRING (148.118979 -30.0197464, 148.1191835 -30.0186531)",
250066990,Pitt Street,residential,,False,True,118.285,,"LINESTRING (148.118979 -30.0197464, 148.1188104 -30.0208001)",
"[30324144, 30324161]","['Namoi Street', 'Warrena Street']",residential,,False,True,346.646,,"LINESTRING (148.118979 -30.0197464, 148.1213375 -30.0200543, 148.1211641 -30.0210958)",
72539913,Wee Waa Street,residential,,False,False,177.955,,"LINESTRING (148.1186403 -30.0218127, 148.1168186 -30.0215418)",
72539913,Wee Waa Street,residential,,False,True,232.863,,"LINESTRING (148.1186403 -30.0218127, 148.1210391 -30.0220807)",
250066990,Pitt Street,residential,,False,False,113.781,,"LINESTRING (148.1186403 -30.0218127, 148.1188104 -30.0208001)",
250066990,Pitt Street,residential,,False,True,122.274,,"LINESTRING (148.1186403 -30.0218127, 148.1184635 -30.022848, 148.1184545 -30.0229005)",
30324161,Namoi Street,residential,,False,False,110.175,,"LINESTRING (148.1210391 -30.0220807, 148.1211641 -30.0210958)",
30324161,Namoi Street,residential,,False,True,123.227,,"LINESTRING (148.1210391 -30.0220807, 148.1208633 -30.0231784)",
72539913,Wee Waa Street,residential,,False,False,232.863,,"LINESTRING (148.1210391 -30.0220807, 148.1186403 -30.0218127)",
36927876,Keepit Street,residential,,False,False,231.189,,"LINESTRING (148.1124849 -30.0178464, 148.1148583 -30.0181619)",
36927876,Keepit Street,residential,,False,False,227.272,,"LINESTRING (148.1148583 -30.0181619, 148.1171943 -30.0184558)",
36927876,Keepit Street,residential,,False,True,231.189,,"LINESTRING (148.1148583 -30.0181619, 148.1124849 -30.0178464)",
36927877,Peel Street,residential,50,False,True,112.418,,"LINESTRING (148.1148583 -30.0181619, 148.1146731 -30.0191601)",
36927877,Peel Street,residential,50,False,False,115.055,,"LINESTRING (148.1136551 -30.0253594, 148.1138201 -30.0243346)",
36927877,Peel Street,residential,50,False,True,107.466,,"LINESTRING (148.1136551 -30.0253594, 148.1134757 -30.0263133)",
172280305,Arthur Street,residential,,False,True,225.482,,"LINESTRING (148.1136551 -30.0253594, 148.1159746 -30.0256405)",
30324144,Warrena Street,residential,,False,True,228.885,,"LINESTRING (148.1146731 -30.0191601, 148.1170268 -30.0194495)",
36927877,Peel Street,residential,50,False,False,112.418,,"LINESTRING (148.1146731 -30.0191601, 148.1148583 -30.0181619)",
36927877,Peel Street,residential,50,False,True,118.595,,"LINESTRING (148.1146731 -30.0191601, 148.1145078 -30.020217)",
801405088,Kamilaroi Highway,primary,,False,False,125.075,B76,"LINESTRING (148.1156241 -30.0213832, 148.1143379 -30.021225)",
801405088,Kamilaroi Highway,primary,,False,True,95.023,B76,"LINESTRING (148.1156241 -30.0213832, 148.1165997 -30.0215126)",
"[172280290, 1050174084]","['Neilly Lane', 'Neilly Street']",residential,,False,False,157.672,,"LINESTRING (148.1156241 -30.0213832, 148.1157594 -30.0204559, 148.115784 -30.0204071, 148.1158431 -30.0203858, 148.116272 -30.0204352)",
172280305,Arthur Street,residential,,False,False,185.821,,"LINESTRING (148.1179526 -30.0259208, 148.1160479 -30.0256503)",
250066990,Pitt Street,residential,,False,False,112.558,,"LINESTRING (148.1179526 -30.0259208, 148.1181095 -30.0249177)",
172280305,Arthur Street,residential,,False,True,228.316,,"LINESTRING (148.1179526 -30.0259208, 148.1189308 -30.0260415, 148.1203008 -30.0262083)",
