osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,junction,width
54928389,C362,Kyabram - Rochester Road,secondary,False,False,137.983,"LINESTRING (144.7023876 -36.3592742, 144.7013775 -36.3583371)",,,,,
784798616,C362,Kyabram - Rochester Road,secondary,False,True,39.743,"LINESTRING (144.7023876 -36.3592742, 144.7026745 -36.3595469)",,,,,
53083752,,Mackay Street,residential,False,False,291.041,"LINESTRING (144.7023876 -36.3592742, 144.7024704 -36.3592147, 144.7025248 -36.3591756, 144.7036457 -36.3568772)",,,,,
1230985405,C362,Kyabram - Rochester Road,secondary,False,True,16.561,"LINESTRING (144.6974163 -36.356938, 144.6975915 -36.3569857)",,,,,
461983876,C362,Kyabram - Rochester Road,secondary,True,False,27.442999999999998,"LINESTRING (144.6974163 -36.356938, 144.6972264 -36.3569386, 144.6971099 -36.3569413)",1,,,,
547643095,B75,Moore Street,primary,False,False,8.064,"LINESTRING (144.7000179 -36.3609318, 144.7000683 -36.3608717)",,,,,
152941314,B75,Mary Street,primary,True,False,34.753,"LINESTRING (144.7000179 -36.3609318, 144.6998838 -36.3608581, 144.6997106 -36.3607415)",1,50,,,
784797478,,Campaspe Street,residential,True,False,31.519999999999996,"LINESTRING (144.7032037 -36.3603672, 144.7031191 -36.3602778, 144.7029712 -36.360155)",,,,,
"[54928396, 775186519]",,Mackay Street,secondary,False,"[False, True]",154.69799999999998,"LINESTRING (144.7023487 -36.3600486, 144.7022675 -36.3600651, 144.7021971 -36.360095, 144.7021186 -36.3601536, 144.7020556 -36.360212, 144.7019853 -36.3603499, 144.7018577 -36.3606216, 144.7018313 -36.3606778, 144.7017492 -36.360864, 144.7015145 -36.3612153)",,,,,
784797477,,Mackay Street,secondary,True,False,14.95,"LINESTRING (144.7023487 -36.3600486, 144.7024405 -36.360023, 144.7025103 -36.3600224)",,,,,
53083712,,Charles Street,residential,False,False,128.482,"LINESTRING (144.7021949 -36.3539633, 144.7008581 -36.3535438)",,,,,
1230985406,,Ramsay Street,residential,False,False,232.25,"LINESTRING (144.7021949 -36.3539633, 144.7012355 -36.3559038)",,,,,
1230985407,C362,Kyabram - Rochester Road,secondary,False,False,129.639,"LINESTRING (144.700271 -36.3578546, 144.6989281 -36.3574191)",,,,,
51474532,,Ramsay Street,residential,False,False,250.681,"LINESTRING (144.700271 -36.3578546, 144.7001072 -36.3581839, 144.6996491 -36.3591046, 144.6992572 -36.3599558)",,,,,
54928389,C362,Kyabram - Rochester Road,secondary,False,True,77.60300000000001,"LINESTRING (144.700271 -36.3578546, 144.7008829 -36.3580447, 144.70106 -36.3581367)",,,,,
1230985406,,Ramsay Street,residential,False,True,233.483,"LINESTRING (144.700271 -36.3578546, 144.7003263 -36.3577449, 144.7012355 -36.3559038)",,,,,
51474573,,Echuca Road,residential,False,True,143.422,"LINESTRING (144.6971586 -36.3599057, 144.6971496 -36.3611955)",2,50,,,
