osmid,oneway,lanes,highway,reversed,length,ref,name,maxspeed,geometry,junction
1051485126,True,1,primary_link,False,11.235,,,,"LINESTRING (144.8862859 -37.8575285, 144.886274 -37.8576291)",
"[1156834119, 31999935]",True,2,primary,False,185.02899999999994,35,Kororoit Creek Road,60,"LINESTRING (144.8862859 -37.8575285, 144.8869578 -37.8575968, 144.8874359 -37.8576336, 144.8880229 -37.8576824, 144.8881477 -37.8576928, 144.8881943 -37.857689, 144.8882344 -37.8576773, 144.8882738 -37.8576581, 144.8883051 -37.8576383, 144.8883478 -37.8576073)",
55222347,True,2,primary,False,35.083,35,,60,"LINESTRING (144.8886119 -37.8575447, 144.888636 -37.8575628, 144.8886551 -37.8575843, 144.8886686 -37.8576084, 144.8886758 -37.8576341, 144.8886765 -37.8576603, 144.8886707 -37.8576862, 144.8886586 -37.8577107, 144.8886406 -37.8577328, 144.8886174 -37.8577517, 144.8885901 -37.8577667, 144.8885595 -37.8577771, 144.8885269 -37.8577827)",roundabout
179454357,True,2,primary,False,53.38799999999999,35,Ferguson Street,,"LINESTRING (144.8886119 -37.8575447, 144.8886772 -37.8575752, 144.8887417 -37.857613, 144.8888363 -37.857672, 144.8889016 -37.8577088, 144.8889611 -37.8577366, 144.8890511 -37.8577734, 144.8891246 -37.8577996)",
1051485127,True,1,tertiary,False,12.749,,Victoria Street,,"LINESTRING (144.8891246 -37.8577996, 144.8891539 -37.8579119)",
9636254,True,2,primary,False,62.815,35,Ferguson Street,60,"LINESTRING (144.8891246 -37.8577996, 144.889171 -37.857811, 144.8893274 -37.857848, 144.8893693 -37.8578555, 144.889392 -37.8578588, 144.8894576 -37.8578664, 144.8895342 -37.8578774, 144.8895921 -37.8578855, 144.8896616 -37.8578938, 144.889687 -37.8578939, 144.8897086 -37.8578927, 144.8897617 -37.8578827, 144.8898212 -37.8578671)",
54915657,True,,primary,False,11.448,35,,60,"LINESTRING (144.8898212 -37.8578671, 144.889838 -37.8578563, 144.8898568 -37.8578476, 144.8898771 -37.8578415, 144.8898983 -37.857838, 144.8899201 -37.8578371, 144.8899417 -37.8578391)",roundabout
18914408,True,,primary,False,14.28,35,,60,"LINESTRING (144.894014 -37.8583775, 144.8940328 -37.8583955, 144.894047 -37.8584159, 144.8940551 -37.8584346, 144.8940587 -37.8584505, 144.8940595 -37.8584763, 144.894056 -37.8584962)",roundabout
"[1127454881, 22790612]",True,,tertiary,False,84.97999999999999,35,Ferguson Street,40,"LINESTRING (144.894014 -37.8583775, 144.894138 -37.8584093, 144.8942507 -37.8584278, 144.8943699 -37.8584413, 144.8945068 -37.8584564, 144.8949652 -37.8585123)",
54915657,True,,primary,False,6.834,35,,60,"LINESTRING (144.8900184 -37.8580153, 144.8899988 -37.8580299, 144.8899759 -37.8580411, 144.8899536 -37.858048)",roundabout
13324297,False,4,primary,True,48.399,37,Melbourne Road,60,"LINESTRING (144.8933757 -37.8575934, 144.8931055 -37.857214)",
"[1127455081, 19792230]",True,2,primary,False,98.28399999999999,37,Melbourne Road,60,"LINESTRING (144.8933757 -37.8575934, 144.8935553 -37.8578313, 144.8937589 -37.8580807, 144.893964 -37.8583453)",
13324297,False,4,primary,False,42.457,37,Melbourne Road,60,"LINESTRING (144.8928765 -37.8568777, 144.8931055 -37.857214)",
18914408,True,,primary,False,16.781,35,,60,"LINESTRING (144.8940514 -37.8585068, 144.8940414 -37.8585161, 144.8940192 -37.8585275, 144.8939942 -37.8585345, 144.8939632 -37.8585393, 144.8939211 -37.8585395, 144.8938728 -37.858533)",roundabout
579788299,True,,tertiary,False,45.39,,Melbourne Road,50,"LINESTRING (144.8940514 -37.8585068, 144.8940757 -37.8586037, 144.894097 -37.8586618, 144.8941208 -37.8587144, 144.8942182 -37.8588915)",
23159910,False,,residential,True,102.357,,Vulcan Grove,,"LINESTRING (144.8929447 -37.8625377, 144.8930156 -37.8624966, 144.8938849 -37.8619933)",
133148468,False,,residential,False,156.825,,Railway Place,50,"LINESTRING (144.8929447 -37.8625377, 144.8934089 -37.8628975, 144.8940904 -37.863361, 144.8942795 -37.863473)",
133148468,False,,residential,True,80.72999999999999,,Railway Place,50,"LINESTRING (144.8929447 -37.8625377, 144.892585 -37.8622166, 144.8923486 -37.8619851)",
709782671,False,,residential,False,9.327,,Lenore Crescent,50,"LINESTRING (144.895484 -37.8585806, 144.8954739 -37.8586641)",
709782671,False,,residential,True,42.221,,Lenore Crescent,50,"LINESTRING (144.895484 -37.8585806, 144.8954509 -37.8582018)",
23159841,False,,residential,False,195.657,,Richard Street,50,"LINESTRING (144.893977 -37.8569444, 144.8949561 -37.858414, 144.8949674 -37.8584675, 144.8949652 -37.8585123)",
22790612,True,,tertiary,False,46.175,35,Ferguson Street,40,"LINESTRING (144.8949652 -37.8585123, 144.895484 -37.8585806)",
23159841,False,,residential,True,195.65699999999998,,Richard Street,50,"LINESTRING (144.8949652 -37.8585123, 144.8949674 -37.8584675, 144.8949561 -37.858414, 144.893977 -37.8569444)",
23159904,False,,residential,False,67.253,,Verdon Street,,"LINESTRING (144.8942749 -37.8608295, 144.8941823 -37.8607287, 144.8938253 -37.8603398)",
23159906,False,,residential,False,212.461,,Perry Street,,"LINESTRING (144.8942749 -37.8608295, 144.8924556 -37.8619059, 144.8924077 -37.8619413, 144.8923486 -37.8619851)",
23159906,False,,residential,True,125.45100000000001,,Perry Street,,"LINESTRING (144.8942749 -37.8608295, 144.8953338 -37.8602032, 144.8954186 -37.8601531)",
23159904,False,,residential,False,195.984,,Verdon Street,,"LINESTRING (144.8932793 -37.8597801, 144.8919444 -37.8583674)",
23159904,False,,residential,True,78.555,,Verdon Street,,"LINESTRING (144.8932793 -37.8597801, 144.8938253 -37.8603398)",
23159905,False,,residential,False,203.984,,Charles Street,,"LINESTRING (144.8932793 -37.8597801, 144.8931581 -37.859852, 144.8914651 -37.8608562, 144.8914216 -37.860882)",
23159905,False,,residential,True,203.984,,Charles Street,,"LINESTRING (144.8914216 -37.860882, 144.8914651 -37.8608562, 144.8931581 -37.859852, 144.8932793 -37.8597801)",
133148468,False,,residential,False,147.21,,Railway Place,50,"LINESTRING (144.8914216 -37.860882, 144.8920305 -37.8616195, 144.8923486 -37.8619851)",
133148468,False,,residential,True,298.912,,Railway Place,50,"LINESTRING (144.8914216 -37.860882, 144.8913438 -37.860786, 144.8912344 -37.860618, 144.890947 -37.8601423, 144.8906408 -37.8595964, 144.8903951 -37.8591407, 144.8901637 -37.8586657, 144.890033 -37.8584303)",
579788312,False,2,tertiary,True,175.457,,Melbourne Road,50,"LINESTRING (144.8954186 -37.8601531, 144.8942182 -37.8588915)",
23159906,False,,residential,False,125.45100000000001,,Perry Street,,"LINESTRING (144.8954186 -37.8601531, 144.8953338 -37.8602032, 144.8942749 -37.8608295)",
23159906,False,,residential,True,212.461,,Perry Street,,"LINESTRING (144.8923486 -37.8619851, 144.8924077 -37.8619413, 144.8924556 -37.8619059, 144.8942749 -37.8608295)",
133148468,False,,residential,False,80.72999999999999,,Railway Place,50,"LINESTRING (144.8923486 -37.8619851, 144.892585 -37.8622166, 144.8929447 -37.8625377)",
133148468,False,,residential,True,147.21,,Railway Place,50,"LINESTRING (144.8923486 -37.8619851, 144.8920305 -37.8616195, 144.8914216 -37.860882)",
23159910,False,,residential,False,102.357,,Vulcan Grove,,"LINESTRING (144.8938849 -37.8619933, 144.8930156 -37.8624966, 144.8929447 -37.8625377)",
133148468,False,,residential,True,156.825,,Railway Place,50,"LINESTRING (144.8942795 -37.863473, 144.8940904 -37.863361, 144.8934089 -37.8628975, 144.8929447 -37.8625377)",
200097426,True,2,primary,False,47.479,35,Ferguson Street,60,"LINESTRING (144.8890367 -37.85789, 144.888995 -37.8578782, 144.8888914 -37.857842, 144.8888441 -37.857821, 144.8887996 -37.8578037, 144.8887689 -37.8577915, 144.8887452 -37.8577846, 144.8887124 -37.8577785, 144.8886869 -37.8577757, 144.8886405 -37.8577776, 144.8885778 -37.8577817, 144.8885269 -37.8577827)",
23159932,True,1,tertiary,False,26.155,,Victoria Street,,"LINESTRING (144.8891529 -37.8581015, 144.8890957 -37.8580499, 144.8890666 -37.8579705, 144.8890509 -37.8579351, 144.8890367 -37.85789)",
1156843327,False,,tertiary,False,38.897,,Victoria Street,50,"LINESTRING (144.8891529 -37.8581015, 144.8892476 -37.8583639, 144.8892665 -37.8584394)",
39420582,False,,tertiary,False,25.572,,Victoria Street,50,"LINESTRING (144.8892412 -37.8588055, 144.8892041 -37.8590336)",
23159939,False,,residential,False,498.13500000000005,,Railway Crescent,,"LINESTRING (144.8892412 -37.8588055, 144.8892996 -37.8588133, 144.8894133 -37.8588298, 144.8894504 -37.8588508, 144.8894863 -37.8589194, 144.8899909 -37.8599559, 144.8903056 -37.8605125, 144.8905806 -37.8609524, 144.8908359 -37.8613145, 144.8911792 -37.8617265, 144.8917507 -37.8623639, 144.8918502 -37.8624566, 144.8919832 -37.8625806, 144.8920229 -37.8626176)",
"[39420582, 1156843327]",False,,tertiary,True,41.033,,Victoria Street,50,"LINESTRING (144.8892412 -37.8588055, 144.8892798 -37.8585609, 144.8892814 -37.8585363, 144.8892811 -37.8585062, 144.8892665 -37.8584394)",
