osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction,width
40342332,Bauhinia Street,residential,False,True,90.634,,,"LINESTRING (152.2759668 -27.5658236, 152.2750929 -27.5655702)",,,
579639575,Smith Street,residential,False,False,13.692,,,"LINESTRING (152.2741937 -27.5641234, 152.2743268 -27.5641586)",,,
794449190,Railway Street,primary,True,False,88.546,80,60,"LINESTRING (152.2741937 -27.5641234, 152.2744728 -27.5633665)",,,
763482608,Spencer Street,primary,True,False,19.055,80,60,"LINESTRING (152.2761635 -27.5587757, 152.2763348 -27.5586963)",,,
40428505,Spencer Street,tertiary,False,True,57.218999999999994,,,"LINESTRING (152.2761635 -27.5587757, 152.2758172 -27.5587856, 152.2757609 -27.5587879, 152.2756872 -27.5587844, 152.2755838 -27.5587764)",,,
40416515,Golf Links Drive,residential,False,False,10.926,,,"LINESTRING (152.2826127 -27.5581013, 152.2826657 -27.5581876)",,,
183520659,Eastern Drive,primary,True,False,91.267,80,60,"LINESTRING (152.2826127 -27.5581013, 152.2832259 -27.5578642, 152.283458 -27.5577667)",,,
40342331,Smith Street,residential,False,False,119.048,,,"LINESTRING (152.2743268 -27.5641586, 152.2754777 -27.5644831)",,,
579639575,Smith Street,residential,False,True,13.692,,,"LINESTRING (152.2743268 -27.5641586, 152.2741937 -27.5641234)",,,
555951474,Railway Street,primary,True,False,13.464,80,60,"LINESTRING (152.2763348 -27.5586963, 152.2762917 -27.5588112)",,,
"[40325585, 794449189]",Spencer Street,primary,True,False,237.473,80,60,"LINESTRING (152.2763348 -27.5586963, 152.2773642 -27.5586126, 152.2787337 -27.5585013)",,,
40419987,William Street,unclassified,True,False,14.289,,,"LINESTRING (152.2790355 -27.5576485, 152.2790793 -27.557526)",,,
40342329,Whittle Street,residential,False,False,126.692,,,"LINESTRING (152.2750929 -27.5655702, 152.2754777 -27.5644831)",,,
