osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,junction
180654026,Murray Avenue,secondary,50,False,True,4.533,,"LINESTRING (140.7503019 -34.172024, 140.750299 -34.1720647)",,
583032516,Ral Ral Avenue,secondary,,True,False,24.857,,"LINESTRING (140.7503019 -34.172024, 140.7502323 -34.171808)",,
24858141,Cowra Street,residential,50,False,False,128.715,,"LINESTRING (140.7431153 -34.1714655, 140.7441551 -34.170691)",,
24858254,Seventeenth Street,residential,50,False,False,46.546,,"LINESTRING (140.7431153 -34.1714655, 140.7434496 -34.1717797)",,
24858254,Seventeenth Street,residential,50,False,True,65.489,,"LINESTRING (140.7431153 -34.1714655, 140.7426428 -34.171025)",,
24858154,Renmark Avenue,secondary,50,True,False,118.696,2,"LINESTRING (140.7485852 -34.1732967, 140.7476299 -34.1740142)",,
26946601,Fifteenth Street,residential,50,False,True,33.139,,"LINESTRING (140.7485852 -34.1732967, 140.7483414 -34.1730773)",,
26946601,Fifteenth Street,residential,50,False,False,204.281,,"LINESTRING (140.7485852 -34.1732967, 140.7490236 -34.1737072, 140.7500499 -34.1746775)",,
24858254,Seventeenth Street,residential,50,False,True,46.546,,"LINESTRING (140.7434496 -34.1717797, 140.7431153 -34.1714655)",,
28846578,Thurk Street,residential,50,False,False,121.897,,"LINESTRING (140.7434496 -34.1717797, 140.7444575 -34.1710681)",,
24858254,Seventeenth Street,residential,50,False,False,201.52999999999997,,"LINESTRING (140.7434496 -34.1717797, 140.7438679 -34.1721722, 140.7449086 -34.1731316)",,
"[28846578, 787918788]","['Eighteenth Street', 'Thurk Street']",residential,50,False,"[False, True]",315.193,,"LINESTRING (140.7434496 -34.1717797, 140.7425594 -34.1724427, 140.7425441 -34.1724925, 140.7425772 -34.1725779, 140.742899 -34.1728687, 140.7439451 -34.1738498)",,
"[577215601, 787918791]",Sturt Highway,trunk,60,True,False,200.99300000000002,"['2', '4']","LINESTRING (140.7419468 -34.1777251, 140.7427659 -34.1771498, 140.7432457 -34.1768037, 140.7435985 -34.176542)",A20,
684932140,Twentieth Street,residential,50,True,False,33.232,,"LINESTRING (140.7419468 -34.1777251, 140.7419591 -34.1777564, 140.7419363 -34.1778108, 140.7418759 -34.1778818, 140.7418071 -34.1779892)",,
26946601,Fifteenth Street,residential,50,False,False,33.139,,"LINESTRING (140.7483414 -34.1730773, 140.7485852 -34.1732967)",,
26946601,Fifteenth Street,residential,50,False,True,60.932,,"LINESTRING (140.7483414 -34.1730773, 140.7479157 -34.1726575)",,
787921454,Renmark Avenue,secondary,50,True,False,122.041,2,"LINESTRING (140.7483414 -34.1730773, 140.7487534 -34.1727773, 140.7492864 -34.1723906, 140.7493383 -34.1723532)",,
24858254,Seventeenth Street,residential,50,False,False,33.545,,"LINESTRING (140.7463768 -34.1745342, 140.7466182 -34.1747603)",,
787921454,Renmark Avenue,secondary,50,True,False,124.914,2,"LINESTRING (140.7463768 -34.1745342, 140.7473829 -34.1737798)",,
24858254,Seventeenth Street,residential,50,False,True,206.32,,"LINESTRING (140.7463768 -34.1745342, 140.7459352 -34.1741093, 140.7449086 -34.1731316)",,
180655979,Pyap Street,residential,50,False,True,121.48400000000001,,"LINESTRING (140.7485483 -34.1781976, 140.7490627 -34.1778266, 140.749538 -34.1774743)",,
787921998,Eighteenth Street,trunk,60,False,True,197.62699999999998,,"LINESTRING (140.7485483 -34.1781976, 140.7481058 -34.1777728, 140.7471458 -34.1768513)",A20,
47514267,Railway Terrace,residential,,False,True,198.63500000000002,,"LINESTRING (140.74773 -34.1788009, 140.7475559 -34.1786392, 140.7462939 -34.1774669)",,
26946600,Para Street,residential,50,False,False,118.217,,"LINESTRING (140.7462939 -34.1774669, 140.74581 -34.1778292, 140.745332 -34.1781718)",,
26946600,Para Street,residential,50,False,True,104.05499999999999,,"LINESTRING (140.7462939 -34.1774669, 140.7465049 -34.1773176, 140.7471458 -34.1768513)",,
47514267,Railway Terrace,residential,,False,False,198.63500000000002,,"LINESTRING (140.7462939 -34.1774669, 140.7475559 -34.1786392, 140.74773 -34.1788009)",,
684932138,Nineteenth Street,residential,50,False,True,131.78,,"LINESTRING (140.7435985 -34.176542, 140.7426497 -34.1756541)",,
