osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge
356920797,Corangamite Street,residential,50,False,False,132.619,"LINESTRING (143.5842912 -38.3373825, 143.5842403 -38.3361905)",,,,
356920797,Corangamite Street,residential,50,False,True,116.94,"LINESTRING (143.5842912 -38.3373825, 143.5843422 -38.3384334)",,,,
174730772,Manifold Street,residential,,False,False,230.943,"LINESTRING (143.5842912 -38.3373825, 143.584859 -38.3373969, 143.586937 -38.3373295)",,,,
174730772,Manifold Street,residential,,False,True,231.07999999999998,"LINESTRING (143.5842912 -38.3373825, 143.5826635 -38.3374288, 143.5816435 -38.3374581)",,,,
174730771,Hesse Street,residential,,False,False,133.198,"LINESTRING (143.5895923 -38.3372504, 143.5896473 -38.3384475)",,,,
174730771,Hesse Street,residential,,False,True,130.686,"LINESTRING (143.5895923 -38.3372504, 143.5895412 -38.3360758)",,,,
174730772,Manifold Street,residential,,False,True,231.75799999999998,"LINESTRING (143.5895923 -38.3372504, 143.5875121 -38.3373124, 143.586937 -38.3373295)",,,,
87484023,Murray Street,trunk,50,False,False,145.461,"LINESTRING (143.5816716 -38.3392951, 143.5832913 -38.3396071)",2,A1,,
174730764,Grant Street,residential,,False,True,130.94799999999998,"LINESTRING (143.5816716 -38.3392951, 143.5817008 -38.3391981, 143.5816691 -38.3385432, 143.5816675 -38.3381206)",,,,
174730766,Hart Street,residential,,False,True,122.55199999999999,"LINESTRING (143.5816716 -38.3392951, 143.581497 -38.339846, 143.5813327 -38.3403647)",,,,
87484022,Grant Street,residential,50,False,False,133.909,"LINESTRING (143.5816435 -38.3374581, 143.5815818 -38.3362548)",,,,
87484022,Grant Street,residential,50,False,True,51.525,"LINESTRING (143.5816435 -38.3374581, 143.581664 -38.3379212)",,,,
174730772,Manifold Street,residential,,False,False,231.07999999999998,"LINESTRING (143.5816435 -38.3374581, 143.5826635 -38.3374288, 143.5842912 -38.3373825)",,,,
174730755,Dennis Street,residential,,False,True,221.191,"LINESTRING (143.5896473 -38.3384475, 143.5871128 -38.3385181)",,,,
174730771,Hesse Street,residential,,False,True,133.198,"LINESTRING (143.5896473 -38.3384475, 143.5895923 -38.3372504)",,,,
174730771,Hesse Street,residential,,False,False,125.34299999999999,"LINESTRING (143.5896473 -38.3384475, 143.589656 -38.3385984, 143.5896797 -38.3390116, 143.5897056 -38.339472, 143.5897119 -38.3395736)",,,,
356920797,Corangamite Street,residential,50,False,True,132.619,"LINESTRING (143.5842403 -38.3361905, 143.5842912 -38.3373825)",,,,
221911569,Pollack Street,residential,,False,False,220.148,"LINESTRING (143.5842403 -38.3361905, 143.5848421 -38.3361734, 143.5867639 -38.3361604)",,,,
221911569,Pollack Street,residential,,False,True,232.23,"LINESTRING (143.5842403 -38.3361905, 143.5817393 -38.3362737, 143.5815818 -38.3362548)",,,,
87484022,Grant Street,residential,50,False,True,133.909,"LINESTRING (143.5815818 -38.3362548, 143.5816435 -38.3374581)",,,,
221911569,Pollack Street,residential,,False,False,232.23,"LINESTRING (143.5815818 -38.3362548, 143.5817393 -38.3362737, 143.5842403 -38.3361905)",,,,
58875646,,secondary,50,True,False,17.939,"LINESTRING (143.5844334 -38.3410909, 143.5843672 -38.341077, 143.584319 -38.3410387, 143.5843021 -38.3409866)",1,C155,roundabout,
172925605,Corangamite Street,secondary,50,False,True,103.509,"LINESTRING (143.5844334 -38.3410909, 143.5844462 -38.3412294, 143.5844703 -38.3415088, 143.5845145 -38.3420196)",,C155,,
58875646,,secondary,50,True,False,20.511000000000003,"LINESTRING (143.5845601 -38.3409639, 143.5845629 -38.3410007, 143.5845488 -38.3410359, 143.5845199 -38.341065, 143.5844796 -38.3410841, 143.5844334 -38.3410909)",1,C155,roundabout,
80877684,Bromfield Street,residential,,False,True,209.379,"LINESTRING (143.5845601 -38.3409639, 143.5848238 -38.3409526, 143.5852522 -38.3409394, 143.585333 -38.340937, 143.58582 -38.3409228, 143.5860369 -38.3409164, 143.5863517 -38.3409072, 143.5869588 -38.3408869)",,,,
174730766,Hart Street,residential,,False,False,122.55199999999999,"LINESTRING (143.5813327 -38.3403647, 143.581497 -38.339846, 143.5816716 -38.3392951)",,,,
174730768,,residential,,True,False,16.262,"LINESTRING (143.5813327 -38.3403647, 143.5813672 -38.3403758, 143.5813952 -38.3403951, 143.5814137 -38.3404205, 143.5814205 -38.3404493, 143.581415 -38.3404782)",1,,roundabout,
174730768,,residential,,True,False,14.393,"LINESTRING (143.581415 -38.3404782, 143.5813952 -38.3405066, 143.5813638 -38.3405276, 143.5813248 -38.3405382, 143.5812836 -38.3405372)",1,,roundabout,
174868672,Connor Street,residential,,False,False,258.536,"LINESTRING (143.581415 -38.3404782, 143.5841344 -38.3409901, 143.5843021 -38.3409866)",,,,
174730767,Hart Street,residential,,False,False,94.656,"LINESTRING (143.5812836 -38.3405372, 143.5810935 -38.3413753)",,,,
174730768,,residential,,True,False,14.894,"LINESTRING (143.5812836 -38.3405372, 143.5812517 -38.3405275, 143.5812251 -38.3405108, 143.581206 -38.3404886, 143.5811963 -38.3404629, 143.5811968 -38.3404361)",1,,roundabout,
58875646,,secondary,50,True,False,17.175,"LINESTRING (143.5843021 -38.3409866, 143.5843121 -38.3409488, 143.5843393 -38.3409166, 143.5843797 -38.3408945, 143.5844276 -38.3408857)",1,C155,roundabout,
174868672,Connor Street,residential,,False,True,258.536,"LINESTRING (143.5843021 -38.3409866, 143.5841344 -38.3409901, 143.581415 -38.3404782)",,,,
174730768,,residential,,True,False,15.917000000000002,"LINESTRING (143.5811968 -38.3404361, 143.5812059 -38.3404133, 143.5812224 -38.3403933, 143.5812452 -38.3403775, 143.5812725 -38.340367, 143.5813024 -38.3403626, 143.5813327 -38.3403647)",1,,roundabout,
58875646,,secondary,50,True,False,15.584,"LINESTRING (143.5844276 -38.3408857, 143.5844719 -38.3408903, 143.5845117 -38.3409062, 143.5845422 -38.3409318, 143.5845601 -38.3409639)",1,C155,roundabout,
172925601,Corangamite Street,secondary,50,False,False,118.109,"LINESTRING (143.5844276 -38.3408857, 143.5844126 -38.3403677, 143.5843968 -38.3398238)",,C155,,
174730771,Hesse Street,residential,,False,False,130.686,"LINESTRING (143.5895412 -38.3360758, 143.5895923 -38.3372504)",,,,
174730776,Pollack Street,residential,,False,True,224.22199999999998,"LINESTRING (143.5895412 -38.3360758, 143.5889697 -38.3360924, 143.5874577 -38.3361365, 143.5869722 -38.3361506)",,,,
26251308,Hesse Street,residential,,False,False,120.119,"LINESTRING (143.5898237 -38.3419871, 143.5897795 -38.3409074)",,,,
219473915,Rae Street,residential,,False,False,274.331,"LINESTRING (143.5898237 -38.3419871, 143.5866803 -38.3420781)",,,,
